index,x_m,E_x_profile_Vpm,y_m,E_y_profile_Vpm,relative_difference
127,1.7500000000000053e-06,17942261.73285715,1.7500000000000053e-06,17942261.73285633,4.5677845851550436e-14
128,2.0000000000000046e-06,17763265.396114815,2.0000000000000046e-06,17927948.696637325,0.009271003773806675
129,2.250000000000004e-06,17405272.722627707,2.250000000000004e-06,17899322.624196988,0.028385070974900135
130,2.500000000000003e-06,17047280.049140602,2.500000000000003e-06,17870696.55175665,0.04830192853302474
131,2.7500000000000025e-06,16689287.375653505,2.7500000000000025e-06,17842070.479316317,0.0690732370840772
132,3.0000000000000018e-06,16331294.7021664,3.0000000000000018e-06,17813444.406875975,0.09075518700381804
133,3.250000000000008e-06,15973302.028679287,3.250000000000008e-06,17784818.334435638,0.11340900600914336
134,3.500000000000007e-06,15615309.355192183,3.500000000000007e-06,17756192.2619953,0.13710153658219149
135,3.7500000000000064e-06,15257316.681705076,3.7500000000000064e-06,17727566.189554963,0.16190589468539662
136,4.000000000000006e-06,14899324.008217975,4.000000000000006e-06,17698940.117114626,0.1879022234399678
137,4.250000000000005e-06,14541331.334730871,4.250000000000005e-06,17670314.04467429,0.2151785581331249
138,4.500000000000004e-06,14183338.661243768,4.500000000000004e-06,17641687.97223395,0.2438318222239299
139,4.750000000000004e-06,13825345.987756662,4.750000000000004e-06,17613061.899793617,0.27396897809221193
140,5.000000000000003e-06,13467353.31426956,5.000000000000003e-06,17584435.827353276,0.30570836132452195
141,5.250000000000002e-06,13109360.640782457,5.250000000000002e-06,17555809.754912943,0.33918123362155755
142,5.500000000000008e-06,12751367.967295341,5.500000000000008e-06,17527183.6824726,0.374533597291385
143,5.750000000000008e-06,12478741.167329818,5.750000000000008e-06,17291767.603641316,0.38569807417052004
144,6.000000000000007e-06,12291480.240885861,6.000000000000007e-06,16849561.51841911,0.37083257575205947
145,6.250000000000006e-06,12104219.314441906,6.250000000000006e-06,16407355.433196899,0.35550711755699865
146,6.5000000000000055e-06,11916958.387997951,6.5000000000000055e-06,15965149.347974686,0.3397000164113882
147,6.750000000000005e-06,11729697.461553996,6.750000000000005e-06,15522943.262752483,0.32338820448110195
148,7.000000000000004e-06,11542436.535110043,7.000000000000004e-06,15080737.177530272,0.30654711695033765
149,7.2500000000000034e-06,11355175.608666087,7.2500000000000034e-06,14638531.092308061,0.2891505685862023
150,7.500000000000003e-06,11167914.68222213,7.500000000000003e-06,14196325.007085852,0.27117061788487323
151,7.750000000000009e-06,10980653.755778171,7.750000000000009e-06,13754118.92186363,0.25257741731689004
152,8.000000000000008e-06,10793392.829334214,8.000000000000008e-06,13311912.836641422,0.2333390479833542
153,8.250000000000007e-06,10606131.90289026,8.250000000000007e-06,12869706.751419213,0.21342133675634473
154,8.500000000000007e-06,10418870.976446304,8.500000000000007e-06,12427500.666197002,0.19278765369986434
155,8.750000000000006e-06,10231610.050002348,8.750000000000006e-06,11985294.580974793,0.17139868724493101
156,9.000000000000005e-06,10044349.123558393,9.000000000000005e-06,11543088.495752584,0.14921219421565027
157,9.250000000000005e-06,9857088.197114438,9.250000000000005e-06,11100882.410530373,0.1261827213618768
158,9.500000000000004e-06,9701838.12109606,9.500000000000004e-06,10792307.20567018,0.11239819413219863
159,9.750000000000003e-06,9578598.89550326,9.750000000000003e-06,10617362.881171988,0.1084463392820826
160,1.000000000000001e-05,9455359.669910455,1.000000000000001e-05,10442418.556673793,0.10439146909497582
161,1.0250000000000009e-05,9332120.444317654,1.0250000000000009e-05,10267474.232175602,0.10022950233432602
162,1.0500000000000008e-05,9208881.218724854,1.0500000000000008e-05,10092529.907677414,0.09595613929255542
163,1.0750000000000007e-05,9085641.993132053,1.0750000000000007e-05,9917585.583179224,0.09156684697416513
164,1.1000000000000006e-05,8962402.767539252,1.1000000000000006e-05,9742641.258681033,0.08705684305638567
165,1.1250000000000006e-05,8839163.541946452,1.1250000000000006e-05,9567696.934182843,0.08242107850806463
166,1.1500000000000005e-05,8715924.316353653,1.1500000000000005e-05,9392752.609684652,0.07765421873398659
167,1.1750000000000004e-05,8592685.09076085,1.1750000000000004e-05,9217808.285186462,0.07275062309658789
168,1.2000000000000004e-05,8469445.86516805,1.2000000000000004e-05,9042863.960688272,0.0677043226497847
169,1.2250000000000003e-05,8346206.639575249,1.2250000000000003e-05,8867919.636190083,0.06250899590012848
170,1.2500000000000009e-05,8222967.413982445,1.2500000000000009e-05,8692975.311691888,0.05715794238832012
171,1.2750000000000008e-05,8099728.188389644,1.2750000000000008e-05,8518030.987193696,0.05164405385895023
172,1.3000000000000008e-05,7976488.962796845,1.3000000000000008e-05,8343086.662695507,0.04595978275761566
173,1.3250000000000007e-05,7873903.023530661,1.3250000000000007e-05,8205089.8499910645,0.04206132911094695
174,1.3500000000000006e-05,7791970.370591093,1.3500000000000006e-05,8104040.549080367,0.040050226534113595
175,1.3750000000000006e-05,7710037.717651527,1.3750000000000006e-05,8002991.24816967,0.037996380983642705
176,1.4000000000000005e-05,7628105.064711959,1.4000000000000005e-05,7901941.947258973,0.03589841516653962
177,1.4250000000000004e-05,7546172.411772393,1.4250000000000004e-05,7800892.646348274,0.033754891973910614
178,1.4500000000000003e-05,7464239.758832827,1.4500000000000003e-05,7699843.345437577,0.031564311198062425
179,1.475000000000001e-05,7382307.105893257,1.475000000000001e-05,7598794.044526878,0.029325106030985943
180,1.5000000000000009e-05,7300374.452953691,1.5000000000000009e-05,7497744.743616181,0.027035639327053402
181,1.5250000000000008e-05,7218441.800014123,1.5250000000000008e-05,7396695.442705483,0.024694199611197405
182,1.5500000000000007e-05,7136509.147074557,1.5500000000000007e-05,7295646.141794785,0.022298996812112608
183,1.5750000000000007e-05,7054576.49413499,1.5750000000000007e-05,7194596.840884088,0.019848157698127974
184,1.6000000000000006e-05,6972643.841195422,1.6000000000000006e-05,7093547.539973391,0.017339720991290546
185,1.6250000000000005e-05,6890711.188255856,1.6250000000000005e-05,6992498.239062693,0.014771632132880179
186,1.6500000000000005e-05,6808778.5353162885,1.6500000000000005e-05,6891448.938151996,0.012141737670994301
187,1.6750000000000004e-05,6726845.882376722,1.6750000000000004e-05,6790399.637241298,0.00944777923797498
188,1.700000000000001e-05,6658062.37333547,1.700000000000001e-05,6708477.264071116,0.007572006374940218
189,1.725000000000001e-05,6602428.008192537,1.725000000000001e-05,6645681.818641449,0.006551197589014381
190,1.750000000000001e-05,6546793.643049603,1.750000000000001e-05,6582886.373211784,0.005513039226537829
191,1.7750000000000008e-05,6491159.27790667,1.7750000000000008e-05,6520090.92778212,0.004457085188761552
192,1.8000000000000007e-05,6435524.912763739,1.8000000000000007e-05,6457295.482352455,0.0033828739510491247
193,1.8250000000000007e-05,6379890.547620805,1.8250000000000007e-05,6394500.03692279,0.0022899278902885436
194,1.8500000000000006e-05,6324256.182477872,1.8500000000000006e-05,6331704.591493124,0.0011777525767993058
195,1.8750000000000005e-05,6268621.81733494,1.8750000000000005e-05,6268909.146063459,4.583602853897093e-05
196,1.9000000000000004e-05,6212987.452192006,1.9000000000000004e-05,6206113.700633794,0.0011063520747634059
197,1.925000000000001e-05,6157353.087049071,1.925000000000001e-05,6143318.255204128,0.0022793612200772586
198,1.950000000000001e-05,6101718.721906139,1.950000000000001e-05,6080522.809774462,0.003473760934862461
199,1.975000000000001e-05,6046084.3567632055,1.975000000000001e-05,6017727.364344796,0.00469014170910284
200,2.000000000000001e-05,5990449.991620271,2.000000000000001e-05,5954931.918915132,0.005929115968720691
201,2.0250000000000008e-05,5934815.626477339,2.0250000000000008e-05,5892136.473485466,0.0071913191037420296
202,2.0500000000000007e-05,5879181.261334405,2.0500000000000007e-05,5829341.028055801,0.008477410554831562
203,2.0750000000000006e-05,5831964.814172926,2.0750000000000006e-05,5777310.883549806,0.009371443821180101
204,2.1000000000000006e-05,5793166.284992898,2.1000000000000006e-05,5736046.039967477,0.00985993534716751
205,2.1250000000000005e-05,5754367.75581287,2.1250000000000005e-05,5694781.196385149,0.010355014131227374
206,2.150000000000001e-05,5715569.226632841,2.150000000000001e-05,5653516.35280282,0.010856814320588324
207,2.175000000000001e-05,5676770.697452814,2.175000000000001e-05,5612251.509220494,0.011365473729856718
208,2.200000000000001e-05,5637972.168272787,2.200000000000001e-05,5570986.665638164,0.011881133967205151
209,2.225000000000001e-05,5599173.639092758,2.225000000000001e-05,5529721.822055836,0.012403940565803824
210,2.2500000000000008e-05,5560375.109912731,2.2500000000000008e-05,5488456.978473509,0.012934043120761823
211,2.2750000000000007e-05,5521576.580732703,2.2750000000000007e-05,5447192.13489118,0.013471595431834472
212,2.3000000000000007e-05,5482778.051552675,2.3000000000000007e-05,5405927.291308853,0.014016755652193222
213,2.3250000000000006e-05,5443979.522372648,2.3250000000000006e-05,5364662.447726525,0.014569686443558482
214,2.3500000000000005e-05,5405180.993192621,2.3500000000000005e-05,5323397.604144197,0.015130555138009818
215,2.375000000000001e-05,5366382.464012591,2.375000000000001e-05,5282132.760561868,0.01569953390681881
216,2.400000000000001e-05,5327583.934832564,2.400000000000001e-05,5240867.91697954,0.01627679993665812
217,2.425000000000001e-05,5288785.405652536,2.425000000000001e-05,5199603.073397212,0.016862535613566067
218,2.450000000000001e-05,5255508.834568022,2.450000000000001e-05,5164821.599188832,0.01725565273198599
219,2.475000000000001e-05,5227754.22157902,2.475000000000001e-05,5136523.494354397,0.01745122730675487
220,2.5000000000000008e-05,5199999.608590019,2.5000000000000008e-05,5108225.3895199625,0.017648889611155384
221,2.5250000000000007e-05,5172244.995601017,2.5250000000000007e-05,5079927.28468553,0.017848673253877817
222,2.5500000000000007e-05,5144490.382612016,2.5500000000000007e-05,5051629.179851096,0.018050612568891896
223,2.5750000000000006e-05,5116735.769623014,2.5750000000000006e-05,5023331.075016661,0.018254742635114674
224,2.6000000000000005e-05,5088981.156634012,2.6000000000000005e-05,4995032.970182226,0.01846109929672564
225,2.625000000000001e-05,5061226.54364501,2.625000000000001e-05,4966734.865347791,0.018669719184150082
226,2.650000000000001e-05,5033471.930656009,2.650000000000001e-05,4938436.760513358,0.018880639735735182
227,2.675000000000001e-05,5005717.317667007,2.675000000000001e-05,4910138.655678923,0.019093899220148158
228,2.700000000000001e-05,4977962.704678006,2.700000000000001e-05,4881840.55084449,0.019309536759523294
229,2.725000000000001e-05,4950208.091689005,2.725000000000001e-05,4853542.446010055,0.019527592353388794
230,2.7500000000000008e-05,4922453.478700003,2.7500000000000008e-05,4825244.341175621,0.019748106903400085
231,2.7750000000000007e-05,4894698.865711001,2.7750000000000007e-05,4796946.236341187,0.01997112223891928
232,2.8000000000000006e-05,4866944.252722,2.8000000000000006e-05,4768648.131506753,0.020196681143465175
233,2.8250000000000006e-05,4842933.418595208,2.8250000000000006e-05,4744486.880282392,0.020327873584801936
234,2.8500000000000012e-05,4822666.363330624,2.8500000000000012e-05,4724462.4826681,0.02036298455336286
235,2.875000000000001e-05,4802399.30806604,2.875000000000001e-05,4704438.08505381,0.020398391872099454
236,2.900000000000001e-05,4782132.2528014565,2.900000000000001e-05,4684413.687439519,0.02043409930887885
237,2.925000000000001e-05,4761865.197536873,2.925000000000001e-05,4664389.28982523,0.02047011069571295
238,2.950000000000001e-05,4741598.142272289,2.950000000000001e-05,4644364.89221094,0.02050642993013163
239,2.9750000000000008e-05,4721331.087007704,2.9750000000000008e-05,4624340.494596649,0.02054306097658704
240,3.0000000000000008e-05,4701064.03174312,3.0000000000000008e-05,4604316.096982359,0.020580007867897092
