index,x_m,E_x_profile_Vpm,y_m,E_y_profile_Vpm,relative_difference
55,-1.625e-05,6630815.37077627,-1.625e-05,6407613.281596964,0.03366133374230492
56,-1.6e-05,6696478.766731251,-1.6e-05,6472009.290296743,0.033520523883342125
57,-1.5749999999999997e-05,6762142.162686232,-1.5749999999999997e-05,6536405.298996519,0.033382448676595004
58,-1.5499999999999997e-05,6827805.558641213,-1.5499999999999997e-05,6600801.307696296,0.03324702922414398
59,-1.5249999999999998e-05,6893468.9545961935,-1.5249999999999998e-05,6665197.3163960725,0.03311418963422208
60,-1.4999999999999999e-05,6959132.350551174,-1.4999999999999999e-05,6729593.325095849,0.03298385687939173
61,-1.4749999999999998e-05,7024795.7465061555,-1.4749999999999998e-05,6793989.333795626,0.03285596066267455
62,-1.4499999999999997e-05,7090459.142461136,-1.4499999999999997e-05,6858385.342495403,0.03273043329111952
63,-1.4249999999999997e-05,7156122.538416117,-1.4249999999999997e-05,6922781.35119518,0.03260720955633378
64,-1.3999999999999998e-05,7221785.934371098,-1.3999999999999998e-05,6987177.359894957,0.032486226621527683
65,-1.3749999999999999e-05,7287449.330326078,-1.3749999999999999e-05,7051573.368594734,0.03236742391467031
66,-1.35e-05,7353112.72628106,-1.35e-05,7115969.377294511,0.03225074302736657
67,-1.3249999999999997e-05,7418776.12223604,-1.3249999999999997e-05,7180365.385994287,0.032136127619105934
68,-1.2999999999999998e-05,7484439.518191022,-1.2999999999999998e-05,7244761.394694064,0.032023523326552034
69,-1.2749999999999998e-05,7550102.914146002,-1.2749999999999998e-05,7309157.403393841,0.031912877677564025
70,-1.2499999999999999e-05,7615766.310100984,-1.2499999999999999e-05,7373553.412093618,0.031804140009668205
71,-1.2249999999999996e-05,7681429.706055965,-1.2249999999999996e-05,7437949.4207933955,0.03169726139270822
72,-1.1999999999999997e-05,7747093.102010945,-1.1999999999999997e-05,7502345.429493172,0.03159219455543171
73,-1.1749999999999998e-05,7812756.497965926,-1.1749999999999998e-05,7566741.438192949,0.031488893815777866
74,-1.1499999999999998e-05,7878419.893920908,-1.1499999999999998e-05,7631137.446892725,0.03138731501465019
75,-1.1249999999999999e-05,7944083.289875889,-1.1249999999999999e-05,7695533.455592503,0.03128741545297538
76,-1.0999999999999996e-05,8123627.475195805,-1.0999999999999996e-05,7883362.635383322,0.029576053375920168
77,-1.0749999999999997e-05,8303171.660515716,-1.0749999999999997e-05,8071191.815174136,0.02793870280253504
78,-1.0499999999999998e-05,8482715.845835628,-1.0499999999999998e-05,8259020.99496495,0.026370664175966174
79,-1.0249999999999998e-05,8662260.03115554,-1.0249999999999998e-05,8446850.174755765,0.02486762757352125
80,-9.999999999999996e-06,8841804.216475455,-9.999999999999996e-06,8634679.354546582,0.023425633146561285
81,-9.749999999999996e-06,9021348.401795365,-9.749999999999996e-06,8822508.534337396,0.022041036284376005
82,-9.499999999999997e-06,9200892.587115278,-9.499999999999997e-06,9010337.71412821,0.020710476856769085
83,-9.249999999999998e-06,9380436.77243519,-9.249999999999998e-06,9198166.893919025,0.019430851988872552
84,-8.999999999999999e-06,9559980.957755104,-8.999999999999999e-06,9385996.073709838,0.01819929190383253
85,-8.749999999999996e-06,9739525.143075017,-8.749999999999996e-06,9573825.253500657,0.017013138437470515
86,-8.499999999999997e-06,9919069.328394929,-8.499999999999997e-06,9761654.433291472,0.015869925886376358
87,-8.249999999999997e-06,10098613.513714842,-8.249999999999997e-06,9949483.613082286,0.014767363899016875
88,-7.999999999999998e-06,10278157.699034754,-7.999999999999998e-06,10137312.7928731,0.013703322160048373
89,-7.749999999999999e-06,10457701.884354666,-7.749999999999999e-06,10325141.972663913,0.012675816652324957
90,-7.499999999999996e-06,10637246.069674581,-7.499999999999996e-06,10512971.152454732,0.01168299731019113
91,-7.249999999999997e-06,10816790.254994491,-7.249999999999997e-06,10700800.332245545,0.010723136902408646
92,-6.999999999999997e-06,10996334.440314405,-6.999999999999997e-06,10888629.512036359,0.009794621004175847
93,-6.749999999999998e-06,11175878.625634316,-6.749999999999998e-06,11076458.691827174,0.008895938935763025
94,-6.499999999999995e-06,11355422.810954232,-6.499999999999995e-06,11264287.871617991,0.008025675560783627
95,-6.249999999999996e-06,11534966.996274143,-6.249999999999996e-06,11452117.051408805,0.00718250385043143
96,-5.999999999999997e-06,11714511.181594055,-5.999999999999997e-06,11639946.23119962,0.006365178131511964
97,-5.7499999999999975e-06,11894055.366913967,-5.7499999999999975e-06,11827775.410990436,0.0055725279460110844
98,-5.499999999999998e-06,12073599.552233879,-5.499999999999998e-06,12015604.59078125,0.004803452458542
99,-5.2499999999999955e-06,12253143.737553794,-5.2499999999999955e-06,12203433.770572066,0.00405691535547527
100,-4.999999999999996e-06,12432687.922873706,-4.999999999999996e-06,12391262.95036288,0.0033319401860487483
101,-4.749999999999997e-06,12612232.108193617,-4.749999999999997e-06,12579092.130153695,0.002627606101412659
102,-4.4999999999999976e-06,12791776.29351353,-4.4999999999999976e-06,12766921.30994451,0.0019430439525137647
103,-4.249999999999995e-06,12971320.478833444,-4.249999999999995e-06,12954750.489735328,0.0012774327120477524
104,-3.999999999999996e-06,13150864.664153358,-3.999999999999996e-06,13142579.669526141,0.0006299961895129283
105,-3.7499999999999963e-06,13330408.849473264,-3.7499999999999963e-06,13330408.84931695,1.1726060519864584e-11
106,-3.499999999999997e-06,13330408.849504389,-3.499999999999997e-06,13330408.849358499,1.0944136846469605e-11
107,-3.2499999999999977e-06,13330408.849535512,-3.2499999999999977e-06,13330408.849400042,1.0162492631145957e-11
108,-2.999999999999995e-06,13330408.849566637,-2.999999999999995e-06,13330408.849441584,9.380988144859799e-12
109,-2.7499999999999957e-06,13330408.849597761,-2.7499999999999957e-06,13330408.84948313,8.59920420050961e-12
110,-2.4999999999999964e-06,13330408.849628886,-2.4999999999999964e-06,13330408.849524679,7.817280527129235e-12
111,-2.249999999999997e-06,13330408.84966001,-2.249999999999997e-06,13330408.849566221,7.035636311820188e-12
112,-1.999999999999998e-06,13330408.849691134,-1.999999999999998e-06,13330408.849607768,6.253852367480953e-12
113,-1.749999999999995e-06,13330408.849722259,-1.749999999999995e-06,13330408.849649314,5.472068423145368e-12
114,-1.4999999999999958e-06,13330408.849753384,-1.4999999999999958e-06,13330408.849690858,4.690424207847271e-12
115,-1.2499999999999965e-06,13330408.849784506,-1.2499999999999965e-06,13330408.849732405,3.908500534485151e-12
116,-9.999999999999972e-07,13330408.849815633,-9.999999999999972e-07,13330408.849773947,3.1271357772620275e-12
117,-7.499999999999945e-07,13330408.849846754,-7.499999999999945e-07,13330408.849815492,2.345212103907209e-12
118,-4.999999999999952e-07,13330408.849877879,-4.999999999999952e-07,13330408.849857038,1.5634281595898767e-12
119,-2.499999999999959e-07,13330408.849909002,-2.499999999999959e-07,13330408.849898582,7.816442152761955e-13
120,3.3881317890172014e-21,13330408.849940129,3.3881317890172014e-21,13330408.849940129,0.0
121,2.500000000000027e-07,13330408.849971252,2.500000000000027e-07,13330408.849981673,7.817839443063803e-13
122,5.000000000000054e-07,13330408.850002378,5.000000000000054e-07,13330408.85002322,1.5634281595752752e-12
123,7.500000000000013e-07,13330408.8500335,7.500000000000013e-07,13330408.850064766,2.3454915619420235e-12
124,1.0000000000000074e-06,13330408.850064626,1.0000000000000074e-06,13330408.850106308,3.126856319135949e-12
125,1.2500000000000067e-06,13330408.850095749,1.2500000000000067e-06,13330408.850147855,3.908779992461562e-12
126,1.500000000000006e-06,13330408.850126874,1.500000000000006e-06,13330408.850189399,4.690424207715855e-12
127,1.7500000000000053e-06,13330408.850157999,1.7500000000000053e-06,13330408.850230943,5.472068422966499e-12
128,2.0000000000000046e-06,13330408.850189123,2.0000000000000046e-06,13330408.85027249,6.253852367247325e-12
129,2.250000000000004e-06,13330408.850220248,2.250000000000004e-06,13330408.850314032,7.035356853456836e-12
130,2.500000000000003e-06,13330408.850251371,2.500000000000003e-06,13330408.85035558,7.817420255798026e-12
131,2.7500000000000025e-06,13330408.850282494,2.7500000000000025e-06,13330408.850397127,8.599343929101733e-12
132,3.0000000000000018e-06,13330408.850313619,3.0000000000000018e-06,13330408.85043867,9.380848415300295e-12
133,3.250000000000008e-06,13330408.850344742,3.250000000000008e-06,13330408.850480214,1.016263235956287e-11
134,3.500000000000007e-06,13330408.850375868,3.500000000000007e-06,13330408.85052176,1.094427657478796e-11
