case,plane,s_m,z_m,Eabs_Vpm,ne_m3,rho_Cpm3
misaligned,xz,-2.953125e-05,0.00011429687500000005,1725949.8155831792,3.5868329947704587e-51,-5.7467788192767714e-70
misaligned,xz,-2.953125e-05,0.00011507812500000004,1713181.8658578563,1.819253919792509e-52,-2.914784903855433e-71
misaligned,xz,-2.953125e-05,0.00011585937500000005,1700469.0469989858,3.3215512939142647e-53,-5.321745435276199e-72
misaligned,xz,-2.953125e-05,0.00011664062500000005,1688126.822453287,1.6294016455879948e-54,-2.6106049514071064e-73
misaligned,xz,-2.953125e-05,0.00011742187500000005,1675843.9060058524,2.9636278252933324e-55,-4.748283206569664e-74
misaligned,xz,-2.953125e-05,0.00011820312500000005,1663955.0731590898,1.4065673658003926e-56,-2.253582023036557e-75
misaligned,xz,-2.953125e-05,0.00011898437500000004,1652138.0894371802,2.549175195487104e-57,-4.084251371123293e-76
misaligned,xz,-2.953125e-05,0.00011976562500000005,1640748.6211023137,1.1710144126048766e-58,-1.8761817629406917e-77
misaligned,xz,-2.953125e-05,0.00012054687500000005,1629454.8583525014,2.1151746754637562e-59,-3.3889008166760475e-78
misaligned,xz,-2.953125e-05,0.00012132812500000004,1618632.7433063793,9.408966375785796e-61,-1.5074899839465863e-79
misaligned,xz,-2.953125e-05,0.00012210937500000004,1607944.2052373365,1.6942521274878788e-61,-2.7145041674049607e-80
misaligned,xz,-2.953125e-05,0.00012289062500000006,1597781.8680014235,7.302096278317917e-63,-1.1699301531092477e-81
misaligned,xz,-2.953125e-05,0.00012367187500000006,1587806.913245122,1.3111415677946714e-63,-2.1006897880969935e-82
misaligned,xz,-2.953125e-05,0.00012445312500000005,1578421.4466723432,5.478589476261009e-65,-8.777705613928258e-84
misaligned,xz,-2.953125e-05,0.00012523437500000005,1569293.6414034732,9.811964696690492e-66,-1.5720566509917801e-84
misaligned,xz,-2.953125e-05,0.00012601562500000004,1560824.0036694477,3.9777518056621114e-67,-6.373086593520235e-86
misaligned,xz,-2.953125e-05,0.00012679687500000006,1552697.3958076197,7.107754524360838e-68,-1.1387923105912766e-86
misaligned,xz,-2.953125e-05,0.00012757812500000006,1545298.021016514,2.797871142972708e-69,-4.4827007218275275e-88
