case,plane,s_m,z_m,Eabs_Vpm,ne_m3,rho_Cpm3
misaligned,xz,-2.953125e-05,3.070312500000002e-05,2281848.108688619,3.9429467309389566e-20,-6.317394479298009e-39
misaligned,xz,-2.953125e-05,3.148437500000002e-05,2285947.1269222195,2.9685228558523564e-19,-4.756171829339167e-38
misaligned,xz,-2.953125e-05,3.226562500000002e-05,2290172.3425352927,2.185430849997298e-18,-3.501500607169446e-37
misaligned,xz,-2.953125e-05,3.304687500000002e-05,2294514.238510518,1.5097277991810874e-17,-2.41888763319924e-36
misaligned,xz,-2.953125e-05,3.3828125000000024e-05,2298994.5347684096,1.0130475004091847e-16,-1.6231051128323455e-35
misaligned,xz,-2.953125e-05,3.460937500000002e-05,2303608.303726091,6.393877104551227e-16,-1.0244263538853852e-34
misaligned,xz,-2.953125e-05,3.539062500000002e-05,2308370.556188156,3.9006884711862024e-15,-6.2496709910387005e-34
misaligned,xz,-2.953125e-05,3.6171875000000024e-05,2313280.823856632,2.2408535202657323e-14,-3.5902814123972585e-33
misaligned,xz,-2.953125e-05,3.6953125000000026e-05,2318347.2001075456,1.2394902022527564e-13,-1.9858980689690414e-32
misaligned,xz,-2.953125e-05,3.773437500000002e-05,2323573.785860589,6.458414560621885e-13,-1.0347564630278195e-31
misaligned,xz,-2.953125e-05,3.851562500000002e-05,2328961.2124379147,3.2318098044723758e-12,-5.177927525607704e-31
misaligned,xz,-2.953125e-05,3.9296875000000025e-05,2334518.532840917,1.524825551249726e-11,-2.4430234746669606e-30
misaligned,xz,-2.953125e-05,4.007812500000003e-05,2340237.9850609205,6.89693437283657e-11,-1.1049950625458207e-29
misaligned,xz,-2.953125e-05,4.085937500000002e-05,2346134.271747154,2.941281226254031e-10,-4.712341453006294e-29
misaligned,xz,-2.953125e-05,4.1640625000000025e-05,2352189.86195209,1.2001599815911791e-09,-1.9228025792079325e-28
misaligned,xz,-2.953125e-05,4.2421875000000027e-05,2358426.1718007824,4.616608233239805e-09,-7.396274234419158e-28
misaligned,xz,-2.953125e-05,4.320312500000003e-05,2364814.017296712,1.6962027910018504e-08,-2.7174503364686295e-27
misaligned,xz,-2.953125e-05,4.3984375000000024e-05,2371383.0194009356,5.8744423043723377e-08,-9.411165299280455e-27
misaligned,xz,-2.953125e-05,4.4765625000000026e-05,2378089.880486883,1.9404061175662237e-07,-3.108578966554112e-26
misaligned,xz,-2.953125e-05,4.554687500000003e-05,2384974.4146658243,6.042858323530696e-07,-9.680624668548388e-26
misaligned,xz,-2.953125e-05,4.632812500000003e-05,2391976.107172194,1.7935742540884155e-06,-2.873240463960758e-25
misaligned,xz,-2.953125e-05,4.7109375000000025e-05,2399147.5243756566,5.026514380932831e-06,-8.052129848728093e-25
misaligned,xz,-2.953125e-05,4.789062500000003e-05,2406407.1317960303,1.3448745878785885e-05,-2.154356183113101e-24
misaligned,xz,-2.953125e-05,4.867187500000003e-05,2413823.4494033232,3.4062513940131745e-05,-5.456380119715897e-24
