case,plane,s_m,z_m,Eabs_Vpm,ne_m3,rho_Cpm3
aligned,xz,-2.953125e-05,1.1171875000000019e-05,2601711.8483604863,2.6408113601897545e-44,-4.231053423733132e-63
aligned,xz,-2.953125e-05,1.195312500000002e-05,2596710.379428162,4.054207006647643e-43,-6.495568835260465e-62
aligned,xz,-2.953125e-05,1.273437500000002e-05,2591308.1713459217,2.080170728298264e-42,-3.332808663079254e-61
aligned,xz,-2.953125e-05,1.351562500000002e-05,2585900.082030981,3.1074545504751583e-41,-4.978704412297337e-60
aligned,xz,-2.953125e-05,1.429687500000002e-05,2580213.491066109,1.606633767059725e-40,-2.5741187751555035e-59
aligned,xz,-2.953125e-05,1.507812500000002e-05,2574582.0939844595,2.3368978846305048e-39,-3.744135810796769e-58
aligned,xz,-2.953125e-05,1.585937500000002e-05,2568781.986641092,1.2448584018104706e-38,-1.9944903168135943e-57
aligned,xz,-2.953125e-05,1.6640625000000023e-05,2563090.9875800577,1.7610066929033665e-37,-2.8214551458019972e-56
aligned,xz,-2.953125e-05,1.7421875000000022e-05,2557327.6046030764,1.0044660893941882e-36,-1.6093389063663392e-55
aligned,xz,-2.953125e-05,1.8203125000000024e-05,2551719.9859107323,1.383178520670941e-35,-2.2161064488310487e-54
aligned,xz,-2.953125e-05,1.8984375000000023e-05,2546122.774087731,9.117318831859435e-35,-1.4607624194664946e-53
aligned,xz,-2.953125e-05,1.976562500000002e-05,2540720.9630503925,1.2256134460083091e-33,-1.9636591437474373e-52
aligned,xz,-2.953125e-05,2.0546875000000023e-05,2535399.4222655236,1.0049552173761041e-32,-1.6101241580606254e-51
aligned,xz,-2.953125e-05,2.1328125000000022e-05,2530306.3669121764,1.3262196771366582e-31,-2.1248499838188025e-50
aligned,xz,-2.953125e-05,2.2109375000000024e-05,2525351.5625626785,1.1424464597214627e-30,-1.8304116574795435e-49
aligned,xz,-2.953125e-05,2.2890625000000023e-05,2520652.3794222567,1.381841000106951e-29,-2.2139670316240354e-48
aligned,xz,-2.953125e-05,2.367187500000002e-05,2516138.8276521424,1.2605647754986214e-28,-2.019660433654059e-47
aligned,xz,-2.953125e-05,2.4453125000000023e-05,2511902.745949607,1.3992438572945195e-27,-2.241851060033615e-46
aligned,xz,-2.953125e-05,2.5234375000000022e-05,2507890.4428731473,1.3023039522225734e-26,-2.0865357992127072e-45
aligned,xz,-2.953125e-05,2.6015625000000024e-05,2504172.833132677,1.3288645511707433e-25,-2.1290916364172833e-44
aligned,xz,-2.953125e-05,2.6796875000000023e-05,2500709.259338134,1.2028191776947196e-24,-1.927143822212406e-43
aligned,xz,-2.953125e-05,2.757812500000002e-05,2497553.5925810095,1.1280244334902491e-23,-1.8073091307307748e-42
aligned,xz,-2.953125e-05,2.8359375000000024e-05,2494675.575481127,9.668846673578726e-23,-1.549133164919407e-41
aligned,xz,-2.953125e-05,2.9140625000000022e-05,2492115.2077939063,8.330861903789817e-22,-1.3347629774754278e-40
aligned,xz,-2.953125e-05,2.992187500000002e-05,2489850.564920333,6.660081940121318e-21,-1.0670724590757757e-39
aligned,xz,-2.953125e-05,3.070312500000002e-05,2487910.279814979,5.263974756536822e-20,-8.43389593545035e-39
aligned,xz,-2.953125e-05,3.148437500000002e-05,2486279.1961179064,3.8899024336944465e-19,-6.232369767796293e-38
aligned,xz,-2.953125e-05,3.226562500000002e-05,2484976.4643609785,2.81383723426693e-18,-4.5083070870340475e-37
aligned,xz,-2.953125e-05,3.304687500000002e-05,2483992.5772730196,1.9110409705781905e-17,-3.0618538009355603e-36
aligned,xz,-2.953125e-05,3.3828125000000024e-05,2483338.51222584,1.2619725437030658e-16,-2.0219210563969266e-35
aligned,xz,-2.953125e-05,3.460937500000002e-05,2483009.6914463304,7.841743405892221e-16,-1.2563961542681986e-34
aligned,xz,-2.953125e-05,3.539062500000002e-05,2483009.68931342,4.71458350336883e-15,-7.553649209375146e-34
aligned,xz,-2.953125e-05,3.6171875000000024e-05,2483338.505829037,2.6708912265375476e-14,-4.2792624481394136e-33
aligned,xz,-2.953125e-05,3.6953125000000026e-05,2483992.5664695767,1.459732640237866e-13,-2.338756486415412e-32
aligned,xz,-2.953125e-05,3.773437500000002e-05,2484976.449015164,7.523257844224391e-13,-1.205358343222865e-31
aligned,xz,-2.953125e-05,3.851562500000002e-05,2486279.1759473933,3.730419148203815e-12,-5.976762683357781e-31
aligned,xz,-2.953125e-05,3.9296875000000025e-05,2487910.2545535164,1.7444491400581257e-11,-2.794886946071833e-30
aligned,xz,-2.953125e-05,4.007812500000003e-05,2489850.5341521283,7.829793765722644e-11,-1.2544498425007e-29
aligned,xz,-2.953125e-05,4.085937500000002e-05,2492115.1711341906,3.314006895848222e-10,-5.309488271206744e-29
aligned,xz,-2.953125e-05,4.1640625000000025e-05,2494675.5323922765,1.3435115665819878e-09,-2.1524663678213123e-28
aligned,xz,-2.953125e-05,4.2421875000000027e-05,2497553.5425768434,5.135405120052869e-09,-8.2274356302234e-28
aligned,xz,-2.953125e-05,4.320312500000003e-05,2500709.2017782214,1.876654191457778e-08,-3.0065491141805737e-27
aligned,xz,-2.953125e-05,4.3984375000000024e-05,2504172.767452874,6.465344808326117e-08,-1.0357837430716906e-26
aligned,xz,-2.953125e-05,4.4765625000000026e-05,2507890.368357188,2.126148134549461e-07,-3.4061507699421324e-26
aligned,xz,-2.953125e-05,4.554687500000003e-05,2511902.6619855408,6.593116514893194e-07,-1.056217236357581e-25
aligned,xz,-2.953125e-05,4.632812500000003e-05,2516138.733484096,1.9500382229436683e-06,-3.123904147963281e-25
aligned,xz,-2.953125e-05,4.7109375000000025e-05,2520652.274427608,5.447161340150016e-06,-8.726025350868457e-25
aligned,xz,-2.953125e-05,4.789062500000003e-05,2525351.4459915943,1.4538277564245617e-05,-2.3289033170298262e-24
aligned,xz,-2.953125e-05,4.867187500000003e-05,2530306.2381746024,3.6731165737612326e-05,-5.883906240562706e-24
aligned,xz,-2.953125e-05,4.945312500000003e-05,2535399.280671037,8.801625738377188e-05,-1.4098961445150094e-23
aligned,xz,-2.953125e-05,5.023437500000003e-05,2540720.8080886286,0.00019803553313551837,-3.1721994072712306e-23
aligned,xz,-2.953125e-05,5.101562500000003e-05,2546122.6051861746,0.00042181235090477684,-6.756637859373813e-23
aligned,xz,-2.953125e-05,5.179687500000003e-05,2551719.8026859923,0.0008442119737196757,-1.352250325807125e-22
aligned,xz,-2.953125e-05,5.257812500000003e-05,2557327.406659358,0.0015978171062070098,-2.5593396873106586e-22
aligned,xz,-2.953125e-05,5.335937500000003e-05,2563090.774703769,0.002843090013035627,-4.553939707082129e-22
aligned,xz,-2.953125e-05,5.414062500000003e-05,2568781.7586652064,0.004778781339495626,-7.654392790196396e-22
aligned,xz,-2.953125e-05,5.492187500000003e-05,2574581.8508975515,0.007555209967016141,-1.2101459924820754e-21
aligned,xz,-2.953125e-05,5.5703125000000034e-05,2580213.232968257,0.01127238635840709,-1.8055350038878706e-21
aligned,xz,-2.953125e-05,5.648437500000003e-05,2585899.809130002,0.015823570640156888,-2.5345109472138462e-21
aligned,xz,-2.953125e-05,5.726562500000003e-05,2591307.8840268003,0.020950030417507752,-3.3556382376213734e-21
aligned,xz,-2.953125e-05,5.8046875000000034e-05,2596710.0781146027,0.02610231935411196,-4.180913649576449e-21
aligned,xz,-2.953125e-05,5.8828125000000036e-05,2601711.5337153804,0.030658806601502907,-4.9107746715007135e-21
aligned,xz,-2.953125e-05,5.960937500000003e-05,2606639.4224487375,0.033874737251381695,-5.4259282862208584e-21
aligned,xz,-2.953125e-05,6.0390625000000026e-05,2611034.1229629973,0.03522805057128636,-5.642749798842438e-21
aligned,xz,-2.953125e-05,6.117187500000003e-05,2615282.0709836525,0.034572257172116566,-5.537769415342319e-21
aligned,xz,-2.953125e-05,6.195312500000002e-05,2618857.830115826,0.03203106722337738,-5.1307907196710215e-21
aligned,xz,-2.953125e-05,6.273437500000003e-05,2622209.9105645744,0.027848363846237654,-4.460857974397388e-21
aligned,xz,-2.953125e-05,6.351562500000003e-05,2624749.433922502,0.02277786305945737,-3.648696847491309e-21
aligned,xz,-2.953125e-05,6.429687500000004e-05,2626987.052747382,0.017568210396397464,-2.8142245374507618e-21
aligned,xz,-2.953125e-05,6.507812500000003e-05,2628276.9843820287,0.012743960843335456,-2.0414657953832917e-21
aligned,xz,-2.953125e-05,6.585937500000003e-05,2629188.562401548,0.008717272262567126,-1.3964482393953263e-21
aligned,xz,-2.953125e-05,6.664062500000002e-05,2629030.232524043,0.005603268461363147,-8.976189793497944e-22
aligned,xz,-2.953125e-05,6.742187500000003e-05,2628422.434228413,0.0033980844686752765,-5.443660990880144e-22
aligned,xz,-2.953125e-05,6.820312500000003e-05,2626643.5135395154,0.0019342337937778165,-3.0986448780996183e-22
aligned,xz,-2.953125e-05,6.898437500000002e-05,2624353.106360929,0.0010396799669194774,-1.665590745364431e-22
aligned,xz,-2.953125e-05,6.976562500000003e-05,2620819.005344893,0.0005237882494927508,-8.391308342660384e-23
