step,time_s,dt_s,topology,topology_status,head_position_m,E_peak_V_m,eta_peak,ne_peak_m3,sigma_e_peak_S_m,tau_i_at_E_peak_s,tau_M_at_E_peak_s,Pi_RF_at_E_peak,K_ion_z_A_m_s,current_moment_z_A_m
1739,8.6753073052661288e-12,5e-15,ELECTRODE_ATTACHMENT,CONFIRMED,6.4479212835497128e-05,22358642.842563462,8.4913606032629581,2638602026990016.5,1.4130485500121534e-05,6.0442781573150872e-12,6.2660181157426236e-07,103668.59288497793,0.028109618399253807,-4.2824289848641428e-13
1740,8.6803073052661281e-12,5e-15,ELECTRODE_ATTACHMENT,CONFIRMED,6.4480061637850524e-05,22358642.837400552,8.4913606013021905,2637724354001193.5,1.4125785304905322e-05,6.0442781596850187e-12,6.2681030623658804e-07,103703.08739551004,0.028099472185158316,-4.2853751079785237e-13
1741,8.6853073052661274e-12,5e-15,ELECTRODE_ATTACHMENT,CONFIRMED,6.4480909484705869e-05,22358642.8323102,8.4913605993689778,2636843905927752,1.4121070248294858e-05,6.0442781620216423e-12,6.270195995851772e-07,103737.71404581695,0.028089298178434662,-4.2883197582896304e-13
1742,8.6903073052661266e-12,5e-15,ELECTRODE_ATTACHMENT,CONFIRMED,6.4481756376650394e-05,22358642.827292401,8.4913605974633182,2635960684827442.5,1.4116340341310003e-05,6.0442781643249639e-12,6.2722969259172222e-07,103772.47299666137,0.028079096400463712,-4.2912629314514386e-13
1743,8.6953073052661259e-12,5e-15,ELECTRODE_ATTACHMENT,CONFIRMED,6.4482602314274218e-05,22358642.822347321,8.4913605955852773,2635074692764128,1.4111595595003334e-05,6.0442781665949066e-12,6.2744058623215592e-07,103807.36440950891,0.028068866872688298,-4.2942046231196375e-13
1744,8.7003073052661252e-12,5e-15,ELECTRODE_ATTACHMENT,CONFIRMED,6.4483447298170317e-05,22358642.817475032,8.4913605937348802,2634185931807782,1.4106836020460174e-05,6.0442781688314334e-12,6.2765228148665839e-07,103842.3884465273,0.028058609616612429,-4.2971448289516395e-13
1745,8.7053073052661245e-12,5e-15,ELECTRODE_ATTACHMENT,CONFIRMED,6.4484291328934502e-05,22358642.812675688,8.4913605919121871,2633294404034482.5,1.4102061628798515e-05,6.0442781710344755e-12,6.2786477933966951e-07,103877.54527058949,0.028048324653801675,-4.3000835446065588e-13
1746,8.7103073052661237e-12,5e-15,ELECTRODE_ATTACHMENT,CONFIRMED,6.4485134407165346e-05,22358642.807949342,8.4913605901172158,2632400111526409,1.4097272431169038e-05,6.0442781732040127e-12,6.2807808077989687e-07,103912.83504527371,0.028038012005882587,-4.3030207657452682e-13
1747,8.715307305266123e-12,5e-15,ELECTRODE_ATTACHMENT,CONFIRMED,6.4485976533464176e-05,22358642.803296108,8.4913605883500107,2631503056371837.5,1.4092468438755076e-05,6.0442781753399853e-12,6.2829218680032587e-07,103948.25793486663,0.028027671694543278,-4.3059564880303665e-13
1748,8.7203073052661223e-12,5e-15,ELECTRODE_ATTACHMENT,CONFIRMED,6.4486817708435108e-05,22358642.798716042,8.491360586610595,2630603240665137,1.4087649662772576e-05,6.0442781774423763e-12,6.2850709839823044e-07,103983.81410436373,0.02801730374153278,-4.3088907071262263e-13
1749,8.7253073052661215e-12,5e-15,ELECTRODE_ATTACHMENT,CONFIRMED,6.4487657932684931e-05,22358642.794209313,8.4913605848990308,2629700666506764.5,1.4082816114470098e-05,6.0442781795110985e-12,6.2872281657518194e-07,104019.50371947263,0.028006908168661814,-4.3118234186989705e-13
1750,8.7303073052661208e-12,5e-15,ELECTRODE_ATTACHMENT,CONFIRMED,6.4488497206823087e-05,22358642.789775904,8.491360583215311,2628795336003261.5,1.4077967805128794e-05,6.0442781815461679e-12,6.2893934233705952e-07,104055.32694661192,0.027996484997801562,-4.3147546184165173e-13
1751,8.7353073052661201e-12,5e-15,ELECTRODE_ATTACHMENT,CONFIRMED,6.4489335531461717e-05,22358642.785416063,8.4913605815595314,2627887251267249.5,1.4073104746062356e-05,6.0442781835474636e-12,6.291566766940604e-07,104091.283952917,0.027986034250885236,-4.3176843019485579e-13
1752,8.7403073052661194e-12,5e-15,ELECTRODE_ATTACHMENT,CONFIRMED,6.449017290721551e-05,22358642.7811298,8.4913605799316958,2626976414417425.5,1.4068226948617036e-05,6.0442781855149886e-12,6.2937482066070898e-07,104127.37490623698,0.027975555949906306,-4.3206124649665937e-13
1753,8.7453073052661186e-12,5e-15,ELECTRODE_ATTACHMENT,CONFIRMED,6.4491009334701811e-05,22358642.776917197,8.4913605783318342,2626062827578558,1.4063334424171578e-05,6.0442781874487026e-12,6.2959377525586859e-07,104163.59997513962,0.027965050116919504,-4.3235391031439324e-13
1754,8.7503073052661179e-12,5e-15,ELECTRODE_ATTACHMENT,CONFIRMED,6.4491844814540498e-05,22358642.772778422,8.4913605767600107,2625146492881482.5,1.4058427184137234e-05,6.044278189348524e-12,6.2981354150274972e-07,104199.95932891261,0.027954516774040886,-4.3264642121556927e-13
1755,8.7553073052661172e-12,5e-15,ELECTRODE_ATTACHMENT,CONFIRMED,6.4492679347353957e-05,22358642.768713448,8.4913605752162162,2624227412463097.5,1.4053505239957721e-05,6.044278191214469e-12,6.3003412042892139e-07,104236.45313756306,0.027943955943446765,-4.3293877876788364e-13
