frequency_Hz,Z_real_ohm,Z_imag_ohm,S11_real,S11_imag,P_inc,P_ref,P_acc
2.100000000000000000e+08,1.000078059012432448e+02,4.923394158514396435e-01,3.333752053898809686e-01,2.187923888350854721e-03,1.082629948050904209e-28,1.203276222045854155e-29,9.623023258463186812e-29
2.150000000000000000e+08,1.000081679181940615e+02,5.040270622031892689e-01,3.333771591091604924e-01,2.239851047810887362e-03,1.108752321852814811e-28,1.232326617139377548e-29,9.855196601388769861e-29
2.200000000000000000e+08,1.000085394653298039e+02,5.157137014322152879e-01,3.333791632279137773e-01,2.291772857791382276e-03,1.135757364230116875e-28,1.262359314220305195e-29,1.009521432808086607e-28
2.250000000000000000e+08,1.000089205686012406e+02,5.273994105161033952e-01,3.333812178607362675e-01,2.343689637966737092e-03,1.163661437695340207e-28,1.293392574069483331e-29,1.034322180288391622e-28
2.300000000000000000e+08,1.000093112517163263e+02,5.390842663687825942e-01,3.333833231124394003e-01,2.395601707724108291e-03,1.192481005241760665e-28,1.325444772308854689e-29,1.059936528010875224e-28
2.350000000000000000e+08,1.000097115361596281e+02,5.507683455633869407e-01,3.333854790781276556e-01,2.447509384938478284e-03,1.222232610704157335e-28,1.358534377642571120e-29,1.086379172939900251e-28
2.400000000000000000e+08,1.000101214412184589e+02,5.624517240729363099e-01,3.333876858433049151e-01,2.499412984827104750e-03,1.252932858637585821e-28,1.392679929560583548e-29,1.113664865681527467e-28
2.450000000000000000e+08,1.000105409840142840e+02,5.741344770300786937e-01,3.333899434840034703e-01,2.551312818887833869e-03,1.284598393719290338e-28,1.427900015510147257e-29,1.141808392168275696e-28
2.500000000000000000e+08,1.000109701795396546e+02,5.858166785059729653e-01,3.333922520669386214e-01,2.603209193921608797e-03,1.317245879679713600e-28,1.464213247541672949e-29,1.170824554925546278e-28
2.550000000000000000e+08,1.000114090406992347e+02,5.974984013064562616e-01,3.333946116496797618e-01,2.655102411134114496e-03,1.350891977769428952e-28,1.501638238436231886e-29,1.200728153925805679e-28
2.600000000000000000e+08,1.000118575783551336e+02,6.091797167878877373e-01,3.333970222808412265e-01,2.706992765320681473e-03,1.385553324769756573e-28,1.540193577323126283e-29,1.231533967037443776e-28
2.650000000000000000e+08,1.000123158013756210e+02,6.208606946896160217e-01,3.333994840002874605e-01,2.758880544128187399e-03,1.421246510555745766e-28,1.579897804796936350e-29,1.263256730076052131e-28
2.700000000000000000e+08,1.000127837166868403e+02,6.325414029840807917e-01,3.334019968393521771e-01,2.810766027393720237e-03,1.457988055221173905e-28,1.620769387544504108e-29,1.295911116466723130e-28
2.750000000000000000e+08,1.000132613293274346e+02,6.442219077444891751e-01,3.334045608210702838e-01,2.862649486560187636e-03,1.495794385776202701e-28,1.662826692493481129e-29,1.329511716526854616e-28
2.800000000000000000e+08,1.000137486425051208e+02,6.559022730274552959e-01,3.334071759604180230e-01,2.914531184160217177e-03,1.534681812429338502e-28,1.706087960495087454e-29,1.364073016379829869e-28
2.850000000000000000e+08,1.000142456576554935e+02,6.675825607718566257e-01,3.334098422645636606e-01,2.966411373369710544e-03,1.574666504466392608e-28,1.750571279554988769e-29,1.399609376510893844e-28
2.900000000000000000e+08,1.000147523745016969e+02,6.792628307124571885e-01,3.334125597331229485e-01,3.018290297628204062e-03,1.615764465740157056e-28,1.796294557627245340e-29,1.436135009977432662e-28
2.950000000000000000e+08,1.000152687911162559e+02,6.909431403074890454e-01,3.334153283584219696e-01,3.070168190320470610e-03,1.657991509785624982e-28,1.843275494987624230e-29,1.473663960286862644e-28
3.000000000000000000e+08,1.000157949039833198e+02,7.026235446797406414e-01,3.334181481257654789e-01,3.122045274518119116e-03,1.701363234576633285e-28,1.891531556203631827e-29,1.512210078956270327e-28
3.050000000000000000e+08,1.000163307080616732e+02,7.143040965699802847e-01,3.334210190137059104e-01,3.173921762774893716e-03,1.745894996940918042e-28,1.941079941719907882e-29,1.551787002768927198e-28
3.100000000000000000e+08,1.000168761968484574e+02,7.259848463024376475e-01,3.334239409943174359e-01,3.225797856976693467e-03,1.791601886651690158e-28,1.991937559078897426e-29,1.592408130743800331e-28
3.150000000000000000e+08,1.000174313624431761e+02,7.376658417614322394e-01,3.334269140334725212e-01,3.277673748239606170e-03,1.838498700214944272e-28,2.044120993797881711e-29,1.634086600835156129e-28
3.200000000000000000e+08,1.000179961956116159e+02,7.493471283779664649e-01,3.334299380911143196e-01,3.329549616852959561e-03,1.886599914372841283e-28,2.097646479924720832e-29,1.676835266380369116e-28
3.250000000000000000e+08,1.000185706858500652e+02,7.610287491262472948e-01,3.334330131215369475e-01,3.381425632265484729e-03,1.935919659344651207e-28,2.152529870296030907e-29,1.720666672315048368e-28
3.300000000000000000e+08,1.000191548214491917e+02,7.727107445289451704e-01,3.334361390736594322e-01,3.433301953110576288e-03,1.986471691827844862e-28,2.208786606522572727e-29,1.765593031175587421e-28
3.350000000000000000e+08,1.000197485895578211e+02,7.843931526705548718e-01,3.334393158913023236e-01,3.485178727266962598e-03,2.038269367783074166e-28,2.266431688728081373e-29,1.811626198910266309e-28
3.400000000000000000e+08,1.000203519762460047e+02,7.960760092182515013e-01,3.334425435134605875e-01,3.537056091952725610e-03,2.091325615027899402e-28,2.325479645068902214e-29,1.858777650521009265e-28
3.450000000000000000e+08,1.000209649665680018e+02,8.077593474494928483e-01,3.334458218745764979e-01,3.588934173849032613e-03,2.145652905665243542e-28,2.385944501063115332e-29,1.907058455558932065e-28
3.500000000000000000e+08,1.000215875446245235e+02,8.194431982859546881e-01,3.334491509048104763e-01,3.640813089251647428e-03,2.201263228373655659e-28,2.447839748759036663e-29,1.956479253497751741e-28
3.550000000000000000e+08,1.000222196936242653e+02,8.311275903327887127e-01,3.334525305303082665e-01,3.692692944245948381e-03,2.258168060587570853e-28,2.511178315774193492e-29,2.007050229010151560e-28
3.600000000000000000e+08,1.000228613959450570e+02,8.428125499229196516e-01,3.334559606734668336e-01,3.744573834904214079e-03,2.316378340596844841e-28,2.575972534237161363e-29,2.058781087173128425e-28
3.650000000000000000e+08,1.000235126331941302e+02,8.544981011657509784e-01,3.334594412531976526e-01,3.796455847502097809e-03,2.375904439595865119e-28,2.642234109665729361e-29,2.111681028629291511e-28
3.700000000000000000e+08,1.000241733862673499e+02,8.661842659998256755e-01,3.334629721851854467e-01,3.848339058752849474e-03,2.436756133713649312e-28,2.709974089816096626e-29,2.165758724732040154e-28
3.750000000000000000e+08,1.000248436354081178e+02,8.778710642487512761e-01,3.334665533821432604e-01,3.900223536055109561e-03,2.498942576057308542e-28,2.779202833538963816e-29,2.221022292703411936e-28
3.800000000000000000e+08,1.000255233602649554e+02,8.895585136798758175e-01,3.334701847540682551e-01,3.952109337753680583e-03,2.562472268802252736e-28,2.849929979679455226e-29,2.277479270834307157e-28
3.850000000000000000e+08,1.000262125399486592e+02,9.012466300660060270e-01,3.334738662084890670e-01,4.003996513413082131e-03,2.627353035363503985e-28,2.922164416058850391e-29,2.335136593757619170e-28
3.900000000000000000e+08,1.000269111530881929e+02,9.129354272482780308e-01,3.334775976507114437e-01,4.055885104095602323e-03,2.693591992683383591e-28,2.995914248577249431e-29,2.394000567825658536e-28
3.950000000000000000e+08,1.000276191778857395e+02,9.246249172015242879e-01,3.334813789840610498e-01,4.107775142651731715e-03,2.761195523671745140e-28,3.071186770477218437e-29,2.454076846624023296e-28
