x_m,y_m,z_m,lsf_m,inside_conductor
-2.9e-05,-5.6e-06,7e-05,2.4494181355010917e-05,0
-2.9e-05,-5.2e-06,7e-05,2.4494181355010917e-05,0
-2.9e-05,-4.800000000000001e-06,7e-05,2.4494181355010917e-05,0
-2.9e-05,-4.4e-06,7e-05,2.4494181355010917e-05,0
-2.9e-05,-4.000000000000001e-06,7e-05,2.4494181355010917e-05,0
-2.9e-05,-3.600000000000001e-06,7e-05,2.4494181355010917e-05,0
-2.9e-05,-3.2e-06,7e-05,2.4494181355010917e-05,0
-2.9e-05,-2.8000000000000003e-06,7e-05,2.4494181355010917e-05,0
-2.9e-05,-2.4000000000000007e-06,7e-05,2.4494181355010917e-05,0
-2.9e-05,-1.9999999999999995e-06,7e-05,2.4494181355010917e-05,0
-2.9e-05,-1.6e-06,7e-05,2.4494181355010917e-05,0
-2.9e-05,-1.2000000000000004e-06,7e-05,2.4494181355010917e-05,0
-2.9e-05,-7.999999999999991e-07,7e-05,2.4494181355010917e-05,0
-2.9e-05,-3.9999999999999956e-07,7e-05,2.4494181355010917e-05,0
-2.9e-05,0.0,7e-05,2.4494181355010917e-05,0
-2.9e-05,3.9999999999999956e-07,7e-05,2.4494181355010917e-05,0
-2.9e-05,8.000000000000008e-07,7e-05,2.4494181355010917e-05,0
-2.9e-05,1.2000000000000004e-06,7e-05,2.4494181355010917e-05,0
-2.9e-05,1.6e-06,7e-05,2.4494181355010917e-05,0
-2.9e-05,1.9999999999999995e-06,7e-05,2.4494181355010917e-05,0
-2.9e-05,2.399999999999999e-06,7e-05,2.4494181355010917e-05,0
-2.9e-05,2.8000000000000003e-06,7e-05,2.4494181355010917e-05,0
-2.9e-05,3.2e-06,7e-05,2.4494181355010917e-05,0
-2.9e-05,3.5999999999999994e-06,7e-05,2.4494181355010917e-05,0
-2.9e-05,3.999999999999999e-06,7e-05,2.4494181355010917e-05,0
-2.9e-05,4.400000000000002e-06,7e-05,2.4494181355010917e-05,0
-2.9e-05,4.799999999999998e-06,7e-05,2.4494181355010917e-05,0
-2.9e-05,5.199999999999998e-06,7e-05,2.4494181355010917e-05,0
