x_m,y_m,z_m,lsf_m,inside_conductor
0.0,-9.6e-06,0.000101,4.599999999999999e-06,0
0.0,-9.6e-06,0.00010215,4.599999999999999e-06,0
0.0,-9.6e-06,0.0001033,4.599999999999999e-06,0
0.0,-9.6e-06,0.00010445,4.599999999999999e-06,0
0.0,-9.6e-06,0.00010559999999999999,4.599999999999999e-06,0
0.0,-9.6e-06,0.00010674999999999999,4.599999999999999e-06,0
0.0,-9.6e-06,0.0001079,4.599999999999999e-06,0
0.0,-9.6e-06,0.00010905,4.599999999999999e-06,0
0.0,-9.6e-06,0.0001102,4.599999999999999e-06,0
0.0,-9.6e-06,0.00011135,4.599999999999999e-06,0
0.0,-9.6e-06,0.0001125,4.599999999999999e-06,0
0.0,-9.6e-06,0.00011365,4.599999999999999e-06,0
0.0,-9.6e-06,0.0001148,4.599999999999999e-06,0
0.0,-9.6e-06,0.00011595,4.599999999999999e-06,0
0.0,-9.6e-06,0.0001171,4.599999999999999e-06,0
0.0,-9.6e-06,0.00011825,4.599999999999999e-06,0
0.0,-9.6e-06,0.0001194,4.599999999999999e-06,0
0.0,-9.6e-06,0.00012055,4.599999999999999e-06,0
0.0,-9.6e-06,0.0001217,4.599999999999999e-06,0
0.0,-9.6e-06,0.00012285,4.599999999999999e-06,0
0.0,-9.6e-06,0.000124,4.599999999999999e-06,0
0.0,-9.2e-06,5.5e-05,1.4e-05,0
0.0,-9.2e-06,5.615e-05,1.2849999999999999e-05,0
0.0,-9.2e-06,5.7300000000000004e-05,1.1699999999999998e-05,0
0.0,-9.2e-06,5.8450000000000005e-05,1.0549999999999997e-05,0
0.0,-9.2e-06,5.96e-05,9.400000000000003e-06,0
0.0,-9.2e-06,6.075e-05,8.250000000000002e-06,0
0.0,-9.2e-06,6.19e-05,7.100000000000002e-06,0
0.0,-9.2e-06,6.305e-05,5.950000000000001e-06,0
0.0,-9.2e-06,6.42e-05,4.8e-06,0
0.0,-9.2e-06,6.535e-05,4.2e-06,0
0.0,-9.2e-06,6.65e-05,4.2e-06,0
0.0,-9.2e-06,6.765e-05,4.2e-06,0
0.0,-9.2e-06,6.88e-05,4.2e-06,0
0.0,-9.2e-06,6.995e-05,4.2e-06,0
0.0,-9.2e-06,7.11e-05,4.2e-06,0
0.0,-9.2e-06,7.225e-05,4.2e-06,0
0.0,-9.2e-06,7.34e-05,4.2e-06,0
0.0,-9.2e-06,7.455e-05,4.2e-06,0
0.0,-9.2e-06,7.57e-05,4.2e-06,0
0.0,-9.2e-06,7.685e-05,4.2e-06,0
