x_m,y_m,z_m,lsf_m,inside_conductor
-2.8e-05,0.0,6.42e-05,2.5828969608433627e-05,0
-2.8e-05,0.0,6.535e-05,2.538165176583721e-05,0
-2.8e-05,0.0,6.65e-05,2.4934333923240793e-05,0
-2.8e-05,0.0,6.765e-05,2.4487016080644375e-05,0
-2.8e-05,0.0,6.88e-05,2.4039698238047965e-05,0
-2.8e-05,0.0,6.995e-05,2.3592380395451534e-05,0
-2.8e-05,0.0,7.11e-05,2.314506255285513e-05,0
-2.8e-05,0.0,7.225e-05,2.2697744710258714e-05,0
-2.8e-05,0.0,7.34e-05,2.225042686766229e-05,0
-2.8e-05,0.0,7.455e-05,2.1803109025065873e-05,0
-2.8e-05,0.0,7.57e-05,2.1355791182469455e-05,0
-2.8e-05,0.0,7.685e-05,2.090847333987304e-05,0
-2.8e-05,0.0,7.8e-05,2.046115549727662e-05,0
-2.8e-05,0.0,7.915e-05,2.0013837654680204e-05,0
-2.8e-05,0.0,8.03e-05,1.9566519812083787e-05,0
-2.8e-05,0.0,8.145e-05,1.911920196948737e-05,0
-2.8e-05,0.0,8.26e-05,1.8671884126890953e-05,0
-2.8e-05,0.0,8.375e-05,1.8224566284294535e-05,0
-2.8e-05,0.0,8.49e-05,1.7777248441698118e-05,0
-2.8e-05,0.0,8.605e-05,1.7329930599101694e-05,0
-2.8e-05,0.0,8.72e-05,1.6882612756505277e-05,0
-2.8e-05,0.0,8.835e-05,1.643529491390886e-05,0
-2.8e-05,0.0,8.950000000000001e-05,1.5987977071312443e-05,0
-2.8e-05,0.0,9.065000000000001e-05,1.5540659228716026e-05,0
-2.8e-05,0.0,9.180000000000001e-05,1.5093341386119605e-05,0
-2.8e-05,0.0,9.295000000000001e-05,1.4646023543523191e-05,0
-2.8e-05,0.0,9.410000000000001e-05,1.4198705700926773e-05,0
-2.8e-05,0.0,9.525000000000001e-05,1.3751387858330356e-05,0
-2.8e-05,0.0,9.640000000000001e-05,1.3304070015733932e-05,0
-2.8e-05,0.0,9.755e-05,1.2856752173137521e-05,0
-2.8e-05,0.0,9.87e-05,1.2409434330541107e-05,0
-2.8e-05,0.0,9.985e-05,1.196211648794469e-05,0
-2.8e-05,0.0,0.000101,1.151479864534827e-05,0
-2.8e-05,0.0,0.00010215,1.1067480802751851e-05,0
-2.8e-05,0.0,0.0001033,1.0620162960155434e-05,0
-2.8e-05,0.0,0.00010445,1.0172845117559015e-05,0
-2.8e-05,0.0,0.00010559999999999999,9.725527274962603e-06,0
-2.8e-05,0.0,0.00010674999999999999,9.278209432366189e-06,0
-2.8e-05,0.0,0.0001079,8.830891589769772e-06,0
-2.8e-05,0.0,0.00010905,8.38357374717335e-06,0
-2.8e-05,0.0,0.0001102,7.936255904576934e-06,0
-2.8e-05,0.0,0.00011135,7.488938061980518e-06,0
-2.8e-05,0.0,0.0001125,7.041620219384096e-06,0
-2.8e-05,0.0,0.00011365,6.6032546566255285e-06,0
-2.8e-05,0.0,0.0001148,6.26498785752037e-06,0
-2.8e-05,0.0,0.00011595,6.06104298632337e-06,0
-2.8e-05,0.0,0.0001171,6.000555538409837e-06,0
-2.8e-05,0.0,0.00011825,6.086390922693124e-06,0
-2.8e-05,0.0,0.0001194,6.314504817756017e-06,0
-2.8e-05,0.0,0.00012055,6.674838499944076e-06,0
-2.8e-05,0.0,0.0001217,7.153324578678659e-06,0
-2.8e-05,0.0,0.00012285,7.734174397688916e-06,0
-2.8e-05,0.0,0.000124,8.40175425099139e-06,0
-2.7e-05,0.0,5.5e-05,2.8906112267087632e-05,0
-2.7e-05,0.0,5.615e-05,2.8308505234201136e-05,0
-2.7e-05,0.0,5.7300000000000004e-05,2.7742316113136304e-05,0
-2.7e-05,0.0,5.8450000000000005e-05,2.720931147841671e-05,0
-2.7e-05,0.0,5.96e-05,2.6711277320236506e-05,0
-2.7e-05,0.0,6.075e-05,2.6249673574811493e-05,0
-2.7e-05,0.0,6.19e-05,2.5802355732215082e-05,0
