r_m,T_K,p_Pa,rho_kg_m3,u_m_s,sigma_S_m
9.833333333333333e-05,502.7762971066078,103443.17611384815,0.7129158399158128,0.0,2.292341040693051e-39
0.00010166666666666667,455.31211230260044,102947.37111124341,0.7834624471453174,0.0,1.1530817401023331e-42
0.000105,417.9052298001749,102556.62344427864,0.8503519164343972,0.0,1.4013973155276867e-45
0.00010833333333333333,388.7156862727504,102251.7130836687,0.9114897597669471,0.0,4.4178718626995135e-48
0.00011166666666666667,366.1618085743644,102016.1180674018,0.9654046119594386,0.0,3.6102331067485733e-50
0.000115,348.90507451900254,101835.85635831319,1.0113635863546973,0.0,7.223235108159478e-52
0.00011833333333333333,335.8294454298271,101699.26995445126,1.0493325208104183,0.0,3.2194469844004954e-53
0.00012166666666666668,326.0175172977532,101596.77576703041,1.079824555181796,0.0,2.854028084629384e-54
0.000125,318.72540512140876,101520.60326535327,1.1037019744426222,0.0,4.475448646104566e-55
0.00012833333333333333,313.35783877539313,101464.53433133161,1.121987682239258,0.0,1.111223386842706e-55
0.00013166666666666665,309.44453927557606,101423.65648887605,1.1357189695948315,0.0,3.959725089267357e-56
0.000135,306.6185821117369,101394.13688994554,1.1458528506710792,0.0,1.8632979104556283e-56
0.00013833333333333333,304.5971507988892,101373.02126852551,1.1532170609669745,0.0,1.081770324605753e-56
0.00014166666666666668,303.16484280189104,101358.0595563816,1.1584945000519593,0.0,7.341852815250428e-57
0.000145,302.1595096121132,101347.5579702523,1.1622286038973608,0.0,5.586682881680445e-57
0.00014833333333333332,301.46048716304233,101340.25606822631,1.1648396583320593,0.0,4.6175174673476814e-57
0.00015166666666666665,300.978993822365,101335.2264483558,1.1666452317957348,0.0,4.048509658748868e-57
0.000155,300.6504317957373,101331.79433007249,1.1678806409301852,0.0,3.700555497416912e-57
0.00015833333333333332,300.4283148969933,101329.47412442659,1.1687173420732437,0.0,3.482229202960752e-57
0.00016166666666666668,300.279553027978,101327.92017634638,1.1692784113096137,0.0,3.3431678572469946e-57
0.000165,300.1808443006157,101326.88907719174,1.169651007379188,0.0,3.2539365293265466e-57
0.00016833333333333332,300.11595381891414,101326.21123924757,1.1698960831583871,0.0,3.196561620184014e-57
0.00017166666666666667,300.0736893781266,101325.7697501277,1.1700557628104076,0.0,3.1597305161080797e-57
0.000175,300.04641563870365,101325.48485201976,1.170158829843987,0.0,3.1361857130782555e-57
0.00017833333333333335,300.0289776641749,101325.30269709512,1.1702247374966446,0.0,3.1212227656269055e-57
0.00018166666666666667,300.01793089732473,101325.18730393519,1.170266493240483,0.0,3.111780389826559e-57
0.000185,300.01099715324585,101325.11487490234,1.1702927037143214,0.0,3.105868088172375e-57
0.00018833333333333332,300.00668494956284,101325.06983015614,1.1703090050282048,0.0,3.1021967300788483e-57
0.00019166666666666667,300.0040276859256,101325.04207270891,1.1703190504476952,0.0,3.09993650181635e-57
0.000195,300.00240520813753,101325.02512450665,1.170325184089188,0.0,3.098557246212731e-57
0.00019833333333333335,300.0014236044479,101325.01487079593,1.1703288949919977,0.0,3.097723086803304e-57
0.00020166666666666667,300.00083515216744,101325.00872389622,1.170331119617549,0.0,3.097223130787467e-57
0.000205,300.00048560314804,101325.00507255041,1.170332441080881,0.0,3.096926187522163e-57
0.00020833333333333332,300.00027985751854,101325.00292335701,1.1703332188997086,0.0,3.0967514189420195e-57
0.00021166666666666667,300.0001598571512,101325.00166984802,1.1703336725601172,0.0,3.096649490318543e-57
