G_length_S_m,Rsp_ohm,Ez_V_m,PJ_volume_W,PJ_circuit_W,joule_closure_relative,time_s,accepted_steps,rejected_steps,T_axis_K,T_max_K,T_min_K,p_axis_Pa,p_min_Pa,rho_axis_kg_m3,rho_min_kg_m3,sigma_axis_S_m,sigma_max_S_m,channel_radius_m,outward_velocity_max_m_s,internal_energy_J,kinetic_energy_J,total_energy_J,cumulative_Joule_J,conduction_boundary_loss_J,hydro_boundary_loss_J,radiation_loss_J,energy_residual_J,mass_residual_kg
3.5099743499687485e-06,284.90236688165646,15215.896621021886,0.8126415814502381,0.8126415814502381,0.0,1.2036252879257247e-09,12,0,9701.05149158928,9701.05149158928,300.0,195756.32466332513,101325.0,0.034690627753382886,0.034690627753382886,2589.2768641753933,2589.2768641753933,7.646209698502006e-05,44.86045062651856,0.00020825473762756358,2.434923550429419e-10,0.00020825498111991863,8.189579269471745e-10,0.0,-4.641600533164435e-25,0.0,-5.585045834871491e-20,-1.5231059538993897e-30
3.4635310117094307e-06,288.72269271423346,15581.08291136386,0.8408419248537536,0.8408419248537539,2.640741361268958e-16,1.3039084205748743e-09,13,0,9675.924602158335,9675.924602158335,300.0,195078.95229226604,101325.0,0.034681482051129205,0.034681482051129205,2563.1683956139464,2563.1683956139464,7.650755940490817e-05,48.404346385908944,0.00020825477862565942,2.839885027422073e-10,0.00020825506261416216,9.004521704559634e-10,0.0,-5.485368253239855e-25,0.0,-2.805138048184075e-20,-1.033993765510498e-25
3.418021298764963e-06,292.5669305692539,15961.726874657783,0.8708322718683476,0.8708322718683478,2.5497976142827186e-16,1.404179862893626e-09,14,0,9650.516627402127,9650.516627402127,300.0,194380.76040678026,101325.0,0.03466989959391096,0.03466989959391096,2536.7649648820734,2536.7649648820734,7.655354519136991e-05,51.840734141118794,0.00020825481959082753,3.273357672060674e-10,0.00020825514692659474,9.84764603023125e-10,0.0,-6.399330092402029e-25,0.0,-1.7118522324334732e-20,-1.033996764606842e-25
3.373428494196698e-06,296.43432541116493,16357.51529950712,0.9026225502140577,0.9026225502140577,0.0,1.5044374123358986e-09,15,0,9624.815598562029,9624.815598562029,300.0,193661.21539280776,101325.0,0.03465582896902241,0.03465582896902241,2510.054350525703,2510.054350525703,7.660007460383552e-05,55.16032874029868,0.0002082548607616573,3.734724469998572e-10,0.0002082552342341043,1.0720721125758922e-09,0.0,-7.383439847238569e-25,0.0,-1.347840565461748e-20,1.033951537494327e-25
3.329736654137028e-06,300.32405077967684,16768.05896687545,0.9362147346729884,0.9362147346729882,2.3717273046614626e-16,1.6046787857620781e-09,16,0,9598.813895667483,9598.813895667483,300.0,192919.90119765038,101325.0,0.03463922022192283,0.03463922022192283,2483.0289166781085,2483.0289166781085,7.664716019939436e-05,58.35536665672321,0.00020825490238068697,4.223335414540646e-10,0.00020825532471422842,1.16255223669479e-09,0.0,-8.437644295217593e-25,0.0,-6.907388288941026e-21,-1.034003453180053e-25
3.2869305167812117e-06,304.2352112083187,17192.892484178945,0.9716020404033182,0.9716020404033183,1.1426725948046546e-16,1.704901622277088e-09,17,0,9572.50833701468,9572.50833701468,300.0,192156.53128792116,101325.0,0.03462002659572858,0.03462002659572858,2455.6857245560986,2455.6857245560986,7.669480668024198e-05,61.41945678593624,0.0002082549446935549,4.73850769820316e-10,0.00020825541854432473,1.2563823329908644e-09,0.0,-9.561882946369054e-25,0.0,4.736513974949691e-21,-1.034007142283781e-25
3.244995420108838e-06,308.1668447983387,17631.47451711376,1.0087681361408667,1.0087681361408667,0.0,1.805103486545692e-09,18,0,9545.90017081045,9545.90017081045,300.0,191370.95788279804,101325.0,0.03459820624036212,0.03459820624036212,2428.026543262116,2428.026543262116,7.674301091411231e-05,64.34743989045288,0.00020825498794797397,5.279526865240446e-10,0.0002082555159006605,1.3537386687664564e-09,0.0,-1.0756087813084764e-24,0.0,4.385256384434259e-21,-3.529528504600784e-30
3.2039172272078304e-06,312.1179259900813,18083.188437467117,1.0476863929799924,1.0476863929799922,2.1193804406818488e-16,1.905281872564782e-09,19,0,9518.9949797135,9518.9949797135,300.0,190563.17846591808,101325.0,0.034573723843915605,0.034573723843915605,2400.0577705833452,2400.0577705833452,7.679176210862987e-05,67.51478893357319,0.0002082550323925499,5.84564874354403e-10,0.00020825561695742424,1.4547954325125341e-09,0.0,-1.2020183200158583e-24,0.0,-8.691768328955263e-21,1.033936322373256e-25
3.16368225592479e-06,316.0873688017337,18547.34341631827,1.0883191856319372,1.088319185631937,2.0402526010427738e-16,2.0054342079360625e-09,20,0,9491.802509667936,9491.802509667936,300.0,189733.33964003812,101325.0,0.034546552145777586,0.034546552145777586,2371.790275086111,2371.790275086111,7.684104211935637e-05,70.79111316204677,0.0002082550782754629,6.436102003149158e-10,0.00020825572188566322,1.5597236715061934e-09,0.0,-1.335408551791922e-24,0.0,-2.6096815783068432e-20,-4.382041715114526e-30
3.1242772163292174e-06,320.0740301703836,19023.17595213403,1.130617260991814,1.1306172609918144,3.927847426108576e-16,2.1055578582797848e-09,21,0,9464.336434625726,9464.336434625726,300.0,188881.7384397381,101325.0,0.03451667329855572,0.03451667329855572,2343.2391709393314,2343.2391709393314,7.689082587094907e-05,73.95852385272264,0.00020825512584303195,7.050091208810514e-10,0.00020825583085215283,1.6686901611107702e-09,0.0,-1.4757703115900727e-24,0.0,-1.7757321209068604e-20,-1.0340241919729543e-25
