frequency_Hz,S11_real,S11_imag,S21_real,S21_imag,S11_dB,S21_dB,S21_phase_unwrapped_rad,group_delay_s,Zin_real_ohm,Zin_imag_ohm
2.150000000000000000e+08,9.229227739486043358e-01,-3.208583099935440885e-01,7.365232093508798997e-03,-3.929236852344955046e-03,-2.011647304415462578e-01,-4.156857292619896782e+01,-4.900749765776215017e-01,7.719051286892750099e-09,2.078386524655561018e+01,-2.946602069290398163e+02
2.155000000000000000e+08,9.220397979669798794e-01,-3.222189964346444668e-01,7.374849785787021550e-03,-4.166476915711459471e-03,-2.045960532622526085e-01,-4.144190568242794370e+01,-5.142543471919562847e-01,7.668823739649651071e-09,2.093554395202056284e+01,-2.931852302548510920e+02
2.160000000000000000e+08,9.211512662316500011e-01,-3.235851094628892644e-01,7.374403553850739437e-03,-4.403008259697346882e-03,-2.080367469620879317e-01,-4.132130168810655846e+01,-5.382596172219389352e-01,7.608510646702132664e-09,2.108327938057054496e+01,-2.917166787601084366e+02
2.165000000000000000e+08,9.202570379051233651e-01,-3.249571500741713082e-01,7.364222902460273307e-03,-4.638157011015455432e-03,-2.114861910924876187e-01,-4.120650161662629785e+01,-5.620600294968353117e-01,7.538679751324867259e-09,2.122699848734553640e+01,-2.902541093124531812e+02
2.170000000000000000e+08,9.193569286860631129e-01,-3.263356146880998510e-01,7.344689591668519466e-03,-4.871291888644483335e-03,-2.149441100962787565e-01,-4.109724609615633995e+01,-5.856265390709946006e-01,7.459857745830058900e-09,2.136666241962822355e+01,-2.887970816275512220e+02
2.175000000000000000e+08,9.184507115797186927e-01,-3.277209917806699346e-01,7.316233205168025909e-03,-5.101828125069427997e-03,-2.184105764265510674e-01,-4.099327505654451187e+01,-6.089316980790835387e-01,7.372538728108622359e-09,2.150226562008959874e+01,-2.873451609144011627e+02
2.180000000000000000e+08,9.175381179304434864e-01,-3.291137586252345093e-01,7.279326446866342566e-03,-5.329230961403078580e-03,-2.218860114019955421e-01,-4.089432707202966100e+01,-6.319495660840600548e-01,7.277192025016603166e-09,2.163383474088982794e+01,-2.858979204043284312e+02
2.185000000000000000e+08,9.166188387040011820e-01,-3.305143781617031484e-01,7.234480204782643697e-03,-5.553018699567300633e-03,-2.253711838384415134e-01,-4.080013871303471973e+01,-6.546556440881929895e-01,7.174269474357923920e-09,2.176142737950932826e+01,-2.844549437508607639e+02
2.190000000000000000e+08,9.156925260058536020e-01,-3.319232960127049825e-01,7.182238422196196050e-03,-5.772765298156519453e-03,-2.288672065114421561e-01,-4.071044391963516773e+01,-6.770268306350918364e-01,7.064212237834203343e-09,2.188513064817106013e+01,-2.830158272883559221e+02
2.195000000000000000e+08,9.147587948203482755e-01,-3.333409376640431021e-01,7.123172816543807927e-03,-5.988102502075536883e-03,-2.323755305185465359e-01,-4.062497340904522503e+01,-6.990413986277518310e-01,6.947457198589553918e-09,2.200505958963091402e+01,-2.815801821381626837e+02
2.200000000000000000e+08,9.138172249544581627e-01,-3.347677058253580307e-01,7.057877486825614270e-03,-6.198721499511480708e-03,-2.358979376237268499e-01,-4.054345412956507033e+01,-7.206789916275294638e-01,6.824442978724333328e-09,2.212135545304303008e+01,-2.801476361520258820e+02
2.205000000000000000e+08,9.128673631686988754e-01,-3.362039779853908672e-01,6.986963450258656429e-03,-6.404374103237859238e-03,-2.394365306785462555e-01,-4.046560877378180976e+01,-7.419206384813564759e-01,6.695615594122622766e-09,2.223418384441048090e+01,-2.787178356835246973e+02
2.210000000000000000e+08,9.119087254768407647e-01,-3.376501041746499121e-01,6.911053148620035017e-03,-6.604873456646880719e-03,-2.429937222268546970e-01,-4.039115536432584008e+01,-7.627487851510422745e-01,6.561433746022042227e-09,2.234373276693900578e+01,-2.772904471795121140e+02
2.215000000000000000e+08,9.109407995952631953e-01,-3.391064049466348540e-01,6.830774964147810595e-03,-6.800094268222634658e-03,-2.465722214101098986e-01,-4.031980692608175332e+01,-7.831473425883951345e-01,6.422373731078324942e-09,2.245021056725444808e+01,-2.758651585848019181e+02
2.220000000000000000e+08,9.099630475221487380e-01,-3.405731695871084819e-01,6.746757784031083040e-03,-6.989972581405488536e-03,-2.501750192998075106e-01,-4.025127125933600780e+01,-8.031017494153703806e-01,6.278933934238213187e-09,2.255384380397447686e+01,-2.744416805547270997e+02
2.225000000000000000e+08,9.089749082261343593e-01,-3.420506545591569525e-01,6.659625651433743500e-03,-7.174505089916565805e-03,-2.538053727924999836e-01,-4.018525082883124355e+01,-8.225990480287512785e-01,6.131638851648061189e-09,2.265487505560158965e+01,-2.730197474716251804e+02
2.230000000000000000e+08,9.079758004236971880e-01,-3.435390821900667913e-01,6.569992539668695342e-03,-7.353748011600351117e-03,-2.574667872097132215e-01,-4.012144278398768193e+01,-8.416279725569761894e-01,5.981042574813074398e-09,2.275356068494674133e+01,-2.715991182628235947e+02
2.235000000000000000e+08,9.069651254243168426e-01,-3.450386396042818271e-01,6.478457284582348104e-03,-7.527815536687495861e-03,-2.611629977511748524e-01,-4.005953912554389973e+01,-8.601790468564330938e-01,5.827731652570456107e-09,2.285016857742394691e+01,-2.701795770192491659e+02
2.240000000000000000e+08,9.059422700223239699e-01,-3.465494779049751450e-01,6.385598708446529881e-03,-7.696877869061433466e-03,-2.648979499549091732e-01,-3.999922703344862640e+01,-8.782446904505928353e-01,5.672327234891336367e-09,2.294497587054477350e+01,-2.687609334153409577e+02
2.245000000000000000e+08,9.049066094144203598e-01,-3.480717116049998894e-01,6.291970966690390091e-03,-7.861158881609297752e-03,-2.686757793212008472e-01,-3.994018936990590163e+01,-8.958193299962162737e-01,5.515486393061188439e-09,2.303826669173583142e+01,-2.673430229325545611e+02
2.250000000000000000e+08,9.038575101220444052e-01,-3.496054183063463938e-01,6.198099146666842182e-03,-8.020933409046415719e-03,-2.725007902596106590e-01,-3.988210536992016131e+01,-9.128995135174242659e-01,5.357902505362781738e-09,2.313032992120680476e+01,-2.659257068902559809e+02
2.255000000000000000e+08,9.027943328980143622e-01,-3.511506386254614198e-01,6.104475145348299200e-03,-8.176524203709328170e-03,-2.763774345202786309e-01,-3.982465152941457376e+01,-9.294840242952128184e-01,5.200304597137751326e-09,2.322145699614060277e+01,-2.645088722893640920e+02
2.260000000000000000e+08,9.017164355973994461e-01,-3.527073763602502354e-01,6.011553850400121191e-03,-8.328298581701717648e-03,-2.803102892698287052e-01,-3.976750269793277681e+01,-9.455739909550179290e-01,5.043455529971425889e-09,2.331193977170999787e+01,-2.630924314755143882e+02
2.265000000000000000e+08,9.006231759930849456e-01,-3.542755988929447430e-01,5.919749646517742311e-03,-8.476664788440118822e-03,-2.843040349719231918e-01,-3.971033337902649407e+01,-9.611729899785421694e-01,4.888148948006862815e-09,2.340206845363520216e+01,-2.616763216299111150e+02
2.270000000000000000e+08,8.995139145171998640e-01,-3.558552378215375511e-01,5.829433266242292286e-03,-8.622068114090294597e-03,-2.883634332300760716e-01,-3.965281923666491792e+01,-9.762871366044404420e-01,4.735204910707770163e-09,2.349212961600983718e+01,-2.602605040972849793e+02
2.275000000000000000e+08,8.983880169103806157e-01,-3.574461898110240510e-01,5.740929001715943877e-03,-8.764986790576603098e-03,-2.924933047472942915e-01,-3.959463880042970629e+01,-9.909251598999863075e-01,4.585464171294149472e-09,2.358240431700749085e+01,-2.588449635615423290e+02
2.280000000000000000e+08,8.972448567617419268e-01,-3.590483176543610710e-01,5.654512291020831125e-03,-8.905927702815964395e-03,-2.966985075529331439e-01,-3.953547535595728846e+01,-1.005098457712113591e+00,4.439781098631724241e-09,2.367316632387790776e+01,-2.574297070806821921e+02
2.285000000000000000e+08,8.960838179234094092e-01,-3.606614515317413394e-01,5.570407689886474646e-03,-9.045421947542785224e-03,-3.009839156425646589e-01,-3.947501900023920740e+01,-1.018821127266003268e+00,4.299015286920558177e-09,2.376468045734920764e+01,-2.560147629934504607e+02
2.290000000000000000e+08,8.949042967846071450e-01,-3.622853904556336824e-01,5.488787236661737262e-03,-9.184020273569687073e-03,-3.053543981702249166e-01,-3.941296883421475172e+01,-1.032109967398233685e+00,4.164021950843565055e-09,2.385720106414482800e+01,-2.546001797109140909e+02
2.295000000000000000e+08,8.937057043914093946e-01,-3.639199038879550874e-01,5.409769215562575638e-03,-9.322288437564912877e-03,-3.098147993265075728e-01,-3.934903525788656253e+01,-1.044984448806316246e+00,4.035641261753898518e-09,2.395097062493434592e+01,-2.531860244066761823e+02
2.300000000000000000e+08,8.924874683995488445e-01,-3.655647335147225174e-01,5.333417320331095869e-03,-9.460802509426836579e-03,-3.143699190284792722e-01,-3.928294232631975547e+01,-1.057466649279132920e+00,3.914686840147328558e-09,2.404621850356602053e+01,-2.517723816198881366e+02
2.305000000000000000e+08,8.912490348489650049e-01,-3.672195951627422184e-01,5.259740217604383893e-03,-9.600144161095424886e-03,-3.190244945395573350e-01,-3.921443011875132356e+01,-1.069581151642539751e+00,3.801933677547813743e-09,2.414315984195542697e+01,-2.503593517853965693e+02
2.310000000000000000e+08,8.899898697501487099e-01,-3.688841808420712520e-01,5.188691506501046449e-03,-9.740895972176271192e-03,-3.237831831292975471e-01,-3.914325706805438188e+01,-1.081354903100772979e+00,3.698105812880256035e-09,2.424199460355889713e+01,-2.489470497054728924e+02
2.315000000000000000e+08,8.887094604737397763e-01,-3.705581608973751995e-01,5.120170068225637222e-03,-9.883636785066369015e-03,-3.286505458742734476e-01,-3.906920219437667186e+01,-1.092817035750423882e+00,3.603864130248779114e-09,2.434290676693805011e+01,-2.475356029774777085e+02
2.320000000000000000e+08,8.874073169362801661e-01,-3.722411862508038793e-01,5.054020796855736124e-03,-1.002893714136516949e-02,-3.336310326919805780e-01,-3.899206718528368754e+01,-1.103998649253024045e+00,3.519794672698679045e-09,2.444606366952895016e+01,-2.461251503915692069e+02
2.325000000000000000e+08,8.860829725765059228e-01,-3.739328907185568429e-01,4.990035699956677992e-03,-1.017735483025038884e-02,-3.387289686904197961e-01,-3.891167826544646857e+01,-1.114932557922213574e+00,3.446397876333829311e-09,2.455161550042314644e+01,-2.447158403122289201e+02
2.330000000000000000e+08,8.847359851180087720e-01,-3.756328933830927475e-01,4.927955355265099813e-03,-1.032943057819945762e-02,-3.439485419063776361e-01,-3.882788780200344547e+01,-1.125653005752299318e+00,3.384079118816747055e-09,2.465969493973838667e+01,-2.433078290568434454e+02
2.335000000000000000e+08,8.833659371156578066e-01,-3.773408010027178294e-01,4.867470707409571502e-03,-1.048568390794966249e-02,-3.492937924953299911e-01,-3.874057559722501054e+01,-1.136195354119895695e+00,3.333140944579854599e-09,2.477041694097884061e+01,-2.419012792840282486e+02
2.340000000000000000e+08,8.819724362845984267e-01,-3.790562104402888099e-01,4.808225186511868622e-03,-1.064660919294669467e-02,-3.547686034262808041e-01,-3.864964982787429904e+01,-1.146595747962042555e+00,3.293777276382524171e-09,2.488387865176230207e+01,-2.404963584036385669e+02
2.345000000000000000e+08,8.805551156121449452e-01,-3.807787110928208540e-01,4.749817128549374198e-03,-1.081267193171713166e-02,-3.603766927248237550e-01,-3.855504760041878853e+01,-1.156890767107984441e+00,3.266069851559209840e-09,2.500015946734113470e+01,-2.390932370196503030e+02
2.350000000000000000e+08,8.791136332543558751e-01,-3.825078873039901572e-01,4.691802475561199053e-03,-1.098430526465940353e-02,-3.661216072976308245e-01,-3.845673510255180361e+01,-1.167117070065581297e+00,3.249987035242564499e-09,2.511932121049967037e+01,-2.376920874162462667e+02
2.355000000000000000e+08,8.776476722204995529e-01,-3.842433207418323726e-01,4.633697732161112109e-03,-1.116190675366545218e-02,-3.720067183616363460e-01,-3.835470734379682511e+01,-1.177311037896345169e+00,3.245385066985053493e-09,2.524140843069820761e+01,-2.362930820965373755e+02
2.360000000000000000e+08,8.761569398499915451e-01,-3.859845927243313879e-01,4.574983153397759253e-03,-1.134583544281160365e-02,-3.780352184917381564e-01,-3.824898749063162029e+01,-1.187508425834602033e+00,3.252011697967716855e-09,2.536644881473899105e+01,-2.348963923824215954e+02
2.365000000000000000e+08,8.746411670877494160e-01,-3.877312864761470190e-01,4.515106137757501220e-03,-1.153640921606883391e-02,-3.842101202908216884e-01,-3.813962581395909979e+01,-1.197744030015791550e+00,3.269512079533831586e-09,2.549445370072735528e+01,-2.335021870831117212e+02
2.370000000000000000e+08,8.731001075651937393e-01,-3.894829893003126653e-01,4.453484798076183006e-03,-1.173390246563574095e-02,-3.905342566766710766e-01,-3.802669827819223514e+01,-1.208051376094374740e+00,3.297436676261840361e-09,2.562541868672657230e+01,-2.321106312389202628e+02
2.375000000000000000e+08,8.715335364953461506e-01,-3.912392946494850365e-01,4.389511682294515611e-03,-1.193854408207516322e-02,-3.970102827711227689e-01,-3.791030481117731199e+01,-1.218462435691435530e+00,3.335250903856791142e-09,2.575932432523823579e+01,-2.307218849459025307e+02
2.380000000000000000e+08,8.699412493916407474e-01,-3.929998040820936178e-01,4.322557615359403499e-03,-1.215051577498122218e-02,-4.036406793679108151e-01,-3.779056730218498927e+01,-1.229007375569245442e+00,3.382346137275037704e-09,2.589613689446413147e+01,-2.293361022660407400e+02
2.385000000000000000e+08,8.683230606211600477e-01,-3.947641290896892752e-01,4.251975633168313638e-03,-1.236995073041390059e-02,-4.104277579467602854e-01,-3.766762738095376051e+01,-1.239714343244957329e+00,3.438051700558034918e-09,2.603580923721681017e+01,-2.279534302266987424e+02
2.390000000000000000e+08,8.666788018039915942e-01,-3.965318927826634865e-01,4.177104979233597047e-03,-1.259693260884699184e-02,-4.173736671935065479e-01,-3.754164403412770668e+01,-1.250609291499515940e+00,3.501647437328659887e-09,2.617828165838569987e+01,-2.265740079122306270e+02
2.395000000000000000e+08,8.650083200713358789e-01,-3.983027314226464388e-01,4.097275134752488730e-03,-1.283149488488571736e-02,-4.244804009775712261e-01,-3.741279111639826027e+01,-1.261715842974103996e+00,3.572376468772452613e-09,2.632348287192018432e+01,-2.251979656497352664e+02
2.400000000000000000e+08,8.633114761958349259e-01,-4.000762957909184681e-01,4.011809852964229491e-03,-1.307362052754785196e-02,-4.317498077308261628e-01,-3.728125481239618466e+01,-1.273055194839820548e+00,3.649457772066903620e-09,2.647133098846422428e+01,-2.238254242901830651e+02
2.405000000000000000e+08,8.615881426083134009e-01,-4.018522523833507054e-01,3.920031169085241504e-03,-1.332324201748247283e-02,-4.391836011646761406e-01,-3.714723110215003032e+01,-1.284646062426726632e+00,3.732098252934501625e-09,2.662173453499243436e+01,-2.224564945853784081e+02
2.410000000000000000e+08,8.598382013157692683e-01,-4.036302844235823972e-01,3.821263357708015642e-03,-1.358024169513070110e-02,-4.467833722555977216e-01,-3.701092327809806193e+01,-1.296504659747609756e+00,3.819504037484243180e-09,2.677459349807188715e+01,-2.210912766605223112e+02
2.415000000000000000e+08,8.580615417359984676e-01,-4.054100926874055211e-01,3.714836810339492562e-03,-1.384445243154143988e-02,-4.545506024228749276e-01,-3.687253955560639440e+01,-1.308644714075761106e+00,3.910890766275435495e-09,2.692980038267386789e+01,-2.197298595814984026e+02
2.420000000000000000e+08,8.562580584646612980e-01,-4.071913961325425713e-01,3.600091806729101632e-03,-1.411565861134756253e-02,-4.624866778169079429e-01,-3.673229081213357716e+01,-1.321077511148255335e+00,4.005492733849625315e-09,2.708724127883783694e+01,-2.183723210154300602e+02
2.425000000000000000e+08,8.544276489909732319e-01,-4.089739323293678508e-01,3.476382154767760323e-03,-1.439359741529795678e-02,-4.705929046306225327e-01,-3.659038848299950075e+01,-1.333811967169099999e+00,4.102570775745750129e-09,2.724679692882854098e+01,-2.170187269825171938e+02
2.430000000000000000e+08,8.525702113783607539e-01,-4.107574576893710527e-01,3.343078675061084918e-03,-1.467796038774902591e-02,-4.788705253425583619e-01,-3.644704263451545501e+01,-1.346854723568085666e+00,4.201418859692390600e-09,2.740834378787864978e+01,-2.156691316966786758e+02
2.435000000000000000e+08,8.506856419266430880e-01,-4.125417474895033965e-01,3.199572507723318603e-03,-1.496839527264852421e-02,-4.873207357951950813e-01,-3.630246022833638619e+01,-1.360210260417625827e+00,4.301369385922049601e-09,2.757175507197957387e+01,-2.143235774921261907e+02
2.440000000000000000e+08,8.487738328322563808e-01,-4.143265956918598114e-01,3.045278220552026949e-03,-1.526450809981388067e-02,-4.959447030089466635e-01,-3.615684358453114555e+01,-1.373881024494462588e+00,4.401797241909956258e-09,2.773690178663932571e+01,-2.129820948325980794e+02
2.445000000000000000e+08,8.468346698629681812e-01,-4.161118145594447371e-01,2.879636699462554805e-03,-1.556586550172026073e-02,-5.047435836291623845e-01,-3.601038904521662687e+01,-1.387867568173178690e+00,4.502122688876214701e-09,2.790365373095466595e+01,-2.116447023996626626e+02
2.450000000000000000e+08,8.448680300633981677e-01,-4.178972340700451427e-01,2.702117803914363004e-03,-1.587199723958699141e-02,-5.137185429006192461e-01,-3.586328583576132445e+01,-1.402168695624329775e+00,4.601813180863358964e-09,2.807188047176750345e+01,-2.103114072562358672e+02
2.455000000000000000e+08,8.428737795073226735e-01,-4.196827011315252265e-01,2.512222772002354991e-03,-1.618239891628357047e-02,-5.228707740624698452e-01,-3.571571511659038123e+01,-1.416781613137564122e+00,4.700384232758088458e-09,2.824145228311888900e+01,-2.089822050811880274e+02
2.460000000000000000e+08,8.408517711124005034e-01,-4.214680786030541859e-01,2.309486361928352223e-03,-1.649653485248429169e-02,-5.322015180551906699e-01,-3.556784921550473655e+01,-1.431702080773694652e+00,4.797399461982309047e-09,2.841224104663997707e+01,-2.076570804707331490e+02
2.465000000000000000e+08,8.388018425324906824e-01,-4.232532441279570068e-01,2.093478718674389710e-03,-1.681384110158396991e-02,-5.417120834304176569e-01,-3.541985102812616759e+01,-1.446924562949763127e+00,4.892469930921683164e-09,2.858412110894491676e+01,-2.063360073021255801e+02
2.470000000000000000e+08,8.367238141421893260e-01,-4.250380887850824796e-01,1.863806956868351667e-03,-1.713372857815225955e-02,-5.514038663542706331e-01,-3.527187357252515909e+01,-1.462442375959478902e+00,4.985252914458280848e-09,2.875697009247790703e+01,-2.050189491550361254e+02
2.475000000000000000e+08,8.346174871275311435e-01,-4.268225155665729686e-01,1.620116453046565978e-03,-1.745558627415080485e-02,-5.612783705959414338e-01,-3.512405968319284710e+01,-1.478247830814460873e+00,5.075450210515562019e-09,2.893066965672366209e+01,-2.037058597858880375e+02
2.480000000000000000e+08,8.324826416961527142e-01,-4.286064376910341811e-01,1.362091842759656068e-03,-1.777878453677898818e-02,-5.713372273938177592e-01,-3.497654182918051902e+01,-1.494332370149512368e+00,5.162806102389411162e-09,2.910510620702809703e+01,-2.023966836503445279e+02
2.485000000000000000e+08,8.303190354193753508e-01,-4.303897767620263326e-01,1.089457720219001464e-03,-1.810267838163387433e-02,-5.815822150936448276e-01,-3.482944204135729649e+01,-1.510686698260811367e+00,5.247105070667671910e-09,2.928017154869820260e+01,-2.010913564690779083e+02
2.490000000000000000e+08,8.281264017178288084e-01,-4.321724607826996079e-01,8.019790404379170939e-04,-1.842661081488298352e-02,-5.920152784556007575e-01,-3.468287193422624171e+01,-1.527300903634758233e+00,5.328169340672559228e-09,2.945576348441445091e+01,-1.997898058319152028e+02
2.495000000000000000e+08,8.259044485013153913e-01,-4.339544220382162698e-01,4.994612260544302549e-04,-1.874991613834863305e-02,-6.026385475300910510e-01,-3.453693280850286840e+01,-1.544164573576290556e+00,5.405856339251249774e-09,2.963178635335690814e+01,-1.984919518354425065e+02
