frequency_Hz,theory_S11_real,theory_S11_imag,theory_S11_dB,openems_S11_real,openems_S11_imag,openems_S11_dB,theory_Zin_real_ohm,theory_Zin_imag_ohm,openems_Zin_real_ohm,openems_Zin_imag_ohm,theory_S21_real,theory_S21_imag,theory_S21_dB,openems_S21_real,openems_S21_imag,openems_S21_dB
2.130000000000e+08,9.541095922554e-01,-2.538608875255e-01,-1.109763850251e-01,9.264003959396e-01,-3.154598451035e-01,-1.875572610916e-01,1.895495913095e+01,-3.814515491274e+02,2.014040846064e+01,-3.006331714819e+02,-1.071982474228e-03,4.229277680832e-03,-4.720425761107e+01,7.221581780606e-03,-2.987904792457e-03,-4.214109372730e+01
2.135000000000e+08,9.536190259352e-01,-2.549779688526e-01,-1.126138259633e-01,9.255391153202e-01,-3.168038045675e-01,-1.909382354932e-01,1.905531472055e+01,-3.796294545544e+02,2.030642598672e+01,-2.991281037541e+02,-1.040275267756e-03,4.292561550881e-03,-4.709781524990e+01,7.273568355642e-03,-3.220548443402e-03,-4.198755979845e+01
2.140000000000e+08,9.531225775093e-01,-2.561006124702e-01,-1.142759024862e-01,9.246724019779e-01,-3.181512108000e-01,-1.943343689499e-01,1.915602436619e+01,-3.778130122171e+02,2.046914512313e+01,-2.976312060077e+02,-1.007514796250e-03,4.356317201225e-03,-4.699131035351e+01,7.314772579169e-03,-3.455512676802e-03,-4.184113801353e+01
2.145000000000e+08,9.526201628242e-01,-2.572288576228e-01,-1.159630224835e-01,9.238002910526e-01,-3.195025480219e-01,-1.977437384329e-01,1.925708910680e+01,-3.760021767724e+02,2.062835119886e+01,-2.961420520149e+02,-9.736828248022e-04,4.420541015202e-03,-4.688474126893e+01,7.345277349492e-03,-3.692000208017e-03,-4.170156333519e+01
2.150000000000e+08,9.521116963234e-01,-2.583627436943e-01,-1.176756016155e-01,9.229227739486e-01,-3.208583099935e-01,-2.011647304415e-01,1.935850998673e+01,-3.741969032717e+02,2.078386524656e+01,-2.946602069290e+02,-9.387608896312e-04,4.485229185545e-03,-4.677810634259e+01,7.365232093509e-03,-3.929236852345e-03,-4.156857292620e+01
2.155000000000e+08,9.515970910214e-01,-2.595023102014e-01,-1.194140634833e-01,9.220397979670e-01,-3.222189964346e-01,-2.045960532623e-01,1.946028805575e+01,-3.723971471568e+02,2.093554395202e+01,-2.931852302549e+02,-9.027302954847e-04,4.550377710048e-03,-4.667140392036e+01,7.374849785787e-03,-4.166476915711e-03,-4.144190568243e+01
2.160000000000e+08,9.510762584771e-01,-2.606475967874e-01,-1.211788398015e-01,9.211512662317e-01,-3.235851094629e-01,-2.080367469621e-01,1.956242436881e+01,-3.706028642545e+02,2.108327938057e+01,-2.917166787601e+02,-8.655721130085e-04,4.615982387133e-03,-4.656463234751e+01,7.374403553851e-03,-4.403008259697e-03,-4.132130168811e+01
2.165000000000e+08,9.505491087667e-01,-2.617986432146e-01,-1.229703705780e-01,9.202570379051e-01,-3.249571500742e-01,-2.114861910925e-01,1.966491998630e+01,-3.688140107733e+02,2.122699848735e+01,-2.902541093125e+02,-8.272671760845e-04,4.682038811324e-03,-4.645778996869e+01,7.364222902460e-03,-4.638157011015e-03,-4.120650161663e+01
2.170000000000e+08,9.500155504557e-01,-2.629554893579e-01,-1.247891042975e-01,9.193569286861e-01,-3.263356146881e-01,-2.149441100963e-01,1.976777597400e+01,-3.670305432972e+02,2.136666241963e+01,-2.887970816276e+02,-7.877960791370e-04,4.748542368617e-03,-4.635087512794e+01,7.344689591669e-03,-4.871291888644e-03,-4.109724609616e+01
2.175000000000e+08,9.494754905708e-01,-2.641181751964e-01,-1.266354981094e-01,9.184507115797e-01,-3.277209917807e-01,-2.184105764266e-01,1.987099340325e+01,-3.652524187827e+02,2.150226562009e+01,-2.873451609144e+02,-7.471391744065e-04,4.815488231738e-03,-4.624388616868e+01,7.316233205168e-03,-5.101828125069e-03,-4.099327505654e+01
2.180000000000e+08,9.489288345712e-01,-2.652867408059e-01,-1.285100180177e-01,9.175381179304e-01,-3.291137586252e-01,-2.218860114020e-01,1.997457335053e+01,-3.634795945537e+02,2.163383474089e+01,-2.858979204043e+02,-7.052765691915e-04,4.882871355309e-03,-4.613682143371e+01,7.279326446866e-03,-5.329230961403e-03,-4.089432707203e+01
2.185000000000e+08,9.483754863190e-01,-2.664612263501e-01,-1.304131390812e-01,9.166188387040e-01,-3.305143781617e-01,-2.253711838384e-01,2.007851689791e+01,-3.617120282972e+02,2.176142737951e+01,-2.844549437509e+02,-6.621881230588e-04,4.950686470889e-03,-4.602967926522e+01,7.234480204783e-03,-5.553018699567e-03,-4.080013871303e+01
2.190000000000e+08,9.478153480490e-01,-2.676416720720e-01,-1.323453456162e-01,9.156925260059e-01,-3.319232960127e-01,-2.288672065114e-01,2.018282513319e+01,-3.599496780590e+02,2.188513064817e+01,-2.830158272884e+02,-6.178534450206e-04,5.018928081914e-03,-4.592245800478e+01,7.182238422196e-03,-5.772765298157e-03,-4.071044391964e+01
2.195000000000e+08,9.472483203386e-01,-2.688281182842e-01,-1.343071314014e-01,9.147587948203e-01,-3.333409376640e-01,-2.323755305185e-01,2.028749914955e+01,-3.581925022399e+02,2.200505958963e+01,-2.815801821382e+02,-5.722518906806e-04,5.087590458516e-03,-4.581515599337e+01,7.123172816544e-03,-5.988102502076e-03,-4.062497340905e+01
2.200000000000e+08,9.466743020764e-01,-2.700206053596e-01,-1.362989998905e-01,9.138172249545e-01,-3.347677058254e-01,-2.358979376237e-01,2.039254004558e+01,-3.564404595911e+02,2.212135545304e+01,-2.801476361520e+02,-5.253625593469e-04,5.156667632220e-03,-4.570777157140e+01,7.057877486826e-03,-6.198721499511e-03,-4.054345412957e+01
2.205000000000e+08,9.460931904301e-01,-2.712191737211e-01,-1.383214644333e-01,9.128673631687e-01,-3.362039779854e-01,-2.394365306785e-01,2.049794892572e+01,-3.546935092101e+02,2.223418384441e+01,-2.787178356835e+02,-4.771642911143e-04,5.226153390530e-03,-4.560030307869e+01,6.986963450259e-03,-6.404374103238e-03,-4.046560877378e+01
2.210000000000e+08,9.455048808145e-01,-2.724238638306e-01,-1.403750484959e-01,9.119087254768e-01,-3.376501041746e-01,-2.429937222269e-01,2.060372689991e+01,-3.529516105367e+02,2.234373276694e+01,-2.772904471795e+02,-4.276356639130e-04,5.296041271382e-03,-4.549274885454e+01,6.911053148620e-03,-6.604873456647e-03,-4.039115536433e+01
2.215000000000e+08,9.449092668580e-01,-2.736347161781e-01,-1.424602858930e-01,9.109407995953e-01,-3.391064049466e-01,-2.465722214101e-01,2.070987508392e+01,-3.512147233493e+02,2.245021056725e+01,-2.758651585848e+02,-3.767549905275e-04,5.366324557469e-03,-4.538510723773e+01,6.830774964148e-03,-6.800094268223e-03,-4.031980692608e+01
2.220000000000e+08,9.443062403694e-01,-2.748517712697e-01,-1.445777210187e-01,9.099630475221e-01,-3.405731695871e-01,-2.501750192998e-01,2.081639459891e+01,-3.494828077606e+02,2.255384380397e+01,-2.744416805547e+02,-3.245003155825e-04,5.436996270439e-03,-4.527737656656e+01,6.746757784031e-03,-6.989972581405e-03,-4.025127125934e+01
2.225000000000e+08,9.436956913029e-01,-2.760750696157e-01,-1.467279090922e-01,9.089749082261e-01,-3.420506545592e-01,-2.538053727925e-01,2.092328657199e+01,-3.477558242136e+02,2.265487505560e+01,-2.730197474716e+02,-2.708494124983e-04,5.508049164957e-03,-4.516955517886e+01,6.659625651434e-03,-7.174505089917e-03,-4.018525082883e+01
2.230000000000e+08,9.430775077235e-01,-2.773046517171e-01,-1.489114164023e-01,9.079758004237e-01,-3.435390821901e-01,-2.574667872097e-01,2.103055213598e+01,-3.460337334786e+02,2.275356068495e+01,-2.715991182628e+02,-2.157797804152e-04,5.579475722629e-03,-4.506164141210e+01,6.569992539669e-03,-7.353748011600e-03,-4.012144278399e+01
2.235000000000e+08,9.424515757708e-01,-2.785405580531e-01,-1.511288205626e-01,9.069651254243e-01,-3.450386396043e-01,-2.611629977512e-01,2.113819242949e+01,-3.443164966478e+02,2.285016857742e+01,-2.701795770192e+02,-1.592686410873e-04,5.651268145781e-03,-4.495363360334e+01,6.478457284582e-03,-7.527815536687e-03,-4.005953912554e+01
2.240000000000e+08,9.418177796230e-01,-2.797828290660e-01,-1.533807107705e-01,9.059422700223e-01,-3.465494779050e-01,-2.648979499549e-01,2.124620859693e+01,-3.426040751335e+02,2.294497587054e+01,-2.687609334153e+02,-1.012929357458e-04,5.723418351099e-03,-4.484553008936e+01,6.385598708447e-03,-7.696877869061e-03,-3.999922703345e+01
2.245000000000e+08,9.411760014593e-01,-2.810315051472e-01,-1.556676880755e-01,9.049066094144e-01,-3.480717116050e-01,-2.686757793212e-01,2.135460178866e+01,-3.408964306629e+02,2.303826669174e+01,-2.673430229326e+02,-4.182932193304e-05,5.795917963113e-03,-4.473732920668e+01,6.291970966690e-03,-7.861158881609e-03,-3.994018936991e+01
2.250000000000e+08,9.405261214223e-01,-2.822866266219e-01,-1.579903656510e-01,9.038575101220e-01,-3.496054183063e-01,-2.725007902596e-01,2.146337316068e+01,-3.391935252751e+02,2.313032992121e+01,-2.659257068903e+02,1.914582969311e-05,5.868758307538e-03,-4.462902929160e+01,6.198099146667e-03,-8.020933409046e-03,-3.988210536992e+01
2.255000000000e+08,9.398680175791e-01,-2.835482337325e-01,-1.603493690785e-01,9.027943328980e-01,-3.511506386255e-01,-2.763774345203e-01,2.157252387520e+01,-3.374953213173e+02,2.322145699614e+01,-2.645088722894e+02,8.165643858304e-05,5.941930404444e-03,-4.452062868032e+01,6.104475145348e-03,-8.176524203709e-03,-3.982465152941e+01
2.260000000000e+08,9.392015658822e-01,-2.848163666223e-01,-1.627453366324e-01,9.017164355974e-01,-3.527073763603e-01,-2.803102892698e-01,2.168205510011e+01,-3.358017814419e+02,2.331193977171e+01,-2.630924314755e+02,1.457267175476e-04,6.015424961279e-03,-4.441212570897e+01,6.011553850400e-03,-8.328298581702e-03,-3.976750269793e+01
2.265000000000e+08,9.385266401288e-01,-2.860910653181e-01,-1.651789195801e-01,9.006231759931e-01,-3.542755988929e-01,-2.843040349719e-01,2.179196800956e+01,-3.341128686015e+02,2.340206845364e+01,-2.616763216299e+02,2.113811760371e-04,6.089232365717e-03,-4.430351871369e+01,5.919749646518e-03,-8.476664788440e-03,-3.971033337903e+01
2.270000000000e+08,9.378431119204e-01,-2.873723697115e-01,-1.676507824825e-01,8.995139145172e-01,-3.558552378215e-01,-2.883634332301e-01,2.190226378362e+01,-3.324285460472e+02,2.349212961601e+01,-2.602605040973e+02,2.786446234473e-04,6.163342678347e-03,-4.419480603073e+01,5.829433266242e-03,-8.622068114090e-03,-3.965281923666e+01
2.275000000000e+08,9.371508506210e-01,-2.886603195404e-01,-1.701616035044e-01,8.983880169104e-01,-3.574461898110e-01,-2.924933047473e-01,2.201294360810e+01,-3.307487773240e+02,2.358240431701e+01,-2.588449635615e+02,3.475421724505e-04,6.237745625175e-03,-4.408598599654e+01,5.740929001716e-03,-8.764986790577e-03,-3.959463880043e+01
2.280000000000e+08,9.364497233140e-01,-2.899549543688e-01,-1.727120747405e-01,8.972448567617e-01,-3.590483176544e-01,-2.966985075529e-01,2.212400867536e+01,-3.290735262679e+02,2.367316632388e+01,-2.574297070807e+02,4.180992423515e-04,6.312430589958e-03,-4.397705694784e+01,5.654512291021e-03,-8.905927702816e-03,-3.953547535596e+01
2.285000000000e+08,9.357395947594e-01,-2.912563135660e-01,-1.753029025388e-01,8.960838179234e-01,-3.606614515317e-01,-3.009839156426e-01,2.223546018374e+01,-3.274027570024e+02,2.376468045735e+01,-2.560147629935e+02,4.903415624668e-04,6.387386606356e-03,-4.386801722175e+01,5.570407689886e-03,-9.045421947543e-03,-3.947501900024e+01
2.290000000000e+08,9.350203273495e-01,-2.925644362853e-01,-1.779348078378e-01,8.949042967846e-01,-3.622853904556e-01,-3.053543981702e-01,2.234729933758e+01,-3.257364339354e+02,2.385720106414e+01,-2.546001797109e+02,5.642951755268e-04,6.462602349886e-03,-4.375886515589e+01,5.488787236662e-03,-9.184020273570e-03,-3.941296883421e+01
2.295000000000e+08,9.342917810636e-01,-2.938793614415e-01,-1.806085265148e-01,8.937057043914e-01,-3.639199038880e-01,-3.098147993265e-01,2.245952734749e+01,-3.240745217557e+02,2.395097062493e+01,-2.531860244067e+02,6.399864410986e-04,6.538066129699e-03,-4.364959908849e+01,5.409769215563e-03,-9.322288437565e-03,-3.934903525789e+01
2.300000000000e+08,9.335538134224e-01,-2.952011276869e-01,-1.833248097399e-01,8.924874683995e-01,-3.655647335147e-01,-3.143699190285e-01,2.257214543030e+01,-3.224169854302e+02,2.404621850357e+01,-2.517723816199e+02,7.174420390283e-04,6.613765880146e-03,-4.354021735851e+01,5.333417320331e-03,-9.460802509427e-03,-3.928294232632e+01
2.305000000000e+08,9.328062794408e-01,-2.965297733876e-01,-1.860844243426e-01,8.912490348490e-01,-3.672195951627e-01,-3.190244945396e-01,2.268515480918e+01,-3.207637902000e+02,2.414315984196e+01,-2.503593517854e+02,7.966889729031e-04,6.689689152152e-03,-4.343071830581e+01,5.259740217604e-03,-9.600144161095e-03,-3.921443011875e+01
2.310000000000e+08,9.320490315808e-01,-2.978653365971e-01,-1.888881531835e-01,8.899898697501e-01,-3.688841808421e-01,-3.237831831293e-01,2.279855671350e+01,-3.191149015784e+02,2.424199460356e+01,-2.489470497055e+02,8.777545735279e-04,6.765823104373e-03,-4.332110027123e+01,5.188691506501e-03,-9.740895972176e-03,-3.914325706805e+01
2.315000000000e+08,9.312819197024e-01,-2.992078550307e-01,-1.917367955414e-01,8.887094604737e-01,-3.705581608974e-01,-3.286505458743e-01,2.291235237895e+01,-3.174702853466e+02,2.434290676694e+01,-2.475356029775e+02,9.606665024188e-04,6.842154494155e-03,-4.321136159678e+01,5.120170068226e-03,-9.883636785066e-03,-3.906920219438e+01
2.320000000000e+08,9.305047910144e-01,-3.005573660369e-01,-1.946311675083e-01,8.874073169363e-01,-3.722411862508e-01,-3.336310326920e-01,2.302654304773e+01,-3.158299075517e+02,2.444606366953e+01,-2.461251503916e+02,1.045452755309e-03,6.918669668258e-03,-4.310150062577e+01,5.054020796856e-03,-1.002893714137e-02,-3.899206718528e+01
2.325000000000e+08,9.297174900240e-01,-3.019139065693e-01,-1.975721023932e-01,8.860829725765e-01,-3.739328907186e-01,-3.387289686904e-01,2.314112996820e+01,-3.141937345029e+02,2.455161550042e+01,-2.447158403122e+02,1.132141665666e-03,6.995354553369e-03,-4.299151570299e+01,4.990035699957e-03,-1.017735483025e-02,-3.891167826545e+01
2.330000000000e+08,9.289198584853e-01,-3.032775131562e-01,-2.005604511412e-01,8.847359851180e-01,-3.756328933831e-01,-3.439485419064e-01,2.325611439532e+01,-3.125617327690e+02,2.465969493974e+01,-2.433078290568e+02,1.220761908216e-03,7.072194646381e-03,-4.288140517489e+01,4.927955355265e-03,-1.032943057820e-02,-3.882788780200e+01
2.335000000000e+08,9.281117353470e-01,-3.046482218694e-01,-2.035970827613e-01,8.833659371157e-01,-3.773408010027e-01,-3.492937924953e-01,2.337149759054e+01,-3.109338691753e+02,2.477041694098e+01,-2.419012792840e+02,1.311342502480e-03,7.149175004437e-03,-4.277116738975e+01,4.867470707410e-03,-1.048568390795e-02,-3.874057559723e+01
2.340000000000e+08,9.272929566994e-01,-3.060260682916e-01,-2.066828847644e-01,8.819724362846e-01,-3.790562104403e-01,-3.547686034263e-01,2.348728082174e+01,-3.093101108009e+02,2.488387865176e+01,-2.404963584036e+02,1.403912816309e-03,7.226280234737e-03,-4.266080069785e+01,4.808225186512e-03,-1.064660919295e-02,-3.864964982787e+01
2.345000000000e+08,9.264633557199e-01,-3.074110874828e-01,-2.098187636166e-01,8.805551156121e-01,-3.807787110928e-01,-3.603766927248e-01,2.360346536327e+01,-3.076904249756e+02,2.500015946734e+01,-2.390932370197e+02,1.498502569421e-03,7.303494484090e-03,-4.255030345171e+01,4.749817128549e-03,-1.081267193172e-02,-3.855504760042e+01
2.350000000000e+08,9.256227626176e-01,-3.088033139447e-01,-2.130056452054e-01,8.791136332544e-01,-3.825078873040e-01,-3.661216072976e-01,2.372005249636e+01,-3.060747792770e+02,2.511932121050e+01,-2.376920874162e+02,1.595141836943e-03,7.380801428223e-03,-4.243967400629e+01,4.691802475561e-03,-1.098430526466e-02,-3.845673510255e+01
2.355000000000e+08,9.247710045776e-01,-3.102027815841e-01,-2.162444753123e-01,8.776476722205e-01,-3.842433207418e-01,-3.720067183616e-01,2.383704350861e+01,-3.044631415282e+02,2.524140843070e+01,-2.362930820965e+02,1.693861052939e-03,7.458184260824e-03,-4.232891071920e+01,4.633697732161e-03,-1.116190675367e-02,-3.835470734380e+01
2.360000000000e+08,9.239079057034e-01,-3.116095236751e-01,-2.195362201046e-01,8.761569398500e-01,-3.859845927243e-01,-3.780352184917e-01,2.395443969417e+01,-3.028554797944e+02,2.536644881474e+01,-2.348963923824e+02,1.794691013942e-03,7.535625682322e-03,-4.221801195095e+01,4.574983153398e-03,-1.134583544281e-02,-3.824898749063e+01
2.365000000000e+08,9.230332869584e-01,-3.130235728186e-01,-2.228818666433e-01,8.746411670877e-01,-3.877312864761e-01,-3.842101202908e-01,2.407224235436e+01,-3.012517623809e+02,2.549445370073e+01,-2.335021870831e+02,1.897662882464e-03,7.613107888392e-03,-4.210697606518e+01,4.515106137758e-03,-1.153640921607e-02,-3.813962581396e+01
2.370000000000e+08,9.221469661071e-01,-3.144449609019e-01,-2.262824233941e-01,8.731001075652e-01,-3.894829893003e-01,-3.905342566767e-01,2.419045279677e+01,-2.996519578295e+02,2.562541868673e+01,-2.321106312389e+02,2.002808190498e-03,7.690612558185e-03,-4.199580142891e+01,4.453484798076e-03,-1.173390246564e-02,-3.802669827819e+01
2.375000000000e+08,9.212487576546e-01,-3.158737190550e-01,-2.297389207621e-01,8.715335364953e-01,-3.912392946495e-01,-3.970102827711e-01,2.430907233587e+01,-2.980560349170e+02,2.575932432524e+01,-2.307218849459e+02,2.110158843003e-03,7.768120842268e-03,-4.188448641285e+01,4.389511682295e-03,-1.193854408208e-02,-3.791030481118e+01
