frequency_Hz,I_H_implied_real_A,I_H_implied_imag_A,I_G3_real_A,I_G3_imag_A,Z_waveform_G3_real_ohm,Z_waveform_G3_imag_ohm,Z_waveform_G3_valid
4.057428214732e+08,5.395309744778e-03,-1.955722660835e-02,1.296269292360e-02,-6.244825908257e-03,3.081391201783e+02,-1.262047581998e+01,1.000000000000e+00
4.119850187266e+08,4.698206741208e-03,-1.812615705014e-02,1.284562897463e-02,-6.323732666036e-03,3.079066641497e+02,-1.255399777574e+01,1.000000000000e+00
4.182272159800e+08,4.129131931482e-03,-1.685543242086e-02,1.272948390624e-02,-6.398116453072e-03,3.076747778554e+02,-1.244487008235e+01,1.000000000000e+00
4.244694132335e+08,3.652091172222e-03,-1.570599552266e-02,1.261481314409e-02,-6.468429478802e-03,3.074603355534e+02,-1.229580390827e+01,1.000000000000e+00
4.307116104869e+08,3.256739078962e-03,-1.464785136032e-02,1.250198298075e-02,-6.535282189032e-03,3.072777770865e+02,-1.211567711710e+01,1.000000000000e+00
4.369538077403e+08,2.941986535427e-03,-1.367148337790e-02,1.239112650302e-02,-6.599357593673e-03,3.071369781286e+02,-1.191811732916e+01,1.000000000000e+00
4.431960049938e+08,2.697670355171e-03,-1.278093504552e-02,1.228213621402e-02,-6.661316647568e-03,3.070418276377e+02,-1.171938558479e+01,1.000000000000e+00
4.494382022472e+08,2.499901653373e-03,-1.197603834073e-02,1.217469337216e-02,-6.721709440005e-03,3.069897291619e+02,-1.153588936421e+01,1.000000000000e+00
4.556803995006e+08,2.324596928532e-03,-1.123970216447e-02,1.206832847655e-02,-6.780905603154e-03,3.069720932901e+02,-1.138171490841e+01,1.000000000000e+00
4.619225967541e+08,2.165262376748e-03,-1.054439046815e-02,1.196250275731e-02,-6.839054012837e-03,3.069757262032e+02,-1.126656091604e+01,1.000000000000e+00
4.681647940075e+08,2.036426101915e-03,-9.872308757568e-03,1.185669763619e-02,-6.896077093458e-03,3.069848772948e+02,-1.119438046113e+01,1.000000000000e+00
4.744069912609e+08,1.955920468548e-03,-9.230095622444e-03,1.175049829532e-02,-6.951699616438e-03,3.069836145262e+02,-1.116291364216e+01,1.000000000000e+00
4.806491885144e+08,1.921598978323e-03,-8.640068413146e-03,1.164365878983e-02,-7.005506637515e-03,3.069581630420e+02,-1.116414804757e+01,1.000000000000e+00
4.868913857678e+08,1.906183229239e-03,-8.113606852578e-03,1.153613930565e-02,-7.057020940019e-03,3.068988685686e+02,-1.118560577005e+01,1.000000000000e+00
4.931335830212e+08,1.880201930088e-03,-7.631511793480e-03,1.142811066208e-02,-7.105787656776e-03,3.068015189172e+02,-1.121224502112e+01,1.000000000000e+00
4.993757802747e+08,1.843717483269e-03,-7.155515075432e-03,1.131992627266e-02,-7.151452993949e-03,3.066678570188e+02,-1.122869161437e+01,1.000000000000e+00
