G_length_S_m,Rsp_ohm,time_s,accepted_steps,rejected_steps,T_axis_K,T_max_K,T_min_K,p_axis_Pa,p_min_Pa,rho_axis_kg_m3,rho_min_kg_m3,sigma_axis_S_m,sigma_max_S_m,channel_radius_m,outward_velocity_max_m_s,internal_energy_J,kinetic_energy_J,total_energy_J,cumulative_Joule_J,conduction_boundary_loss_J,hydro_boundary_loss_J,radiation_loss_J,energy_residual_J,mass_residual_kg,I_A,I_L_A,V_channel_V,Rsp_circuit_ohm,Gsp_S,interval_Rsp_ohm,interval_dt_s,P_sp_circuit_W,P_sp_thermal_W,Q_sp_circuit_J,Q_sp_thermal_J,Q_fixed_R_J,source_work_J,inductor_energy_J,cext_energy_J,cgap_energy_J,circuit_energy_J,thermal_energy_J,circuit_energy_residual_J,cross_domain_energy_residual_J,coupling_status,KCL_max_A,KVL_max_V,I_rms_interval_A
2.0541164865848528e-06,486.82730825192243,6.1999999999999836e-09,124,0,8386.872507236187,8386.872507236187,300.0,148739.3581600967,101325.0,0.0321185849228425,0.0321185849228425,1252.7775927589717,1252.7775927589717,7.895878239561203e-05,142.16381268741856,0.00020825477535771182,4.381210589765806e-09,0.0002082591565683016,4.994406309866338e-09,0.0,-1.3327249265698912e-23,0.0,-1.2181154059920735e-20,1.033538442131003e-25,-0.002931464953280617,-0.002263604701044522,-1.4271171924404504,486.82730825192243,0.0020541164865848526,484.87227747873015,5e-11,0.004301132564530719,0.00430113256453072,4.994406309866338e-09,4.994406309866338e-09,2.0134052718861526e-12,0.0,2.5619531212954302e-12,8.146653923836454e-13,2.0366634809591136e-13,3.580284861774987e-12,0.0002082591565683016,-1.3381100436465726e-24,0.0,LAGGED,0.0,2.220446049250313e-16,0.0029783637472809935
2.045917898721609e-06,488.7781668193282,6.249999999999983e-09,125,0,8377.01900952284,8377.01900952284,300.0,148368.72228117695,101325.0,0.03209798206101407,0.03209798206101407,1243.5010737520015,1243.5010737520015,7.898070613774454e-05,142.84282257631344,0.00020825472253745695,4.434235159481372e-09,0.00020825915677261643,4.994610624713125e-09,0.0,-1.354395250579158e-23,0.0,-2.243510163636816e-20,-4.4443451248136315e-29,-0.0028513253579979174,-0.002192861900250396,-1.3936655814876868,488.7781668193282,0.002045917898721609,486.82730825192243,5e-11,0.004086296935756716,0.004086296935756716,4.994610624713125e-09,4.994610624713125e-09,2.0139017535767087e-12,0.0,2.4043216567848885e-12,7.769215012093649e-13,1.9423037530234121e-13,3.3754735332965945e-12,0.00020825915677261643,-1.6034702303884374e-24,0.0,LAGGED,0.0,0.0,0.0028971934531230453
2.0378018569291775e-06,490.72484481240434,6.299999999999983e-09,126,0,8367.26169594561,8367.26169594561,300.0,148003.41405529104,101325.0,0.03207803835890401,0.03207803835890401,1234.3373159919831,1234.3373159919831,7.900243852961232e-05,143.51021764838129,0.00020825466954623652,4.487420407972436e-09,0.0002082591569666445,4.994804652795236e-09,0.0,-1.3762403352659187e-23,0.0,-4.26995907335391e-20,1.0335241628802148e-25,-0.002772825480535267,-0.002123786746634566,-1.3606943536275493,490.72484481240434,0.0020378018569291775,488.7781668193282,5e-11,0.0038805616422071406,0.0038805616422071406,4.994804652795236e-09,4.994804652795236e-09,2.014367570175681e-12,0.0,2.2552350725903174e-12,7.405956495975577e-13,1.8514891239938941e-13,3.1809796345872643e-12,0.0002082591569666445,-1.022262758970563e-24,0.0,LAGGED,4.336808689942018e-19,0.0,0.0028176782145738553
2.029767202527261e-06,492.66733581806875,6.3499999999999824e-09,127,0,8357.599866665103,8357.599866665103,300.0,147643.45030202155,101325.0,0.03205876346781902,0.03205876346781902,1225.285250354378,1225.285250354378,7.902398107075439e-05,144.16605148020656,0.000208254616383217,4.54076760871387e-09,0.00020825915715082572,4.994988834005963e-09,0.0,-1.3982601806301735e-23,0.0,-2.4131260541402376e-20,1.0335169372352378e-25,-0.0026959459431688446,-0.002056355027309301,-1.3282045053305254,492.66733581806875,0.002029767202527261,490.72484481240434,5e-11,0.0036836242145468364,0.0036836242145468373,4.994988834005963e-09,4.994988834005963e-09,2.014804390875334e-12,0.0,2.1142979991701174e-12,7.056508831921223e-13,1.7641272079803057e-13,2.9963616031602703e-12,0.00020825915715082572,-1.5578298938559706e-24,0.0,LAGGED,4.336808689942018e-19,0.0,0.0027397985810334352
2.021812791034689e-06,494.60563531613474,6.399999999999982e-09,128,0,8348.032802871787,8348.032802871787,300.0,147288.845437211,101325.0,0.032040166666105534,0.032040166666105534,1216.3437848297779,1216.3437848297779,7.904533530006832e-05,144.81037972861853,0.00020825456304751495,4.5942780701933546e-09,0.00020825915732558515,4.995163593423765e-09,0.0,-1.4204547866719222e-23,0.0,-1.0831245418222662e-20,1.0335096542438719e-25,-0.0026206672679689345,-0.0019905424879006254,-1.296196799025974,494.60563531613474,0.002021812791034689,492.66733581806875,5e-11,0.003495188356021765,0.0034951883560217657,4.995163593423765e-09,4.995163593423765e-09,2.0152138072631196e-12,0.0,1.9811296980688054e-12,6.720504567220725e-13,1.680126141805181e-13,2.821192768971396e-12,0.00020825915732558515,-5.921126845716497e-25,0.0,LAGGED,4.336808689942018e-19,0.0,0.0026635349991520956
2.013937492207045e-06,496.53974061732896,6.449999999999982e-09,129,0,8338.559768276738,8338.559768276738,300.0,146939.61154255277,101325.0,0.03202225686250637,0.03202225686250637,1207.5118067136543,1207.5118067136543,7.906650279269334e-05,145.44326004202955,0.00020825450953820249,4.647953130852589e-09,0.00020825915749133334,4.995329341623217e-09,0.0,-1.442824153391165e-23,0.0,-1.711886894790542e-20,1.0335023139061174e-25,-0.0025469698849750412,-0.0019263248441804505,-1.2646717660456552,496.53974061732896,0.002013937492207045,494.60563531613474,5e-11,0.0033149639890521954,0.003314963989052196,4.995329341623217e-09,4.995329341623217e-09,2.015597336211969e-12,0.0,1.8553637026534185e-12,6.397578703332146e-13,1.5993946758330364e-13,2.6550610405699366e-12,0.00020825915749133334,-7.298414877359966e-25,0.0,LAGGED,0.0,0.0,0.00258886782105327
2.006140190061307e-06,498.4696508021408,6.499999999999981e-09,130,0,8329.180010536627,8329.180010536627,300.0,146595.758434206,101325.0,0.032005042599710445,0.032005042599710445,1198.7881847056267,1198.7881847056267,7.908748515703175e-05,146.0647519736185,0.00020825445585431258,4.701794154123726e-09,0.0002082591576484667,4.995486474987851e-09,0.0,-1.465368280787902e-23,0.0,-1.5104909597612762e-20,1.0334949162219741e-25,-0.0024748341403528023,-0.0018636777935461281,-1.2336297097348776,498.4696508021408,0.002006140190061307,496.53974061732896,5e-11,0.0031426672926880045,0.0031426672926880045,4.995486474987851e-09,4.995486474987851e-09,2.0159564226987433e-12,0.0,1.7366474590784821e-12,6.087369042962233e-13,1.5218422607405584e-13,2.4975685894487614e-12,0.0002082591576484667,-1.2787372164760184e-24,0.0,LAGGED,4.336808689942018e-19,0.0,0.0025157773125372568
1.9984197828876916e-06,500.3953666606585,6.549999999999981e-09,131,0,8319.892762612706,8319.892762612706,300.0,146257.2937304741,101325.0,0.031988532058112196,0.031988532058112196,1190.1717709172922,1190.1717709172922,7.910828403190686e-05,146.67491689652775,0.00020825440199484413,4.755802523566018e-09,0.0002082591577973677,4.995635376024409e-09,0.0,-1.4880871688621328e-23,0.0,-5.921537013149625e-20,1.0334874611914422e-25,-0.002404240304528022,-0.0018025770263392427,-1.2030707087246328,500.3953666606585,0.0019984197828876917,498.4696508021408,5e-11,0.0029780207311590075,0.002978020731159008,4.995635376024409e-09,4.995635376024409e-09,2.0162924425509452e-12,0.0,1.6246419679430134e-12,5.789516520764761e-13,1.4473791301911902e-13,2.3483315330386083e-12,0.0002082591577973677,-1.088501831460161e-24,0.0,LAGGED,0.0,0.0,0.00244424366126085
1.990775183250478e-06,502.3168906331402,6.5999999999999805e-09,132,0,8310.697244067433,8310.697244067433,300.0,145924.22291839006,101325.0,0.03197273305973093,0.03197273305973093,1181.661402791932,1181.661402791932,7.912890108385259e-05,147.27381792092874,0.00020825434795876727,4.809979638107945e-09,0.00020825915793840538,4.995776413678098e-09,0.0,-1.510980817613858e-23,0.0,-3.223793057017933e-20,-4.9581687676307956e-29,-0.002335168580294864,-0.001742998236995778,-1.1729946203579205,502.3168906331402,0.001990775183250478,500.3953666606585,5e-11,0.0028207530737637205,0.0028207530737637205,4.995776413678098e-09,4.995776413678098e-09,2.016606705121862e-12,0.0,1.519021427085195e-12,5.503665517554487e-13,1.3759163793886219e-13,2.206979616779506e-12,0.00020825915793840538,-9.895471195092372e-25,0.0,LAGGED,4.336808689942018e-19,2.220446049250313e-16,0.0023742469848881944
1.983205317977433e-06,504.234226751594,6.64999999999998e-09,133,0,8301.592662299736,8301.592662299736,300.0,145596.5494192278,101325.0,0.031957653072293875,0.031957653072293875,1173.2559049370457,1173.2559049370457,7.914933800452961e-05,147.86151981307088,0.00020825429374502795,4.8643269073972435e-09,0.00020825915807193534,4.995909943648415e-09,0.0,-1.534049227043077e-23,0.0,-4.2462940806041597e-20,1.0334723790912121e-25,-0.0022675991108920142,-0.0016849171350201365,-1.143401084263237,504.234226751594,0.001983205317977433,502.3168906331402,5e-11,0.002670599406350841,0.002670599406350841,4.995909943648415e-09,4.995909943648415e-09,2.0169004558944203e-12,0.0,1.4194728759422325e-12,5.229464157977384e-13,1.307366039494346e-13,2.0731558956894056e-12,0.00020825915807193534,-1.4217166778255163e-24,0.0,LAGGED,0.0,0.0,0.002305767339209816
1.9757091281382405e-06,506.1473805824467,6.69999999999998e-09,134,0,8292.578213720268,8292.578213720268,300.0,145274.27465290978,101325.0,0.031943299213474434,0.031943299213474434,1164.9540908704814,1164.9540908704814,7.91695965082699e-05,148.438088916206,0.00020825423935255316,4.918845747263256e-09,0.00020825915819830043,4.9960363087051475e-09,0.0,-1.5572923971497904e-23,0.0,-7.844837421785906e-21,-5.110136697705068e-29,-0.00220151198804164,-0.001628309455775859,-1.114289526068131,506.1473805824467,0.0019757091281382404,504.234226751594,5e-11,0.00252730113465229,0.0025273011346522898,4.9960363087051475e-09,4.9960363087051475e-09,2.017174879014104e-12,0.0,1.325695841884537e-12,4.966564591620559e-13,1.2416411479051398e-13,1.946516415837107e-12,0.00020825915819830043,-1.5170363187251816e-24,0.0,LAGGED,0.0,0.0,0.0022387847262237658
1.96828556901355e-06,508.05635917006305,6.749999999999979e-09,135,0,8283.653084870748,8283.653084870748,300.0,144957.39810117029,101325.0,0.03192967825523283,0.03192967825523283,1156.754764684878,1156.754764684878,7.918967832973505e-05,149.00359307335427,0.00020825418478025542,4.973537575294238e-09,0.00020825915831783071,4.996155839004134e-09,0.0,-1.5807103279339978e-23,0.0,-2.5976043447643562e-20,1.0334570676054273e-25,-0.0021368872599471585,-0.0015731509710862302,-1.0856591612456454,508.05635917006305,0.00196828556901355,506.1473805824467,5e-11,0.002390605979735384,0.0023906059797353853,4.996155839004134e-09,4.996155839004134e-09,2.0174310997513676e-12,0.0,1.2374019889147744e-12,4.714623257586394e-13,1.1786558143965984e-13,1.8267298961130736e-12,0.00020825915831783071,-1.6834417935161227e-24,0.0,LAGGED,4.336808689942018e-19,0.0,0.0021732791021737315
1.9609336100539957e-06,509.961170981441,6.799999999999979e-09,136,0,8274.81645348591,8274.81645348591,300.0,144645.91736962035,101325.0,0.03191679662830839,0.03191679662830839,1148.6567226282089,1148.6567226282089,7.920958522169701e-05,149.55810155202133,0.00020825413002703756,5.0284038065330635e-09,0.0002082591584308441,4.996268852402426e-09,0.0,-1.6043030193956993e-23,0.0,-3.872644133645055e-20,-5.264398483327632e-29,-0.0020737049392429326,-0.0015194174996383384,-1.0575089990863238,509.961170981441,0.001960933610053996,508.05635917006305,5e-11,0.002260267965849894,0.002260267965849894,4.996268852402426e-09,4.996268852402426e-09,2.0176701868940574e-12,0.0,1.1543147691036101e-12,4.473301132594234e-13,1.1183252831485585e-13,1.7134774106778893e-12,0.0002082591584308441,-1.7367561689345796e-24,0.0,LAGGED,0.0,0.0,0.0021092303855401754
1.9536522348298917e-06,511.8618258520672,6.849999999999979e-09,137,0,8266.067489503528,8266.067489503528,300.0,144339.82824851226,101325.0,0.03190466042678559,0.03190466042678559,1140.6587546069272,1140.6587546069272,7.92293189529257e-05,150.10168497071646,0.0002082540750917972,5.083445849292573e-09,0.0002082591585376465,4.9963756547724735e-09,0.0,-1.628070471534895e-23,0.0,-1.0901977565913194e-20,1.0334415267340876e-25,-0.002011945010890728,-0.0014670849171845067,-1.0298378467884854,511.8618258520672,0.001953652234829892,509.961170981441,5e-11,0.0021360474009483117,0.0021360474009483113,4.9963756547724735e-09,4.9963756547724735e-09,2.0178931550704235e-12,0.0,1.0761690771151355e-12,4.2422639627117763e-13,1.0605659906779441e-13,1.6064520724541076e-12,0.0002082591585376465,-2.2650531617174703e-24,0.0,LAGGED,0.0,0.0,0.0020466184649777855
1.9464404409732238e-06,513.7583349326621,6.899999999999978e-09,138,0,8257.405356022367,8257.405356022367,300.0,144039.12477227804,101325.0,0.03189327541275823,0.03189327541275823,1132.7596456109707,1132.7596456109707,7.924888130618554e-05,150.63441522727666,0.0002082540199734309,5.138665101095637e-09,0.000208259158638532,4.996476540314982e-09,0.0,-1.6520126843515846e-23,0.0,-5.33696696365138e-20,1.0334336702788347e-25,-0.0019515874400185679,-0.0014161291665353943,-1.002644313659436,513.7583349326621,0.0019464404409732237,511.8618258520672,5e-11,0.0020177108501648147,0.002017710850164815,4.996476540314982e-09,4.996476540314982e-09,2.0181009670033742e-12,0.0,1.0027109081561153e-12,4.0211824788544065e-13,1.0052956197136016e-13,1.5053587180129163e-12,0.000208259158638532,-1.960514986978709e-24,0.0,LAGGED,2.168404344971009e-19,0.0,0.0019854232071941265
1.9392972401107482e-06,515.650710637268,6.949999999999978e-09,139,0,8248.82921021044,8248.82921021044,300.0,143743.79927781888,101325.0,0.03188264702107399,0.03188264702107399,1124.9581770640063,1124.9581770640063,7.92682740763369e-05,151.15636542898653,0.0002082539646708388,5.1940629447396006e-09,0.00020825915873378355,4.996571791870109e-09,0.0,-1.6761296578457684e-23,0.0,-5.662569369725746e-20,1.0334257564771931e-25,-0.0018926121796944923,-0.0013665262673394232,-0.9759268154202138,515.650710637268,0.0019392972401107483,513.7583349326621,5e-11,0.0019050311025434917,0.0019050311025434919,4.996571791870109e-09,4.996571791870109e-09,2.0182945356966874e-12,0.0,9.336970196643083e-13,3.80973259622496e-13,9.5243314905624e-14,1.4099135941924282e-12,0.00020825915873378355,-1.7823965054670464e-24,0.0,LAGGED,0.0,0.0,0.0019256244647652512
1.932221657790232e-06,517.538966592291,6.9999999999999775e-09,140,0,8240.3382041652,8240.3382041652,300.0,143453.84246153437,101325.0,0.03187278036415073,0.03187278036415073,1117.253128100366,1117.253128100366,7.928749906853761e-05,151.66760982461233,0.00020825390918292847,5.249640744487321e-09,0.00020825915882367296,4.996661681226674e-09,0.0,-1.7004213920174463e-23,0.0,-3.76932411932602e-24,-5.579803621217632e-29,-0.0018349991786313611,-0.001318252325643561,-0.9496835786065774,517.538966592291,0.001932221657790232,515.650710637268,5e-11,0.0017977871313065842,0.0017977871313065844,4.996661681226674e-09,4.996661681226674e-09,2.018474726553961e-12,0.0,8.688945970323286e-13,3.607595597899981e-13,9.018988994749953e-14,1.3198440467698263e-12,0.00020825915882367296,-1.934261696052954e-24,0.0,LAGGED,2.168404344971009e-19,0.0,0.001867202083880981
1.925212733398858e-06,519.4231175868833,7.049999999999977e-09,141,0,8231.931485729,8231.931485729,300.0,143169.24343500732,101325.0,0.031863680236826744,0.031863680236826744,1109.6432767728986,1109.6432767728986,7.930655809653778e-05,152.1682237379915,0.00020825385350861877,5.305399842387101e-09,0.00020825915890846115,4.9967464694290724e-09,0.0,-1.7248878868666183e-23,0.0,-1.4646765192481512e-20,1.0334097568347438e-25,-0.0017787283888156078,-0.0012712835432308535,-0.923912645058897,519.4231175868833,0.0019252127333988579,517.538966592291,5e-11,0.0016957640479599058,0.0016957640479599058,4.9967464694290724e-09,4.9967464694290724e-09,2.0186423594311314e-12,0.0,8.080809236447967e-13,3.41445830279891e-13,8.536145756997275e-14,1.2348882114946605e-12,0.00020825915890846115,-1.5804481137304674e-24,0.0,LAGGED,2.168404344971009e-19,0.0,0.0018101359120160463
1.918269520075754e-06,521.3031795242773,7.099999999999977e-09,142,0,8223.608199259268,8223.608199259268,300.0,142889.98977947858,101325.0,0.031855351121282724,0.031855351121282724,1102.127401191243,1102.127401191243,7.932545298106813e-05,152.65828350351228,0.00020825379764684404,5.36134155472341e-09,0.00020825915898839875,4.996826407081599e-09,0.0,-1.7495291423932844e-23,0.0,-6.441267879806458e-20,-1.0345498603886332e-25,-0.001723779773055993,-0.0012255962267304682,-0.8986118764937263,521.3031795242773,0.001918269520075754,519.4231175868833,5e-11,0.0015987530505313225,0.0015987530505313227,4.996826407081599e-09,4.996826407081599e-09,2.018798210623457e-12,0.0,7.510430554879805e-13,3.230013218302304e-13,8.07503304575576e-14,1.1547947077757684e-12,0.00020825915898839875,-2.059873595713106e-24,0.0,LAGGED,0.0,0.0,0.0017544058055202535
1.9113910846176474e-06,523.1791693744553,7.149999999999976e-09,143,0,8215.36748635723,8215.36748635723,300.0,142616.0675989804,101325.0,0.031847797191982795,0.031847797191982795,1094.7042805953108,1094.7042805953108,7.934418554831606e-05,153.13786640324182,0.00020825374159655772,5.417467168596953e-09,0.00020825915906372633,4.996901734649911e-09,0.0,-1.7743451585974446e-23,0.0,-5.760109461385245e-20,-5.822378845449396e-29,-0.0016701333124454624,-0.0011811667964963658,-0.8737789591498247,523.1791693744553,0.0019113910846176472,521.3031795242773,5e-11,0.0015065513662421792,0.0015065513662421794,4.996901734649911e-09,4.996901734649911e-09,2.0189430147878976e-12,0.0,6.975775005727436e-13,3.0539586778118044e-13,7.634896694529511e-14,1.0793223352992192e-12,0.00020825915906372633,-1.911239579394984e-24,0.0,LAGGED,0.0,0.0,0.0016999916371237998
