G_length_S_m,Rsp_ohm,time_s,accepted_steps,rejected_steps,T_axis_K,T_max_K,T_min_K,p_axis_Pa,p_min_Pa,rho_axis_kg_m3,rho_min_kg_m3,sigma_axis_S_m,sigma_max_S_m,channel_radius_m,outward_velocity_max_m_s,internal_energy_J,kinetic_energy_J,total_energy_J,cumulative_Joule_J,conduction_boundary_loss_J,hydro_boundary_loss_J,radiation_loss_J,energy_residual_J,mass_residual_kg,I_A,I_L_A,V_channel_V,Rsp_circuit_ohm,Gsp_S,interval_Rsp_ohm,interval_dt_s,P_sp_circuit_W,P_sp_thermal_W,Q_sp_circuit_J,Q_sp_thermal_J,Q_fixed_R_J,source_work_J,inductor_energy_J,cext_energy_J,cgap_energy_J,circuit_energy_J,thermal_energy_J,circuit_energy_residual_J,cross_domain_energy_residual_J,coupling_status,KCL_max_A,KVL_max_V,I_rms_interval_A
3.218727496492185e-06,310.6817837452267,1.900000000000001e-09,76,0,9531.945328281843,9531.945328281843,300.0,190751.6189954963,101325.0,0.03454858514153551,0.03454858514153551,2413.783038210585,2413.783038210585,7.676926535984789e-05,67.91466061284194,0.0002082584270641674,5.822938385653428e-10,0.00020825900935800596,4.847196014228354e-09,0.0,-1.245169827145354e-24,0.0,-4.091653298901867e-21,1.0339349063893307e-25,-0.017004405776428682,-0.0165846913778556,-5.2829591181485,310.6817837452267,0.0032187274964921853,309.6869194674207,2.5e-11,0.09031085730182696,0.09031085730182697,4.8471960142283535e-09,4.847196014228354e-09,1.3231632002750877e-12,0.0,1.3752599404935892e-10,1.1163862817611351e-11,2.7909657044028378e-12,1.5148082257137312e-10,0.00020825900935800596,1.2209799764393568e-24,-8.271806125530277e-25,LAGGED,0.0,0.0,0.017076880976462486
3.208439453125223e-06,311.6780025335796,1.9250000000000007e-09,77,0,9524.939421243924,9524.939421243924,300.0,190538.045545993,101325.0,0.03454157915779342,0.03454157915779342,2406.5049831910137,2406.5049831910137,7.678195348149552e-05,68.72575254636925,0.00020825841486519857,5.967338457287492e-10,0.00020825901159904432,4.849437052631933e-09,0.0,-1.2783743558692302e-24,0.0,-5.234774907854912e-20,-1.034017714574624e-25,-0.016912521369522305,-0.01645193276065311,-5.271260878259192,311.6780025335796,0.0032084394531252227,310.6817837452267,2.5e-11,0.08964153614313083,0.08964153614313082,4.849437052631932e-09,4.849437052631933e-09,1.3368059642114964e-12,0.0,1.353330457805255e-10,1.1114476498666349e-11,2.7786191246665873e-12,1.4922614140385845e-10,0.00020825901159904432,1.7436224142536233e-24,-8.271806125530277e-25,LAGGED,0.0,8.881784197001252e-16,0.01698622021556571
3.1982032579096236e-06,312.67556166946366,1.9500000000000005e-09,78,0,9517.915482686132,9517.915482686132,300.0,190323.09620572408,101325.0,0.03453440516783343,0.03453440516783343,2399.2081113357194,2399.2081113357194,7.679467475894453e-05,69.53013666956079,0.0002082584025001597,6.113224478354034e-10,0.00020825901382260753,4.851660615838937e-09,0.0,-1.3120157862868414e-24,0.0,-4.7540208999821343e-20,1.0339327128899627e-25,-0.0168180173394292,-0.01631948564858852,-5.258583017772804,312.67556166946366,0.003198203257909623,311.6780025335796,2.5e-11,0.08894252828014663,0.08894252828014662,4.851660615838936e-09,4.851660615838937e-09,1.3502305664186903e-12,0.0,1.3316280591724336e-10,1.1061078141923414e-11,2.7652695354808535e-12,1.4698915359464763e-10,0.00020825901382260753,2.0184741754071073e-24,-8.271806125530277e-25,LAGGED,0.0,8.881784197001252e-16,0.016892800738620234
3.188018694025756e-06,313.6744467257886,1.9750000000000003e-09,79,0,9510.873743350438,9510.873743350438,300.0,190106.77741022484,101325.0,0.034527063156471374,0.034527063156471374,2391.8926736748044,2391.8926736748044,7.680742877064454e-05,70.32769979312165,0.00020825838996959534,6.26058433101718e-10,0.00020825901602802843,4.853866036711343e-09,0.0,-1.346094118398188e-24,0.0,-1.5453079936608955e-20,-4.417105590177675e-30,-0.016721145336782133,-0.016187373623538722,-5.244996012136635,313.6744467257886,0.0031880186940257556,312.67556166946366,2.5e-11,0.08821683489623992,0.0882168348962399,4.853866036711342e-09,4.853866036711343e-09,1.3634392909771845e-12,0.0,1.3101553241401856e-10,1.1003993266931682e-11,2.7509983167329204e-12,1.4477052399768317e-10,0.00020825901602802843,1.9700065613903284e-24,-8.271806125530277e-25,LAGGED,0.0,0.0,0.016796885686567908
3.1778855468458128e-06,314.67464301618503,2e-09,80,0,9503.814447805966,9503.814447805966,300.0,189889.09616085642,101325.0,0.0345195531497962,0.0345195531497962,2384.558936299091,2384.558936299091,7.682021507066958e-05,71.11833191377278,0.00020825837727412544,6.409405835370204e-10,0.00020825901821470898,4.856052717264381e-09,0.0,-1.3806093522032697e-24,0.0,-1.723403431066943e-20,-4.5303647078745385e-30,-0.016622136482760754,-0.016055618573710056,-5.230564863879046,314.67464301618503,0.0031778855468458126,313.6744467257886,2.5e-11,0.08746722212151764,0.08746722212151763,4.85605271726438e-09,4.856052717264381e-09,1.3764344457676997e-12,0.0,1.2889144389223167e-10,1.094352351809841e-11,2.7358808795246024e-12,1.425708482898547e-10,0.00020825901821470898,2.9151250347175182e-24,-8.271806125530277e-25,LAGGED,0.0,0.0,0.016698716694342156
3.167803603841454e-06,315.6761355998663,2.025e-09,81,0,9496.737854156197,9496.737854156197,300.0,189670.060021164,101325.0,0.03451187521592839,0.03451187521592839,2377.2071800777853,2377.2071800777853,7.68330331892398e-05,71.90192617985305,0.00020825836441443966,6.559676752607181e-10,0.0002082590203821149,4.858220123233229e-09,0.0,-1.4155614877020867e-24,0.0,-5.57864760720639e-20,-4.645057485289084e-30,-0.016521203112099845,-0.01592424082482111,-5.215349553888164,315.6761355998663,0.003167803603841454,314.67464301618503,2.5e-11,0.0866962387539011,0.0866962387539011,4.858220123233228e-09,4.858220123233229e-09,1.389218358704442e-12,0.0,1.2679072292344962e-10,1.0879948387696586e-11,2.7199870969241466e-12,1.4039065840807037e-10,0.0002082590203821149,2.859993123773432e-24,-8.271806125530277e-25,LAGGED,0.0,8.881784197001252e-16,0.016598515719844234
3.1577726544962497e-06,316.67890928630743,2.0499999999999997e-09,82,0,9489.644233739247,9489.644233739247,300.0,189449.67711282807,101325.0,0.03450402946573743,0.03450402946573743,2369.837700368644,2369.837700368644,7.6845882633256e-05,72.67837885593086,0.00020825835139129192,6.711384788255741e-10,0.00020825902252977075,4.8603677790530174e-09,0.0,-1.4509505248946388e-24,0.0,-4.3104178309438063e-20,1.0339281538520603e-25,-0.016418540362700722,-0.015793259260486314,-5.199405454133279,316.67890928630743,0.0031577726544962494,315.6761355998663,2.5e-11,0.0859062327915376,0.08590623279153763,4.860367779053017e-09,4.8603677790530174e-09,1.4017933742825876e-12,0.0,1.2471351903446835e-10,1.0813526830588357e-11,2.703381707647089e-12,1.382304275727038e-10,0.00020825902252977075,3.2539944360514978e-24,-8.271806125530277e-25,LAGGED,0.0,8.881784197001252e-16,0.016496486711705487
3.1477924902202386e-06,317.68294863999563,2.0749999999999996e-09,83,0,9482.533870821597,9482.533870821597,300.0,189227.95611121284,101325.0,0.03449601605351709,0.03449601605351709,2362.450806720835,2362.450806720835,7.685876288684545e-05,73.44758928639898,0.00020825833820549539,6.864517595463981e-10,0.00020825902465725494,4.86249526322364e-09,0.0,-1.4867764637809262e-24,0.0,-1.688507025928363e-20,1.0339269782510918e-25,-0.01631432762577435,-0.015662691432721636,-5.182783705234934,317.68294863999563,0.0031477924902202385,316.67890928630743,2.5e-11,0.08509936682491102,0.08509936682491101,4.862495263223639e-09,4.86249526322364e-09,1.4141618504133778e-12,0.0,1.2265995145832586e-10,1.0744498774099502e-11,2.6861246935248756e-12,1.3609057492595024e-10,0.00020825902465725494,2.2610141938827387e-24,-8.271806125530277e-25,LAGGED,0.0,8.881784197001252e-16,0.01639281713051937
3.137862904267717e-06,318.68823798513597,2.0999999999999994e-09,84,0,9475.407062287322,9475.407062287322,300.0,189004.90624053875,101325.0,0.03448783517761343,0.03448783517761343,2355.046822572768,2355.046822572768,7.687167341191507e-05,74.20945985828718,0.0002082583248579179,7.019062778338387e-10,0.00020825902676419573,4.864602204032186e-09,0.0,-1.5230393043609488e-24,0.0,-3.714358690416041e-20,1.0339257883135262e-25,-0.016208729869159482,-0.015532553663412312,-5.165531561979479,318.68823798513597,0.0031378629042677166,317.68294863999563,2.5e-11,0.08427763234185524,0.08427763234185523,4.864602204032185e-09,4.864602204032186e-09,1.4263261555225442e-12,0.0,1.2063011165339161e-10,1.067308652712246e-11,2.668271631780615e-12,1.339714698122947e-10,0.00020825902676419573,2.377942312698218e-24,-8.271806125530277e-25,LAGGED,0.0,8.881784197001252e-16,0.016287679336824942
3.127983691658474e-06,319.69476141027917,2.124999999999999e-09,85,0,9468.264117320994,9468.264117320994,300.0,188780.5372686598,101325.0,0.03447948708101091,0.03447948708101091,2347.6260849428354,2347.6260849428354,7.688461364871677e-05,74.9638959632902,0.00020825831134947779,7.175007895327258e-10,0.0002082590288502673,4.86668827560723e-09,0.0,-1.5597390466347067e-24,0.0,-3.5207193789916044e-20,1.0339245840393634e-25,-0.0161018988452739,-0.01540286113750873,-5.147692709592289,319.69476141027917,0.0031279836916584735,318.68823798513597,2.5e-11,0.08344286300176845,0.08344286300176847,4.866688275607229e-09,4.86668827560723e-09,1.4382886658898925e-12,0.0,1.1862406561068836e-10,1.059949609295584e-11,2.64987402323896e-12,1.3187343572688316e-10,0.0002082590288502673,1.9603130385869726e-24,-8.271806125530277e-25,LAGGED,0.0,0.0,0.016181231857900758
