step,time_s,K_ion_z_A_m_s,K_ion_abs_A_m_s,dMdt_native_A_m_s
54,5.400000000000004e-14,0.0312209357969593,0.0312209357969593,-0.06476426006069858
55,5.500000000000004e-14,0.0312242564088032,0.0312242564088032,-0.06477217959712789
56,5.6000000000000045e-14,0.0312275758734869,0.0312275758734869,-0.06478009740894208
57,5.700000000000005e-14,0.0312308941907492,0.0312308941907492,-0.06478801349473429
58,5.800000000000004e-14,0.031234211360329,0.031234211360329,-0.0647959278522734
59,5.900000000000004e-14,0.0312375273819651,0.0312375273819651,-0.06480384047910093
60,6.000000000000003e-14,0.0312408422553967,0.0312408422553967,-0.06481175137338369
61,6.100000000000003e-14,0.0312441559803626,0.0312441559803626,-0.06481966053316057
62,6.200000000000003e-14,0.0312474685566024,0.0312474685566024,-0.06482756795644207
63,6.300000000000001e-14,0.031250779983855,0.031250779983855,-0.06483547364055653
64,6.400000000000002e-14,0.0312540902618594,0.0312540902618594,-0.06484337758384129
65,6.5e-14,0.0312573993903552,0.0312573993903552,-0.0648512797844063
66,6.600000000000001e-14,0.0312607073690819,0.0312607073690819,-0.06485918024000625
67,6.7e-14,0.0312640141977788,0.0312640141977788,-0.06486707894839583
68,6.8e-14,0.0312673198761855,0.0312673198761855,-0.06487497590779867
69,6.9e-14,0.0312706244040417,0.0312706244040417,-0.0648828711158842
70,6.999999999999999e-14,0.0312739277810866,0.0312739277810866,-0.06489076457064868
71,7.099999999999999e-14,0.0312772300070605,0.0312772300070605,-0.06489865627032998
72,7.199999999999998e-14,0.0312805310817029,0.0312805310817029,-0.0649065462125833
73,7.299999999999998e-14,0.0312838310047538,0.0312838310047538,-0.06491443439543332
74,7.399999999999996e-14,0.031287129775953,0.031287129775953,-0.06492232081673421
75,7.499999999999997e-14,0.0312904273950406,0.0312904273950406,-0.06493020547461015
76,7.599999999999997e-14,0.0312937238617566,0.0312937238617566,-0.06493808836691528
77,7.699999999999996e-14,0.0312970191758413,0.0312970191758413,-0.06494596949164588
78,7.799999999999997e-14,0.0313003133370347,0.0313003133370347,-0.06495384884667033
