step,time_s,dt_s,topology,topology_status,roi_definition,roi_cell_count,E_peak_V_m,eta_peak,ne_peak_m3,nu_i_at_E_peak_s_1,tau_i_at_E_peak_s,sigma_e_peak_S_m,tau_M_at_E_peak_s,Pi_RF_at_E_peak,K_ion_z_A_m_s,K_ion_abs_A_m_s,current_moment_z_A_m,dMdt_native_A_m_s
28,2.799999999999999e-14,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358664.02566411,8.4913686481764,2796139525734828.5,165445994164.17368,6.044268433647842e-12,1.497414352913e-05,5.912984469245587e-07,97827.95939916547,0.031134198093051,0.031134198093051,-2.013683050296749e-13,-0.06455775380905493
29,2.899999999999999e-14,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358664.018687256,8.491368645526732,2796499298362220.5,165445994076.51154,6.044268436850418e-12,1.4976070217033888e-05,5.912223757290604e-07,97815.37367277121,0.0311375484391625,0.0311375484391625,-2.0143286676571387e-13,-0.06456571743497364
30,2.999999999999999e-14,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358664.01170993,8.491368642876884,2796858960151668.5,165445993988.84348,6.0442684400532125e-12,1.4977996311368366e-05,5.911463475311202e-07,97802.79506016048,0.0311408976449283,0.0311408976449283,-2.0149743646454485e-13,-0.06457367939192693
31,3.0999999999999994e-14,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358664.00473205,8.491368640226826,2797218511075952.5,165445993901.16843,6.04426844325626e-12,1.4979921811987677e-05,5.910703623108661e-07,97790.22355804496,0.0311442457100852,0.0311442457100852,-2.0156201412449773e-13,-0.06458163967761266
32,3.2e-14,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358663.997753683,8.491368637576583,2797577951107859.5,165445993813.4873,6.044268446459531e-12,1.4981846718746076e-05,5.909944200484426e-07,97777.65916314014,0.0311475926343706,0.0311475926343706,-2.0162659974390006e-13,-0.06458959828955813
33,3.3e-14,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358663.99077473,8.491368634926115,2797937280220183.0,165445993725.7987,6.044268449663074e-12,1.4983771031497868e-05,5.909185207240105e-07,97765.10187216288,0.0311509384175213,0.0311509384175213,-2.016911933210769e-13,-0.0645975552260154
34,3.4e-14,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358663.983795248,8.491368632275455,2798296498385723.0,165445993638.10364,6.044268452866855e-12,1.4985694750097395e-05,5.908426643177458e-07,97752.55168183395,0.031154283059275,0.031154283059275,-2.017557948543521e-13,-0.06460551048488128
35,3.5e-14,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358663.97681529,8.491368629624606,2798655605577286.0,165445993550.40253,6.044268456070855e-12,1.4987617874399023e-05,5.907668508098416e-07,97740.00858887663,0.0311576265593691,0.0311576265593691,-2.0182040434204665e-13,-0.06461346406365465
36,3.6000000000000004e-14,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358663.969834797,8.491368626973552,2799014601767686.0,165445993462.69458,6.044268459275105e-12,1.4989540404257156e-05,5.906910801805062e-07,97727.47259001601,0.0311609689175408,0.0311609689175408,-2.018850217824794e-13,-0.06462141596040283
37,3.7000000000000006e-14,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358663.962853696,8.491368624322273,2799373486929743.5,165445993374.97913,6.044268462479629e-12,1.4991462339526257e-05,5.90615352409964e-07,97714.94368197984,0.0311643101335274,0.0311643101335274,-2.0194964717396746e-13,-0.06462936617307946
