step,time_s,dt_s,topology,topology_status,roi_definition,roi_cell_count,E_peak_V_m,eta_peak,ne_peak_m3,nu_i_at_E_peak_s_1,tau_i_at_E_peak_s,sigma_e_peak_S_m,tau_M_at_E_peak_s,Pi_RF_at_E_peak,K_ion_z_A_m_s,K_ion_abs_A_m_s,current_moment_z_A_m,dMdt_native_A_m_s
2199,2.199000000000121e-12,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358649.15561986,8.49136300083417,3277749176225261.0,165445807326.4141,6.0442752594332205e-12,1.755330492871089e-05,5.044171367591146e-07,83453.70042038994,0.0353520795627853,0.0353520795627853,-3.560076712911057e-13,-0.075428765714463
2200,2.200000000000121e-12,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358649.14964136,8.491362998563657,3277819548189317.0,165445807251.29605,6.044275262177527e-12,1.7553681791594135e-05,5.044063073445922e-07,83451.90870127137,0.0353524855007908,0.0353524855007908,-3.560831006770678e-13,-0.07543000421176771
2201,2.2010000000001208e-12,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358649.143664397,8.491362996293725,3277889772726382.5,165445807176.19724,6.0442752649211325e-12,1.7554057864962664e-05,5.043955010808457e-07,83450.12081236296,0.0353528899491811,0.0353528899491811,-3.5615853129952924e-13,-0.07543123871349167
2202,2.2020000000001213e-12,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358649.1376889,8.491362994024353,3277959849831982.5,165445807101.11688,6.044275267664062e-12,1.7554433148792504e-05,5.043847179656179e-07,83448.33675329086,0.0353532929079179,0.0353532929079179,-3.562339631544948e-13,-0.07543246921986224
2203,2.2030000000001214e-12,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358649.131714955,8.491362991755569,3278029779501655.5,165445807026.05597,6.044275270406282e-12,1.7554807643059762e-05,5.043739579966561e-07,83446.55652368281,0.0353536943769637,0.0353536943769637,-3.5630939623796897e-13,-0.07543369573033942
2204,2.2040000000001215e-12,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358649.125742536,8.491362989487365,3278099561730952.0,165445806951.01428,6.0442752731478e-12,1.7555181347740617e-05,5.043632211717112e-07,83444.78012316665,0.0353540943562806,0.0353540943562806,-3.563848305459555e-13,-0.07543491824387161
2205,2.2050000000001216e-12,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358649.119771626,8.491362987219734,3278169196515435.0,165445806875.9915,6.044275275888627e-12,1.75555542628113e-05,5.043525074885397e-07,83443.00755137099,0.035354492845831,0.035354492845831,-3.564602660744567e-13,-0.07543613676028826
2206,2.2060000000001217e-12,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358649.113802228,8.491362984952678,3278238683850680.5,165445806800.98782,6.044275278628756e-12,1.755592638824812e-05,5.043418169449016e-07,83441.23880792534,0.0353548898455774,0.0353548898455774,-3.565357028194761e-13,-0.07543735127950413
2207,2.2070000000001218e-12,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358649.107834328,8.491362982686192,3278308023732276.5,165445806726.00296,6.044275281368198e-12,1.7556297724027458e-05,5.043311495385617e-07,83439.47389245975,0.0353552853554823,0.0353552853554823,-3.5661114077701573e-13,-0.07543856180038233
2208,2.208000000000122e-12,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358649.101867963,8.491362980420286,3278377216155823.5,165445806651.03726,6.0442752841069405e-12,1.7556668270125746e-05,5.043205052672892e-07,83437.71280460534,0.0353556793755087,0.0353556793755087,-3.566865799430769e-13,-0.07543976832280919
2209,2.209000000000122e-12,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358649.09590319,8.491362978154985,3278446261116935.0,165445806576.09174,6.044275286844944e-12,1.755703802651949e-05,5.043098841288583e-07,83435.9555439943,0.0353560719056196,0.0353560719056196,-3.567620203136614e-13,-0.07544097084638679
2210,2.210000000000122e-12,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358649.089939885,8.491362975890242,3278515158611237.0,165445806501.1645,6.044275289582281e-12,1.7557406993185272e-05,5.042992861210466e-07,83434.20211025803,0.0353564629457777,0.0353564629457777,-3.5683746188476965e-13,-0.07544216937037618
2211,2.211000000000122e-12,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358649.083978105,8.491362973626078,3278583908634367.5,165445806426.25644,6.0442752923189174e-12,1.755777517009972e-05,5.042887112416369e-07,83432.45250303017,0.0353568524959461,0.0353568524959461,-3.5691290465240213e-13,-0.07544336389440787
2212,2.2120000000001226e-12,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358649.07801785,8.491362971362493,3278652511181977.0,165445806351.3676,6.04427529505485e-12,1.755814255723957e-05,5.042781594884161e-07,83430.70672194455,0.0353572405560883,0.0353572405560883,-3.569883486125585e-13,-0.07544455441825448
2213,2.2130000000001223e-12,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358649.072059155,8.491362969099502,3278720966249730.5,165445806276.49838,6.044275297790067e-12,1.7558509154581564e-05,5.042676308591761e-07,83428.96476663605,0.0353576271261677,0.0353576271261677,-3.570637937612386e-13,-0.0754457409410918
2214,2.2140000000001224e-12,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358649.066101927,8.49136296683707,3278789273833302.0,165445806201.64758,6.044275300524611e-12,1.7558874962102567e-05,5.042571253517125e-07,83427.22663673935,0.0353580122061475,0.0353580122061475,-3.571392400944407e-13,-0.07544692346235138
2215,2.2150000000001225e-12,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358649.06014623,8.491362964575217,3278857433928381.0,165445806126.816,6.044275303258453e-12,1.7559239979779493e-05,5.042466429638255e-07,83425.49233189088,0.0353583957959915,0.0353583957959915,-3.5721468760816334e-13,-0.07544810198231744
2216,2.2160000000001226e-12,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358649.05419211,8.49136296231396,3278925446530668.0,165445806052.00418,6.044275305991573e-12,1.75596042075893e-05,5.042361836933205e-07,83423.76185172785,0.0353587778956636,0.0353587778956636,-3.5729013629840537e-13,-0.07544927649990996
2217,2.2170000000001227e-12,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358649.048239496,8.491362960053278,3278993311635876.5,165445805977.21136,6.0442753087239996e-12,1.7559967645509048e-05,5.042257475380061e-07,83422.03519588732,0.0353591585051276,0.0353591585051276,-3.573655861611632e-13,-0.07545044701473103
2218,2.218000000000123e-12,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358649.04228843,8.491362957793184,3279061029239733.0,165445805902.438,6.044275311455714e-12,1.7560330293515843e-05,5.042153344956964e-07,83420.31236400783,0.0353595376243476,0.0353595376243476,-3.574410371924348e-13,-0.07545161352649643
2219,2.219000000000123e-12,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358649.03633893,8.491362955533683,3279128599337976.0,165445805827.68423,6.0442753141867124e-12,1.7560692151586864e-05,5.042049445642093e-07,83418.59335572846,0.0353599152532877,0.0353599152532877,-3.5751648938821617e-13,-0.07545277603401246
2220,2.220000000000123e-12,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358649.030390915,8.491362953274745,3279196021926356.5,165445805752.94916,6.044275316917029e-12,1.756105321969936e-05,5.041945777413675e-07,83416.87817068849,0.0353602913919119,0.0353602913919119,-3.5759194274450285e-13,-0.07545393453776228
2221,2.221000000000123e-12,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358649.024444457,8.491362951016402,3279263297000638.0,165445805678.23373,6.044275319646627e-12,1.7561413497830638e-05,5.04184234024998e-07,83415.16680852894,0.0353606660401849,0.0353606660401849,-3.5766739725729173e-13,-0.07545508903706377
2222,2.2220000000001232e-12,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358649.018499546,8.491362948758646,3279330424556596.5,165445805603.53757,6.044275322375522e-12,1.7561772985958072e-05,5.041739134129325e-07,83413.4592688908,0.035361039198071,0.035361039198071,-3.57742852922577e-13,-0.07545623953112113
2223,2.2230000000001237e-12,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358649.012556154,8.491362946501466,3279397404590021.0,165445805528.86066,6.044275325103714e-12,1.7562131684059133e-05,5.041636159030061e-07,83411.7555514159,0.035361410865535,0.035361410865535,-3.57818309736354e-13,-0.07545738601965013
2224,2.224000000000124e-12,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358649.00661429,8.491362944244868,3279464237096713.0,165445805454.2029,6.044275327831205e-12,1.7562489592111314e-05,5.041533414930596e-07,83410.05565574707,0.0353617810425416,0.0353617810425416,-3.578937676946164e-13,-0.07545852850225288
2225,2.2250000000001235e-12,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358649.00067398,8.491362941988854,3279530922072487.0,165445805379.56464,6.044275330557984e-12,1.7562846710092206e-05,5.041430901809378e-07,83408.35958152772,0.0353621497290557,0.0353621497290557,-3.579692267933585e-13,-0.07545966697810513
2226,2.226000000000124e-12,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358648.994735166,8.491362939733415,3279597459513168.0,165445805304.94516,6.044275333284078e-12,1.756320303797946e-05,5.041328619644896e-07,83406.66732840172,0.035362516925042,0.035362516925042,-3.580446870285727e-13,-0.07546080144729217
2227,2.227000000000124e-12,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358648.988797948,8.491362937478579,3279663849414595.0,165445805230.34573,6.044275336009439e-12,1.756355857575078e-05,5.041226568415687e-07,83404.9788960146,0.0353628826304663,0.0353628826304663,-3.581201483962532e-13,-0.07546193190913186
2228,2.228000000000124e-12,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358648.982862275,8.491362935224329,3279730091772620.0,165445805155.76575,6.044275338734089e-12,1.7563913323383957e-05,5.041124748100333e-07,83403.29428401162,0.0353632468452934,0.0353632468452934,-3.58195610892391e-13,-0.07546305836299894
2229,2.2290000000001243e-12,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358648.97692814,8.491362932970665,3279796186583107.0,165445805081.20517,6.044275341458031e-12,1.7564267280856847e-05,5.041023158677452e-07,83401.61349203909,0.0353636095694889,0.0353636095694889,-3.582710745129792e-13,-0.0754641808087797
2230,2.230000000000124e-12,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358648.97099556,8.491362930717592,3279862133841932.0,165445805006.66394,6.0442753441812645e-12,1.756462044814735e-05,5.040921800125722e-07,83399.93651974415,0.0353639708030181,0.0353639708030181,-3.583465392540085e-13,-0.0754652992452236
2231,2.231000000000124e-12,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358648.96506448,8.491362928465088,3279927933544984.5,165445804932.14172,6.044275346903804e-12,1.7564972825233476e-05,5.040820672423848e-07,83398.2633667743,0.0353643305458467,0.0353643305458467,-3.584220051114696e-13,-0.0754664136726717
2232,2.232000000000124e-12,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358648.95913497,8.49136292621318,3279993585688166.0,165445804857.6391,6.044275349625629e-12,1.7565324412093253e-05,5.040719775550592e-07,83396.59403277852,0.0353646887979404,0.0353646887979404,-3.584974720813539e-13,-0.07546752409086821
2233,2.2330000000001247e-12,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358648.95320706,8.49136292396188,3280059090267390.5,165445804783.15668,6.044275352346714e-12,1.7565675208704807e-05,5.040619109484753e-07,83394.92851740633,0.0353650455592655,0.0353650455592655,-3.585729401596513e-13,-0.07546863049836361
2234,2.2340000000001244e-12,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358648.9472806,8.49136292171113,3280124447278585.0,165445804708.69244,6.044275355067136e-12,1.7566025215046333e-05,5.040518674205175e-07,83393.26682030666,0.0353654008297874,0.0353654008297874,-3.5864840934235053e-13,-0.07546973289535686
2235,2.2350000000001245e-12,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358648.941355765,8.491362919460995,3280189656717688.5,165445804634.24866,6.04427535778681e-12,1.7566374431096077e-05,5.04041846969075e-07,83391.60894113142,0.0353657546094727,0.0353657546094727,-3.58723879625442e-13,-0.07547083128142162
2236,2.236000000000125e-12,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358648.935432464,8.491362917211449,3280254718580653.0,165445804559.82407,6.0442753605057846e-12,1.7566722856832352e-05,5.040318495920416e-07,83389.95487953153,0.0353661068982875,0.0353661068982875,-3.587993510049134e-13,-0.07547192565564842
2237,2.237000000000125e-12,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358648.92951072,8.491362914962489,3280319632863442.5,165445804485.41916,6.0442753632240374e-12,1.7567070492233564e-05,5.040218752873141e-07,83388.3046351593,0.0353664576961982,0.0353664576961982,-3.588748234767534e-13,-0.07547301601792356
2238,2.2380000000001248e-12,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358648.923590496,8.491362912714107,3280384399562034.0,165445804411.03323,6.044275365941598e-12,1.7567417337278152e-05,5.040119240527957e-07,83386.65820766737,0.0353668070031712,0.0353668070031712,-3.589502970369492e-13,-0.07547410236773544
2239,2.239000000000125e-12,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358648.917671848,8.491362910466325,3280449018672417.0,165445804336.66714,6.044275368658435e-12,1.7567763391944645e-05,5.040019958863926e-07,83385.0155967098,0.0353671548191733,0.0353671548191733,-3.5902577168148883e-13,-0.07547518470468617
2240,2.240000000000125e-12,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358648.911754735,8.491362908219125,3280513490190594.0,165445804262.32043,6.044275371374562e-12,1.7568108656211638e-05,5.039920907860155e-07,83383.37680194077,0.0353675011441712,0.0353675011441712,-3.591012474063586e-13,-0.07547626302820731
2241,2.241000000000125e-12,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358648.905839227,8.491362905972533,3280577814112579.0,165445804187.9938,6.044275374089957e-12,1.7568453130057777e-05,5.039822087495805e-07,83381.74182301572,0.035367845978132,0.035367845978132,-3.5917672420754524e-13,-0.07547733733790096
2242,2.2420000000001247e-12,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358648.89992522,8.491362903726513,3280641990434399.0,165445804113.6861,6.0442753768046604e-12,1.7568796813461795e-05,5.039723497750072e-07,83380.11065958993,0.0353681893210223,0.0353681893210223,-3.592522020810344e-13,-0.07547840763336922
2243,2.243000000000125e-12,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358648.894012816,8.4913629014811,3280706019152094.0,165445804039.39832,6.044275379518635e-12,1.7569139706402463e-05,5.039625138602204e-07,83378.48331132058,0.0353685311728095,0.0353685311728095,-3.5932768102281197e-13,-0.07547947391381626
2244,2.2440000000001253e-12,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358648.888101924,8.491362899236265,3280769900261716.0,165445803965.1297,6.04427538223191e-12,1.756948180885867e-05,5.03952701003148e-07,83376.85977786445,0.0353688715334608,0.0353688715334608,-3.5940316102886213e-13,-0.07548053617924211
2245,2.2450000000001254e-12,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358648.882192638,8.491362896992035,3280833633759329.0,165445803890.88126,6.044275384944448e-12,1.7569823120809313e-05,5.039429112017237e-07,83375.24005888015,0.0353692104029437,0.0353692104029437,-3.594786420951705e-13,-0.07548159442913516
2246,2.246000000000125e-12,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358648.876284905,8.4913628947484,3280897219641012.0,165445803816.65244,6.044275387656269e-12,1.7570163642233407e-05,5.039331444538847e-07,83373.62415402617,0.0353695477812257,0.0353695477812257,-3.595541242177204e-13,-0.07548264866221643
2247,2.2470000000001256e-12,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358648.870378707,8.491362892505345,3280960657902853.0,165445803742.44272,6.0442753903673924e-12,1.757050337311e-05,5.039234007575733e-07,83372.01206296176,0.0353698836682742,0.0353698836682742,-3.59629607392495e-13,-0.07548369887916806
2248,2.2480000000001257e-12,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358648.86447411,8.491362890262897,3281023948540956.5,165445803668.2532,6.044275393077778e-12,1.7570842313418216e-05,5.039136801107354e-07,83370.40378534766,0.0353702180640574,0.0353702180640574,-3.5970509161547884e-13,-0.07548474507945002
2249,2.249000000000126e-12,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358648.8585711,8.491362888021055,3281087091551435.5,165445803594.08362,6.044275395787435e-12,1.7571180463137257e-05,5.039039825113221e-07,83368.79932084473,0.0353705509685429,0.0353705509685429,-3.5978057688265387e-13,-0.0754857872614707
2250,2.2500000000001255e-12,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358648.852669567,8.491362885779774,3281150086930418.5,165445803519.93268,6.044275398496411e-12,1.7571517822246384e-05,5.038943079572884e-07,83367.19866911399,0.0353708823816985,0.0353708823816985,-3.598560631900018e-13,-0.07548682542579854
2251,2.251000000000126e-12,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358648.846769635,8.491362883539097,3281212934674045.0,165445803445.8017,6.044275401204658e-12,1.7571854390724922e-05,5.038846564465941e-07,83365.6018298185,0.0353712123034926,0.0353712123034926,-3.599315505335055e-13,-0.07548785957195037
2252,2.252000000000126e-12,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358648.840871274,8.491362881299018,3281275634778469.0,165445803371.69052,6.044275403912181e-12,1.7572190168552272e-05,5.038750279772026e-07,83364.00880262133,0.0353715407338936,0.0353715407338936,-3.6000703890914575e-13,-0.07548888969915879
2253,2.2530000000001266e-12,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358648.83497452,8.491362879059551,3281338187239854.0,165445803297.59955,6.044275406618966e-12,1.757252515570789e-05,5.038654225470829e-07,83362.41958718654,0.0353718676728699,0.0353718676728699,-3.6008252831290385e-13,-0.07548991580705433
2254,2.2540000000001263e-12,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358648.829079296,8.491362876820665,3281400592054378.5,165445803223.52777,6.04427540932505e-12,1.7572859352171312e-05,5.038558401542076e-07,83360.8341831783,0.0353721931203897,0.0353721931203897,-3.6015801874075977e-13,-0.07549093789489802
2255,2.2550000000001264e-12,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358648.823185664,8.491362874582382,3281462849218233.0,165445803149.47598,6.0442754120304045e-12,1.7573192757922135e-05,5.038462807965537e-07,83359.25259026224,0.0353725170764219,0.0353725170764219,-3.602335101886936e-13,-0.0754919559626046
2256,2.2560000000001265e-12,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358648.817293573,8.491362872344684,3281524958727620.5,165445803075.4436,6.0442754147350484e-12,1.7573525372940027e-05,5.03836744472103e-07,83357.67480810413,0.035372839540935,0.035372839540935,-3.60309002652685e-13,-0.07549297000983302
2257,2.2570000000001266e-12,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358648.811403062,8.491362870107587,3281586920578756.0,165445803001.43106,6.0442754174389686e-12,1.757385719720472e-05,5.03827231178841e-07,83356.10083637101,0.0353731605138983,0.0353731605138983,-3.603844961287133e-13,-0.07549398003584429
2258,2.2580000000001267e-12,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358648.805514146,8.491362867871096,3281648734767867.5,165445802927.43854,6.044275420142157e-12,1.7574188230696005e-05,5.038177409147587e-07,83354.53067473043,0.0353734799952805,0.0353734799952805,-3.604599906127567e-13,-0.07549498604006999
2259,2.2590000000001268e-12,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358648.79962682,8.491362865635208,3281710401291196.0,165445802853.46603,6.044275422844613e-12,1.757451847339376e-05,5.038082736778504e-07,83352.9643228507,0.0353737979850511,0.0353737979850511,-3.6053548610079347e-13,-0.0754959880224817
2260,2.260000000000127e-12,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358648.793741006,8.491362863399896,3281771920144994.5,165445802779.51254,6.0442754255463766e-12,1.757484792527792e-05,5.037988294661153e-07,83351.40178040019,0.0353741144831788,0.0353741144831788,-3.6061098258880164e-13,-0.07549698598225518
2261,2.261000000000127e-12,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358648.78785681,8.491362861165193,3281833291325528.5,165445802705.5793,6.044275428247398e-12,1.757517658632848e-05,5.037894082775571e-07,83349.84304704926,0.0353744294896334,0.0353744294896334,-3.60686480072758e-13,-0.07549797991904938
2262,2.2620000000001275e-12,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358648.78197417,8.491362858931089,3281894514829076.5,165445802631.6657,6.0442754309477044e-12,1.7575504456525506e-05,5.037800101101838e-07,83348.28812246803,0.0353747430043844,0.0353747430043844,-3.607619785486397e-13,-0.07549896983269377
2263,2.263000000000127e-12,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358648.77609314,8.491362856697593,3281955590651929.0,165445802557.77225,6.044275433647273e-12,1.7575831535849136e-05,5.03770634962008e-07,83346.73700632792,0.0353750550274014,0.0353750550274014,-3.6083747801242333e-13,-0.0754999557225915
2264,2.2640000000001277e-12,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358648.77021368,8.491362854464692,3282016518790389.0,165445802483.89856,6.04427543634612e-12,1.7576157824279577e-05,5.037612828310456e-07,83345.18969830051,0.0353753655586542,0.0353753655586542,-3.609129784600849e-13,-0.07550093758771936
2265,2.2650000000001278e-12,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358648.764335763,8.491362852232378,3282077299240774.0,165445802410.04425,6.0442754390442605e-12,1.7576483321797104e-05,5.037519537153184e-07,83343.64619805833,0.0353756745981124,0.0353756745981124,-3.6098847988759884e-13,-0.07550191542821949
2266,2.266000000000128e-12,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358648.758459423,8.491362850000664,3282137931999411.0,165445802336.20984,6.044275441741672e-12,1.7576808028382047e-05,5.037426476128517e-07,83342.10650527486,0.0353759821457464,0.0353759821457464,-3.6106398229094137e-13,-0.07550288924403503
2267,2.267000000000128e-12,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358648.752584737,8.491362847769576,3282198417062642.0,165445802262.3961,6.044275444438329e-12,1.7577131944014818e-05,5.037333645216754e-07,83340.57061962457,0.0353762882015265,0.0353762882015265,-3.6113948566608694e-13,-0.07550385903377332
2268,2.268000000000128e-12,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358648.746711586,8.49136284553907,3282258754426820.0,165445802188.60162,6.044275447134282e-12,1.7577455068675882e-05,5.037241044398238e-07,83339.03854078158,0.0353765927654224,0.0353765927654224,-3.612149900090089e-13,-0.07550482479723541
2269,2.269000000000128e-12,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358648.74084003,8.491362843309174,3282318944088312.0,165445802114.82727,6.044275449829499e-12,1.7577777402345783e-05,5.037148673653358e-07,83337.5102684218,0.035376895837405,0.035376895837405,-3.612904953156814e-13,-0.07550578653459183
2270,2.2700000000001283e-12,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358648.734970074,8.491362841079884,3282378986043496.0,165445802041.07303,6.044275452523984e-12,1.757809894500513e-05,5.037056532962539e-07,83335.98580222137,0.0353771974174446,0.0353771974174446,-3.613660015820781e-13,-0.07550674424501835
2271,2.271000000000128e-12,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358648.729101676,8.491362838851185,3282438880288764.0,165445801967.33826,6.044275455217755e-12,1.7578419696634593e-05,5.036964622306261e-07,83334.46514185704,0.0353774975055118,0.0353774975055118,-3.614415088041714e-13,-0.07550769792774759
2272,2.272000000000128e-12,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358648.72323485,8.491362836623084,3282498626820519.5,165445801893.6234,6.0442754579107995e-12,1.757873965721492e-05,5.03687294166504e-07,83332.94828700666,0.0353777961015774,0.0353777961015774,-3.6151701697793356e-13,-0.0755086475828648
2273,2.273000000000128e-12,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358648.717369672,8.491362834395606,3282558225635179.5,165445801819.92917,6.044275460603091e-12,1.7579058826726916e-05,5.036781491019438e-07,83331.43523734892,0.0353780932056126,0.0353780932056126,-3.6159252609933714e-13,-0.07550959320946049
2274,2.2740000000001282e-12,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358648.71150604,8.491362832168717,3282617676729173.0,165445801746.25427,6.044275463294675e-12,1.7579377205151458e-05,5.036690270350062e-07,83329.92599256242,0.035378388817588,0.035378388817588,-3.616680361643525e-13,-0.07551053480725045
2275,2.2750000000001283e-12,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358648.70564403,8.491362829942444,3282676980098941.0,165445801672.59995,6.044275465985508e-12,1.7579694792469498e-05,5.036599279637558e-07,83328.42055232753,0.0353786829374751,0.0353786829374751,-3.617435471689517e-13,-0.07551147237609257
2276,2.2760000000001284e-12,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358648.69978359,8.491362827716769,3282736135740939.0,165445801598.96518,6.044275468675627e-12,1.7580011588662028e-05,5.036508518862627e-07,83326.91891632442,0.0353789755652449,0.0353789755652449,-3.6181905910910473e-13,-0.07551240591496367
2277,2.2770000000001285e-12,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358648.693924773,8.491362825491708,3282795143651632.5,165445801525.35086,6.044275471364998e-12,1.7580327593710142e-05,5.036417988006e-07,83325.42108423475,0.035379266700869,0.035379266700869,-3.6189457198078163e-13,-0.07551333542383531
