x_m,y_m,potential_V,Ex_V_m,Ey_V_m,E_mag_V_m,domain_id,cell_area_m2
0.0,5.949999999999999e-05,451.4208905743505,0.0,-4601620.5392910065,4601620.5392910065,gas_gap,1.9140624999999994e-13
0.0,5.993749999999999e-05,453.40522776651204,0.0,-4472662.658100457,4472662.658100457,gas_gap,1.9140624999999994e-13
0.0,6.037499999999999e-05,455.33717544082623,0.0,-4362246.477965624,4362246.477965624,gas_gap,1.9140624999999994e-13
0.0,6.0812499999999994e-05,457.2249884717139,0.0,-4270988.939204126,4270988.939204126,gas_gap,1.9140624999999994e-13
0.0,6.125e-05,459.077143786497,0.0,-4199287.605892322,4199287.605892322,gas_gap,1.9140624999999994e-13
0.0,6.168749999999999e-05,460.9022438642309,0.0,-4147318.855490552,4147318.855490552,gas_gap,1.9140624999999994e-13
0.0,6.212499999999999e-05,462.70892020798783,0.0,-4115039.55917016,4115039.55917016,gas_gap,1.9140624999999994e-13
0.0,6.25625e-05,464.5057383012719,0.0,-4102192.1658361373,4102192.1658361373,gas_gap,1.9140624999999994e-13
0.0,6.299999999999999e-05,466.30110550625903,0.0,-4108313.035277035,4108313.035277035,gas_gap,1.9140624999999994e-13
0.0,6.343749999999999e-05,468.1031832799746,0.0,-4132743.802980641,4132743.802980641,gas_gap,1.9140624999999994e-13
0.0,6.3875e-05,469.91980497672216,0.0,-4174645.5024072947,4174645.5024072947,gas_gap,1.9140624999999994e-13
0.0,6.43125e-05,471.7584003740281,0.0,-4233015.121195647,4233015.121195647,gas_gap,1.9140624999999994e-13
0.0,6.474999999999999e-05,473.62592790856945,0.0,-4306704.226942491,4306704.226942491,gas_gap,1.9140624999999994e-13
0.0,6.518749999999999e-05,475.52881544189194,0.0,-4394439.266648554,4394439.266648554,gas_gap,1.9140624999999994e-13
0.0,6.5625e-05,477.47291019739646,0.0,-4494843.122183987,4494843.122183987,gas_gap,1.9140624999999994e-13
0.0,6.606249999999999e-05,479.4634383244307,0.0,-4606457.492448832,4606457.492448832,gas_gap,1.9140624999999994e-13
0.0,6.649999999999999e-05,481.5049743567684,0.0,-4727765.67125361,4727765.67125361,gas_gap,1.9140624999999994e-13
0.0,6.69375e-05,483.6014206456294,0.0,-4857215.298023193,4857215.298023193,gas_gap,1.9140624999999994e-13
0.0,6.737499999999998e-05,485.75599666582684,0.0,-4993240.675680759,4993240.675680759,gas_gap,1.9140624999999994e-13
0.0,6.781249999999999e-05,487.9712379214848,0.0,-5134284.275719092,5134284.275719092,gas_gap,1.9140624999999994e-13
0.0,6.824999999999999e-05,490.24900401849936,0.0,-5278817.083539375,5278817.083539375,gas_gap,1.9140624999999994e-13
0.0,6.86875e-05,492.5904953275505,0.0,-5425357.4765001265,5425357.4765001265,gas_gap,1.9140624999999994e-13
0.0,6.912499999999999e-05,494.9962775364615,0.0,-5572488.371517499,5572488.371517499,gas_gap,1.9140624999999994e-13
0.0,6.956249999999999e-05,497.4663132859874,0.0,-5718872.427163226,5718872.427163226,gas_gap,1.9140624999999994e-13
0.0,7e-05,500.0,0.0,-5863265.135651755,5863265.135651755,gas_gap,1.9140624999999994e-13
4.3749999999999994e-07,0.0,0.0,0.0,-7142857.149638584,7142857.149638584,gas_gap,1.9140624999999994e-13
4.3749999999999994e-07,4.3749999999999994e-07,3.1250000039765102,4.29561343589509e-05,-7142857.154597997,7142857.154597997,gas_gap,1.9140624999999994e-13
4.3749999999999994e-07,8.749999999999999e-07,6.250000010634897,0.00011488315738124152,-7142857.16204703,7142857.16204703,gas_gap,1.9140624999999994e-13
4.3749999999999994e-07,1.3124999999999997e-06,9.375000021282597,0.00022990459550190672,-7142857.173040208,7142857.173040208,gas_gap,1.9140624999999994e-13
4.3749999999999994e-07,1.7499999999999998e-06,12.500000037771306,0.00040802338278842626,-7142857.189030943,7142857.189030943,gas_gap,1.9140624999999994e-13
4.3749999999999994e-07,2.1875e-06,15.625000062700224,0.0006773172470007473,-7142857.212009176,7142857.212009176,gas_gap,1.9140624999999994e-13
4.3749999999999994e-07,2.6249999999999994e-06,18.75000009968862,0.0010768832577949243,-7142857.244682643,7142857.244682643,gas_gap,1.9140624999999994e-13
4.3749999999999994e-07,3.0624999999999995e-06,21.875000153739535,0.0016607665878267779,-7142857.2907144865,7142857.2907144865,gas_gap,1.9140624999999994e-13
4.3749999999999994e-07,3.4999999999999995e-06,25.000000231722602,0.0025031762496187378,-7142857.355033272,7142857.355033272,gas_gap,1.9140624999999994e-13
4.3749999999999994e-07,3.937499999999999e-06,28.12500034301195,0.0037053760508284567,-7142857.444235669,7142857.444235669,gas_gap,1.9140624999999994e-13
4.3749999999999994e-07,4.375e-06,31.2500005003251,0.0054047464345615024,-7142857.567107169,7142857.567107169,gas_gap,1.9140624999999994e-13
4.3749999999999994e-07,4.812499999999999e-06,34.375000720821056,0.00778664726726984,-7142857.735292559,7142857.735292559,gas_gap,1.9140624999999994e-13
4.3749999999999994e-07,5.249999999999999e-06,37.50000102753165,0.011099879022917031,-7142857.964155521,7142857.964155521,gas_gap,1.9140624999999994e-13
4.3749999999999994e-07,5.687499999999999e-06,40.6250014512189,0.015676747351329085,-7142858.273876113,7142858.273876113,gas_gap,1.9140624999999994e-13
4.3749999999999994e-07,6.124999999999999e-06,43.75000203277527,0.021958992185612793,-7142858.690846118,7142858.690846118,gas_gap,1.9140624999999994e-13
4.3749999999999994e-07,6.5624999999999994e-06,46.87500282631285,0.030531157303541428,-7142859.2494359035,7142859.2494359035,gas_gap,1.9140624999999994e-13
4.3749999999999994e-07,6.999999999999999e-06,50.000003903122575,0.04216336125481042,-7142859.994222548,7142859.994222548,gas_gap,1.9140624999999994e-13
4.3749999999999994e-07,7.437499999999999e-06,53.12500535672896,0.057865899315313565,-7142860.982788376,7142860.982788376,gas_gap,1.9140624999999994e-13
