time_s,observer_id,retarded_time_valid,retarded_time_valid_fraction,source_manifest_id,Ex_total,Ey_total,Ez_total,Ex_rho,Ey_rho,Ez_rho,Ex_drho,Ey_drho,Ez_drho,Ex_dJ,Ey_dJ,Ez_dJ,Bx_total,By_total,Bz_total,Bx_J,By_J,Bz_J,Bx_dJ,By_dJ,Bz_dJ
1.066244678550344e-09,F4_far_field_reference,True,1.0,F4-C-stage5-highfield-collision,0.019377772043743826,-1.573016985245122e-17,-0.6676713236683325,0.0016675824084738465,3.1418846725747284e-18,-0.0330412285693387,0.017672761018585472,-1.4516351991797313e-17,-0.12885453203462224,3.7428616684508365e-05,-4.355702533228636e-18,-0.5057755630643715,1.5895357927761208e-27,2.1053942297602234e-09,8.922574322795162e-26,4.529906882142549e-28,4.1835887370281293e-10,5.107906780404696e-26,1.1365451045618659e-27,1.6870353560574103e-09,3.814667542390466e-26
1.0980023156927667e-09,F4_far_field_reference,True,1.0,F4-C-stage5-highfield-collision,0.029553884677115675,-4.121811992213586e-17,-0.8075018229750853,0.0026352040025578345,-1.5193674248531208e-18,-0.03992827542996204,0.02687979752765153,-1.4301524223450457e-18,-0.15569967087227155,3.888314690630956e-05,-3.8268600074937697e-17,-0.6118738766728518,1.42138293119292e-26,2.5498332133859523e-09,1.967754001632078e-26,7.615202956963908e-28,5.08903930032762e-10,4.962442808179476e-26,1.345230901623281e-26,2.0409292833531904e-09,-2.994688806547398e-26
1.1297599528351893e-09,F4_far_field_reference,True,1.0,F4-C-stage5-highfield-collision,0.039734889361549994,-1.2454827336248294e-16,-0.9474529098581137,0.003601930203901752,-2.9683061664605217e-18,-0.046818753618889306,0.03609173873327396,-5.1738821453160125e-17,-0.18256461129326162,4.122042437427844e-05,-6.98411457428623e-17,-0.7180695449459628,-5.497622395271276e-27,2.9946601643005467e-09,1.2598304251272797e-25,-6.96109182231679e-28,5.995121499022799e-10,-1.4887808548330208e-26,-4.801513213039597e-27,2.395148014398267e-09,1.4087085106105819e-25
1.1615175899776117e-09,F4_far_field_reference,True,1.0,F4-C-stage5-highfield-collision,0.06129996151414922,4.7304419111447974e-17,-1.1423287841244432,0.0057895902835270185,-4.20519508127094e-18,-0.056576020570521315,0.05545065098869482,-6.473901583106252e-18,-0.2201667185788458,5.9720241927384326e-05,5.798351577582517e-17,-0.8655860449750761,3.720967204147992e-27,3.614618974629084e-09,-2.5112019990226767e-26,1.4503144691998143e-27,7.27423979094436e-10,2.5098093230079744e-26,2.2706527349481776e-27,2.887194995534648e-09,-5.021011322030651e-26
1.1932752271200343e-09,F4_far_field_reference,True,1.0,F4-C-stage5-highfield-collision,0.09136481168599353,7.547988024651853e-17,-1.3696333858294474,0.008872627594046356,3.9496636211889815e-18,-0.06787735128730533,0.08241846583843906,4.758453113927285e-17,-0.26388403758791007,7.371825350810467e-05,2.3945685486056705e-17,-1.037871996954232,-4.875433930652274e-27,4.337482353550675e-09,-3.9290998221392e-26,2.260399467364243e-28,8.756207467112507e-10,4.924945478631557e-26,-5.101473877388698e-27,3.461861606839425e-09,-8.854045300770757e-26
1.225032864262457e-09,F4_far_field_reference,True,1.0,F4-C-stage5-highfield-collision,0.13258279096921702,-3.615309976315895e-17,-1.6371818854807563,0.013142662619903458,8.33323742839302e-18,-0.08107257863872938,0.1193468892595807,-2.061215407158504e-17,-0.31510338483796096,9.323908973284693e-05,-2.387418311996693e-17,-1.241005922004066,1.2240034396270585e-26,5.188151212449975e-09,5.83142457902555e-25,9.143499235690745e-28,1.0487286435355493e-09,4.5414469123116114e-26,1.132568447270151e-26,4.139422568914426e-09,5.377279887794389e-25
1.2567905014048793e-09,F4_far_field_reference,True,1.0,F4-C-stage5-highfield-collision,0.1967123983771951,1.6263359417447176e-17,-1.9740540909938027,0.01990104235503298,5.9117201245288924e-18,-0.09741044233718364,0.1766858782693377,3.4248068007777006e-17,-0.3787111119241137,0.00012547775282439584,-2.389642871485872e-17,-1.4979325367325054,5.181085976524508e-27,6.259970836240553e-09,-4.522094739452278e-26,3.2110220329505675e-27,1.263560265522345e-09,-6.784794088945762e-26,1.9700639435739404e-27,4.996410570718207e-09,2.262699349493484e-26
1.2885481385473017e-09,F4_far_field_reference,True,1.0,F4-C-stage5-highfield-collision,0.2928224497873075,-1.482186436294351e-16,-2.3910058332848223,0.030074689221619582,7.06992290914995e-18,-0.1171875962349981,0.2625929376562276,-6.201395448329046e-17,-0.4567417385012153,0.00015482290946029114,-9.327461205529458e-17,-1.8170764985486088,-8.607455163414385e-27,7.586165816424266e-09,5.379037244817935e-25,-1.3083053388719567e-27,1.525239264861088e-09,1.4012467801353655e-25,-7.299149824542428e-27,6.060926551563178e-09,3.9777904646825693e-25
1.3203057756897244e-09,F4_far_field_reference,True,1.0,F4-C-stage5-highfield-collision,0.432411275888147,6.304939213337721e-18,-2.9082083403066195,0.045112511629462164,1.3868045041373976e-18,-0.14102731429975718,0.3871249284476363,7.827301204876763e-17,-0.551546302847082,0.0001738358110484941,-7.335487733956731e-17,-2.21563472315978,1.7782232372400328e-26,9.232841206880662e-09,1.0636722942782938e-25,-2.058641043952317e-27,1.842508773378411e-09,3.407112935688723e-26,1.9840873416352646e-26,7.390332433502251e-09,7.229610007094215e-26
1.352063412832147e-09,F4_far_field_reference,True,1.0,F4-C-stage5-highfield-collision,0.6323530445501709,-5.447933893245096e-17,-3.558874210091439,0.06714386999550835,-1.1773879123470575e-17,-0.1698055417526752,0.565012502564912,5.0749007060709227e-17,-0.6672375907014229,0.000196671989750586,-9.345446686968961e-17,-2.721831077637341,1.6327664586078304e-26,1.130922451775357e-08,2.1446179615845953e-25,7.49217052227187e-27,2.230453502546202e-09,7.118515663730746e-26,8.835494063806432e-27,9.078771015207368e-09,1.4327663952115207e-25
