time_s,observer_id,retarded_time_valid,retarded_time_valid_fraction,source_manifest_id,Ex_total,Ey_total,Ez_total,Ex_rho,Ey_rho,Ez_rho,Ex_drho,Ey_drho,Ez_drho,Ex_dJ,Ey_dJ,Ez_dJ,Bx_total,By_total,Bz_total,Bx_J,By_J,Bz_J,Bx_dJ,By_dJ,Bz_dJ
1.129604908088989e-09,F4_far_field_reference,True,1.0,F4-P-stage4-left-isolated,0.0006988859603165667,1.5335570595427299e-18,-0.025757833494237103,0.0002588088287627912,9.616294963421286e-19,-0.006081689145744789,0.0004399689141187244,-9.530156191178551e-19,-0.009492173632746554,1.0821743505106132e-07,1.5249431823184564e-18,-0.01018397071574576,-4.958043775170166e-29,6.563339053807097e-11,2.1580229255805065e-26,-5.28959959980053e-29,3.1664726344703976e-11,1.0374149903909977e-26,3.315558246303639e-30,3.3968664193367e-11,1.1206079351895087e-26
1.1704016895073243e-09,F4_far_field_reference,True,1.0,F4-P-stage4-left-isolated,0.0008324120517826855,1.558358875448095e-18,-0.02926583598881074,0.0002969448955204371,1.805676105743065e-18,-0.0066824796813291735,0.0005340296482652774,-1.2077845061064643e-18,-0.010178994498254407,1.4375079969709795e-06,9.604672758114942e-19,-0.012404361809227162,2.648858850787702e-29,7.533777811377703e-11,-5.621554922845612e-27,4.034008882718791e-29,3.396289392093285e-11,-2.72968985380235e-27,-1.385150031931089e-29,4.137488419284418e-11,-2.891865069043262e-27
1.2111984709256597e-09,F4_far_field_reference,True,1.0,F4-P-stage4-left-isolated,0.0009673899725471955,-1.1150722406513571e-17,-0.03311215336251133,0.00033689784396098157,-1.2966624142721038e-18,-0.007331922818541387,0.0006303697302119473,-5.437002051488684e-18,-0.011015774398137907,1.2239837426663312e-07,-4.4170579407527834e-18,-0.014764456145832036,-7.931115515178427e-29,8.60184802261566e-11,-1.4297238653635028e-26,-7.433911497322277e-29,3.6771483170243996e-11,-4.2907626860165995e-27,-4.9720401785614904e-30,4.9246997055912604e-11,-1.0006475967618428e-26
1.251995252343995e-09,F4_far_field_reference,True,1.0,F4-P-stage4-left-isolated,0.0011435450249141614,-3.0871984673891642e-18,-0.036870010188102334,0.0003885831414883725,-1.7830657719632573e-18,-0.008027936641824256,0.0007543059342827481,-1.2828193989964117e-18,-0.011964804106527728,6.559491430407983e-07,-2.1313296429495128e-20,-0.016877269439750344,8.895432559003727e-29,9.626586507249334e-11,-5.722815277495882e-27,7.418279990462116e-29,3.9971516447594326e-11,-7.676562320509666e-27,1.4771525685416115e-29,5.6294348624899006e-11,1.9537470430137848e-27
1.2927920337623303e-09,F4_far_field_reference,True,1.0,F4-P-stage4-left-isolated,0.0013304116340658889,1.822466021736755e-18,-0.0406342194118878,0.00044229004623559697,-3.218427392114028e-19,-0.008790081568285075,0.0008878131235740921,1.4170190967066379e-18,-0.013046707612573634,3.084642561997884e-07,7.272896642415199e-19,-0.01879743023102909,-4.4936318541705005e-29,1.0628760726092625e-10,-2.354389137696569e-26,-2.6544038674614596e-29,4.358855858590703e-11,-2.3866967198804517e-26,-1.8392279867090409e-29,6.269904867501922e-11,3.2307582183882587e-28
1.3335888151806657e-09,F4_far_field_reference,True,1.0,F4-P-stage4-left-isolated,0.001566269978020075,-4.9227224163257455e-18,-0.04514760095407039,0.0005069043275386337,1.2683570657338711e-18,-0.009632566429535807,0.0010574944790985546,-6.610892978602438e-18,-0.014288009663108194,1.8711713828867918e-06,4.1981349654282087e-19,-0.021227024861426382,1.7516225570888285e-29,1.1850775250769242e-10,-1.4433211089465865e-26,5.677734159492436e-29,4.77046997663879e-11,-1.2053701363406784e-26,-3.9261116024036077e-29,7.080305274130451e-11,-2.37950972605908e-27
1.374385596599001e-09,F4_far_field_reference,True,1.0,F4-P-stage4-left-isolated,0.0018419001126365835,7.997558834483411e-19,-0.04992922270353515,0.0005849130643369151,-7.152301058942836e-20,-0.010545832273301817,0.0012552679424816156,5.044083882879777e-19,-0.015660511798158656,1.7191058180526792e-06,3.6687050574979177e-19,-0.023722878632074677,-1.3776724343670523e-29,1.314292248190548e-10,1.3487249184384994e-26,-8.061649129937929e-30,5.2301219037034106e-11,1.6184568673784485e-26,-5.715075213732594e-30,7.912800578202068e-11,-2.6973194893994898e-27
1.4151823780173365e-09,F4_far_field_reference,True,1.0,F4-P-stage4-left-isolated,0.002151291176707691,4.880087083947907e-18,-0.05422459490416387,0.0006595117357566922,8.739931327709077e-18,-0.011536193655292144,0.0014918067200825008,4.526975337834134e-18,-0.01714723503052913,-2.7279131502017556e-08,-8.386819581595305e-18,-0.025541166218342595,1.3937825630312175e-28,1.42527287070585e-10,-4.0013976280206233e-28,1.9748774179286132e-29,5.7334460679272434e-11,-7.246012951655455e-28,1.196294821238356e-28,8.519282639131254e-11,3.244615323634832e-28
1.455979159435672e-09,F4_far_field_reference,True,1.0,F4-P-stage4-left-isolated,0.0025617535039155143,3.2282143838311303e-18,-0.059711934835697866,0.0007680886597689269,4.6114136606245375e-18,-0.012632693836430176,0.0017930054520016855,-2.549279046320819e-18,-0.01875362378441179,6.593921449018138e-07,1.1660797695274118e-18,-0.028325617214855898,1.6294790935264993e-29,1.5709527542664575e-10,-4.471093507478854e-27,-8.627370173327565e-30,6.261486551870582e-11,8.54118484746363e-27,2.4922161108592558e-29,9.448040990793994e-11,-1.3012278354942484e-26
1.496775940854007e-09,F4_far_field_reference,True,1.0,F4-P-stage4-left-isolated,0.0030525235341898253,-2.644220617796714e-18,-0.06625049727220264,0.0009145435475986834,1.138352627229823e-18,-0.01384863348354525,0.002136846697232074,-1.0443321698250552e-18,-0.02063831568840295,1.1332893590677106e-06,-2.738241075201482e-18,-0.03176354810025443,1.6006742149773127e-29,1.74915017130149e-10,1.3216849022200405e-27,-9.527612267548579e-30,6.896731091089612e-11,8.57128618366452e-27,2.5534354417321706e-29,1.0594770621925288e-10,-7.24960128144448e-27
1.5375727222723425e-09,F4_far_field_reference,True,1.0,F4-P-stage4-left-isolated,0.0036082612947695636,-7.374741750778002e-18,-0.07166810210537242,0.0010679135008254174,-4.9505951425401604e-18,-0.015171270754842179,0.002539439649250502,8.656516341344964e-19,-0.022643455157849376,9.081446936442416e-07,-3.2897982423723384e-18,-0.033853376192680855,3.010570355124219e-30,1.8860300845694168e-10,-2.808638947819869e-26,1.475027526821805e-29,7.568473133483709e-11,-4.772546273084335e-26,-1.1739704913093831e-29,1.129182771221046e-10,1.963907325264466e-26
1.578369503690678e-09,F4_far_field_reference,True,1.0,F4-P-stage4-left-isolated,0.004266050805399564,-4.26655292857261e-18,-0.07883463753642615,0.0012410100486251667,-2.5556094775219644e-18,-0.016603070733558472,0.0030236008924066134,-2.4999139716082007e-19,-0.024771911694686823,1.4398643677836672e-06,-1.4609520538898259e-18,-0.03745965510818086,5.450033505339694e-29,2.0763246514919568e-10,-5.7094626384061724e-27,-6.0472400537501504e-30,8.268539581143585e-11,8.231000609019735e-28,6.054757510714709e-29,1.2494706933775984e-10,-6.532562699308146e-27
1.619166285109013e-09,F4_far_field_reference,True,1.0,F4-P-stage4-left-isolated,0.0050822013609854826,-5.2843249370964554e-18,-0.08665040031906816,0.0014521413791297286,4.37583536658369e-18,-0.018193448592602045,0.003629263717452089,-1.0233226377693417e-17,-0.027232880923415997,7.962644036645396e-07,5.730660740132725e-19,-0.04122407080305012,5.268286873638053e-29,2.2860793837798771e-10,-4.377568067527894e-26,1.1064888806740442e-30,9.110466049188094e-11,-4.110695258035675e-26,5.157637985570649e-29,1.3750327788610678e-10,-2.6687280949221897e-27
1.6599630665273485e-09,F4_far_field_reference,True,1.0,F4-P-stage4-left-isolated,0.006034378819993129,-1.5557159655417876e-18,-0.09429792911139831,0.001708142532412822,3.1435127581061088e-18,-0.019935695992957417,0.004325436037011378,-5.3835259117609014e-18,-0.02980894333326312,8.00250568928619e-07,6.842971881130049e-19,-0.04455328978517777,-3.0307117021130804e-29,2.4813143083642463e-10,1.4263682818407018e-26,-5.6423459924083465e-30,9.952354484298547e-11,4.888467516198062e-27,-2.466477102872246e-29,1.4860788599343916e-10,9.375215302208957e-27
1.700759847945684e-09,F4_far_field_reference,True,1.0,F4-P-stage4-left-isolated,0.007258991316758257,6.617320684115296e-18,-0.10368454818188955,0.002031875428421239,-2.8219969355156534e-19,-0.021860864954155238,0.00522576054787139,5.922248599610512e-18,-0.03269517685465172,1.3553404656281113e-06,9.772717780563493e-19,-0.049128506373082595,2.5655120133794688e-28,2.7319884745566346e-10,2.0105266494668687e-26,6.612007646338034e-30,1.0933029513639881e-10,1.8111839995966674e-26,2.4993919369160883e-28,1.6386855231926464e-10,1.9934264987020125e-27
1.7415566293640193e-09,F4_far_field_reference,True,1.0,F4-P-stage4-left-isolated,0.008603582033700314,4.46975959991784e-18,-0.11163699549129194,0.002384024565888582,8.146349549189108e-19,-0.023931336450322725,0.006218784526770363,3.996151793294293e-18,-0.035788261744836666,7.729410413674007e-07,-3.4102714829536414e-19,-0.051917397296132546,-3.295756834156148e-28,2.9284207992301053e-10,-1.0140359619621692e-26,2.4241483279143243e-29,1.1967132213428162e-10,-2.243121685293471e-26,-3.53817166694758e-28,1.731707577887289e-10,1.2290857233313019e-26
