path,kind,status,note
results/stage3/forensic/invalidated_development_runs/coarse_ml_cold_start_performance_20260722/scalar_history.csv,uncertain_file,deleted,listed in retained_uncertain.csv; not referenced by toolchain inventory
results/stage3/forensic/invalidated_development_runs/smoke/fields_final.csv,uncertain_file,deleted,listed in retained_uncertain.csv; not referenced by toolchain inventory
results/stage3/forensic/invalidated_development_runs/smoke/scalar_history.csv,uncertain_file,deleted,listed in retained_uncertain.csv; not referenced by toolchain inventory
results/stage5/recovery/progress_log.csv,uncertain_file,deleted,listed in retained_uncertain.csv; not referenced by toolchain inventory
results/stage_A2/data/lifecycle_all_cases.csv,uncertain_file,deleted,listed in retained_uncertain.csv; not referenced by toolchain inventory
results/stage_A2/data/band_energy_summary.csv,uncertain_file,deleted,listed in retained_uncertain.csv; not referenced by toolchain inventory
results/stage_A2/data/lifecycle_primary.csv,uncertain_file,deleted,listed in retained_uncertain.csv; not referenced by toolchain inventory
results/stage_A2/data/esd_analytic_all_cases.csv,uncertain_file,deleted,listed in retained_uncertain.csv; not referenced by toolchain inventory
results/stage_A2/data/spectrum_analytic_all_cases.csv,uncertain_file,deleted,listed in retained_uncertain.csv; not referenced by toolchain inventory
results/stage2/forensic/suspicious_literals.csv,uncertain_file,deleted,listed in retained_uncertain.csv; not referenced by toolchain inventory
results/stage2/forensic/evidence_audit.csv,uncertain_file,deleted,listed in retained_uncertain.csv; not referenced by toolchain inventory
references/metadata/local_manifest.json,uncertain_file,deleted,listed in retained_uncertain.csv; not referenced by toolchain inventory
results,simulation_results_directory,deleted,all current simulation results removed for GitHub toolchain archive
archive/audit_only,audit_only_result_archives,deleted,large historical result archives removed for GitHub toolchain archive
references,empty_directory,deleted,empty after metadata cleanup
data/digitization,empty_directory,deleted,empty after archive cleanup
data,empty_directory,deleted,empty after archive cleanup
archive,empty_directory,deleted,empty after archive cleanup
