x_m,y_m,potential_V,Ex_V_m,Ey_V_m,E_mag_V_m,domain_id,cell_area_m2
0.0,1.3999999999999998e-05,100.00035581656212,0.0,-7143061.481721811,7143061.481721811,gas_gap,7.656249999999998e-13
0.0,1.4874999999999997e-05,106.25058428131133,0.0,-7143184.013971501,7143184.013971501,gas_gap,7.656249999999998e-13
0.0,1.5749999999999997e-05,112.50094725749501,0.0,-7143373.453970024,7143373.453970024,gas_gap,7.656249999999998e-13
0.0,1.6624999999999998e-05,118.75151678362734,0.0,-7143662.645945033,7143662.645945033,gas_gap,7.656249999999998e-13
0.0,1.75e-05,125.00239951125857,0.0,-7144098.614418986,7144098.614418986,gas_gap,7.656249999999998e-13
0.0,1.8374999999999996e-05,131.25375127766637,0.0,-7144747.735108022,7144747.735108022,gas_gap,7.656249999999998e-13
0.0,1.9249999999999997e-05,137.5057968217728,0.0,-7145702.35920917,7145702.35920917,gas_gap,7.656249999999998e-13
0.0,2.0124999999999998e-05,143.75885601498982,0.0,-7147089.115089842,7147089.115089842,gas_gap,7.656249999999998e-13
0.0,2.0999999999999995e-05,150.0133781575772,0.0,-7149079.065839355,7149079.065839355,gas_gap,7.656249999999998e-13
0.0,2.1874999999999996e-05,156.2699860114973,0.0,-7151899.810917772,7151899.810917772,gas_gap,7.656249999999998e-13
0.0,2.2749999999999997e-05,162.52953125802782,0.0,-7155849.472572425,7155849.472572425,gas_gap,7.656249999999998e-13
0.0,2.3624999999999998e-05,168.7931629271488,0.0,-7161312.291176624,7161312.291176624,gas_gap,7.656249999999998e-13
0.0,2.4499999999999996e-05,175.06240998163796,0.0,-7168775.259854243,7168775.259854243,gas_gap,7.656249999999998e-13
0.0,2.5374999999999997e-05,181.33927858275652,0.0,-7178844.855494783,7178844.855494783,gas_gap,7.656249999999998e-13
0.0,2.6249999999999998e-05,187.62636354919934,0.0,-7192262.477767832,7192262.477767832,gas_gap,7.656249999999998e-13
0.0,2.7124999999999995e-05,193.92697209113666,0.0,-7209916.710087071,7209916.710087071,gas_gap,7.656249999999998e-13
0.0,2.7999999999999996e-05,200.24525602553095,0.0,-7232850.002605716,7232850.002605716,gas_gap,7.656249999999998e-13
0.0,2.8874999999999997e-05,206.58634636549036,0.0,-7262256.9010673035,7262256.9010673035,gas_gap,7.656249999999998e-13
0.0,2.9749999999999995e-05,212.9564814883018,0.0,-7299470.578524595,7299470.578524595,gas_gap,7.656249999999998e-13
0.0,3.0625e-05,219.36311715697815,0.0,-7345934.25692606,7345934.25692606,gas_gap,7.656249999999998e-13
0.0,3.149999999999999e-05,225.8150037129026,0.0,-7403154.229369969,7403154.229369969,gas_gap,7.656249999999998e-13
0.0,3.2374999999999994e-05,232.3222130724376,0.0,-7472631.708508911,7472631.708508911,gas_gap,7.656249999999998e-13
0.0,3.3249999999999995e-05,238.8960961284137,0.0,-7555771.7159662945,7555771.7159662945,gas_gap,7.656249999999998e-13
0.0,3.4124999999999996e-05,245.54915022011832,0.0,-7653768.7459741635,7653768.7459741635,gas_gap,7.656249999999998e-13
